"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
LUPIN,EQ,30-Dec-2011,439.9,442.9,454.0,439.55,449.0,447.85,443.79,765338,339652879.45,14449.0,512468.0,66.96
LUPIN,EQ,29-Dec-2011,436.7,436.0,445.95,431.1,440.0,439.9,440.69,1017649,448466550.05,19731.0,648387.0,63.71
LUPIN,EQ,28-Dec-2011,425.7,432.4,438.0,419.55,437.0,436.7,432.45,634394,274342581.95,19252.0,369061.0,58.18
LUPIN,EQ,27-Dec-2011,420.75,421.15,427.4,420.75,425.35,425.7,424.06,1176955,499101599.95,8116.0,1013990.0,86.15
LUPIN,EQ,26-Dec-2011,427.9,431.1,431.45,419.7,420.1,420.75,424.14,455980,193401118.05,17509.0,229156.0,50.26
LUPIN,EQ,23-Dec-2011,441.6,446.4,451.95,425.55,426.35,427.9,437.49,942283,412238196.6,24176.0,476444.0,50.56
LUPIN,EQ,22-Dec-2011,437.05,436.9,444.0,436.0,444.0,441.6,440.22,579010,254892745.9,16532.0,282755.0,48.83
LUPIN,EQ,21-Dec-2011,427.2,431.95,440.0,428.0,438.5,437.05,434.97,502782,218696827.2,17087.0,283115.0,56.31
LUPIN,EQ,20-Dec-2011,429.05,430.0,436.55,422.0,425.5,427.2,432.01,1111903,480349499.3,31672.0,737692.0,66.34
LUPIN,EQ,19-Dec-2011,430.1,430.15,434.0,420.7,431.5,429.05,425.91,1224441,521505917.25,26631.0,828869.0,67.69
LUPIN,EQ,16-Dec-2011,434.55,436.15,438.05,425.0,431.0,430.1,431.24,1137015,490331597.75,36169.0,579121.0,50.93
LUPIN,EQ,15-Dec-2011,413.35,410.0,439.0,410.0,438.5,434.55,426.5,1979650,844317585.5,58422.0,1177169.0,59.46
LUPIN,EQ,14-Dec-2011,426.45,427.75,428.4,408.2,417.0,413.35,418.02,2050925,857332468.6,54911.0,1331793.0,64.94
LUPIN,EQ,13-Dec-2011,434.8,433.25,433.5,423.35,428.0,426.45,427.35,1383432,591209010.2,33331.0,1013374.0,73.25
LUPIN,EQ,12-Dec-2011,441.35,444.5,446.8,430.05,435.0,434.8,434.66,631351,274420877.55,15474.0,335336.0,53.11
LUPIN,EQ,09-Dec-2011,443.95,442.85,449.5,434.55,439.2,441.35,444.55,1011067,449467650.3,32344.0,628458.0,62.16
LUPIN,EQ,08-Dec-2011,450.5,450.6,455.9,442.0,444.8,443.95,445.85,1062178,473569100.75,29085.0,697454.0,65.66
LUPIN,EQ,07-Dec-2011,466.05,467.45,471.0,449.0,450.0,450.5,455.88,1107840,505043470.75,36698.0,733024.0,66.17
LUPIN,EQ,05-Dec-2011,470.05,471.9,473.7,465.0,467.0,466.05,468.63,243225,113982530.45,7894.0,122906.0,50.53
LUPIN,EQ,02-Dec-2011,465.5,465.5,474.6,463.15,470.0,470.05,469.38,548739,257567246.05,15090.0,200435.0,36.53
LUPIN,EQ,01-Dec-2011,474.35,480.0,482.9,461.15,461.15,465.5,470.83,683598,321860626.8,16471.0,364729.0,53.35
LUPIN,EQ,30-Nov-2011,466.3,467.95,475.0,465.05,474.1,474.35,473.27,570514,270007113.4,16166.0,354913.0,62.21
LUPIN,EQ,29-Nov-2011,469.9,470.05,475.0,464.25,465.5,466.3,470.07,226593,106514364.35,8075.0,100744.0,44.46
LUPIN,EQ,28-Nov-2011,469.65,474.95,475.0,468.05,469.3,469.9,470.3,355640,167256883.5,8889.0,224861.0,63.23
LUPIN,EQ,25-Nov-2011,467.7,471.0,475.0,464.05,469.1,469.65,471.56,495218,233526980.3,16181.0,284000.0,57.35
LUPIN,EQ,24-Nov-2011,456.75,457.0,474.8,450.3,467.1,467.7,461.37,651913,300774942.9,15713.0,412754.0,63.31
LUPIN,EQ,23-Nov-2011,447.45,446.95,461.85,441.0,460.0,456.75,449.84,526260,236731296.6,18045.0,314916.0,59.84
LUPIN,EQ,22-Nov-2011,442.45,443.1,450.0,440.1,448.5,447.45,446.13,505402,225474837.5,13437.0,352013.0,69.65
LUPIN,EQ,21-Nov-2011,449.3,449.35,451.65,439.1,441.8,442.45,443.41,405848,179958991.55,13930.0,263229.0,64.86
LUPIN,EQ,18-Nov-2011,446.5,446.0,452.05,438.2,451.3,449.3,445.39,557783,248429458.1,29897.0,325694.0,58.39
LUPIN,EQ,17-Nov-2011,455.95,454.95,454.95,440.15,447.05,446.5,445.31,1237610,551126134.0,36703.0,768077.0,62.06
LUPIN,EQ,16-Nov-2011,461.25,460.35,463.95,452.6,457.6,455.95,456.01,408585,186318235.7,15261.0,239826.0,58.7
LUPIN,EQ,15-Nov-2011,466.3,461.7,469.65,458.7,463.45,461.25,463.85,418728,194228658.4,15249.0,252046.0,60.19
LUPIN,EQ,14-Nov-2011,473.5,479.75,479.75,465.5,466.25,466.3,471.08,264749,124719093.3,11848.0,135629.0,51.23
LUPIN,EQ,11-Nov-2011,474.55,472.95,482.15,463.4,473.95,473.5,475.58,723362,344018802.4,27671.0,372772.0,51.53
LUPIN,EQ,09-Nov-2011,480.65,485.8,486.4,470.65,475.35,474.55,480.34,1393590,669402248.2,23031.0,710618.0,50.99
LUPIN,EQ,08-Nov-2011,483.2,486.7,486.7,479.0,479.95,480.65,480.82,503557,242122477.65,12530.0,353694.0,70.24
LUPIN,EQ,04-Nov-2011,474.65,475.65,484.9,475.65,484.25,483.2,480.88,944766,454322768.7,17381.0,754896.0,79.9
LUPIN,EQ,03-Nov-2011,475.85,474.95,476.0,472.5,474.05,474.65,474.83,393178,186690759.65,9614.0,300846.0,76.52
