"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
MARUTI,EQ,30-Dec-2011,921.75,935.00,939.90,911.00,920.05,918.30,924.07,390624,360962873.85,16903.0,91224.0,23.35
MARUTI,EQ,29-Dec-2011,959.30,954.00,959.50,915.50,926.55,921.75,936.55,544045,509524180.0,27170.0,257949.0,47.41
MARUTI,EQ,28-Dec-2011,963.15,964.90,972.20,950.25,960.40,959.30,958.84,232279,222717685.15,12109.0,59138.0,25.46
MARUTI,EQ,27-Dec-2011,969.50,971.00,979.40,951.30,964.10,963.15,965.09,230303,222261990.7,10891.0,58925.0,25.59
MARUTI,EQ,26-Dec-2011,975.50,984.00,991.00,965.05,965.10,969.50,978.88,351164,343747527.2,16266.0,78275.0,22.29
MARUTI,EQ,23-Dec-2011,965.85,975.00,988.50,968.25,973.95,975.50,980.28,372589,365243041.15,17497.0,113906.0,30.57
MARUTI,EQ,22-Dec-2011,961.90,941.00,978.95,941.00,971.85,965.85,963.50,648188,624531266.9,18444.0,332487.0,51.29
MARUTI,EQ,21-Dec-2011,916.15,926.10,969.00,926.10,958.25,961.90,947.01,702708,665468282.55,32689.0,329577.0,46.9
MARUTI,EQ,20-Dec-2011,916.65,924.00,926.90,908.70,919.80,916.15,917.98,366360,336309764.55,13912.0,132631.0,36.2
MARUTI,EQ,19-Dec-2011,931.55,925.00,931.20,900.00,911.10,916.65,917.24,620878,569491544.3,22480.0,340924.0,54.91
MARUTI,EQ,16-Dec-2011,931.70,931.70,949.90,908.70,933.90,931.55,935.82,848872,794389994.7,17367.0,504435.0,59.42
MARUTI,EQ,15-Dec-2011,947.65,940.00,940.00,911.45,933.85,931.70,925.57,539248,499113977.85,19725.0,213337.0,39.56
MARUTI,EQ,14-Dec-2011,956.50,950.00,963.55,937.00,941.00,947.65,956.53,616851,590033888.65,16482.0,315154.0,51.09
MARUTI,EQ,13-Dec-2011,958.20,952.10,969.40,950.00,956.00,956.50,959.43,519127,498064147.65,17809.0,246220.0,47.43
MARUTI,EQ,12-Dec-2011,985.80,985.80,990.05,951.00,959.25,958.20,967.94,546170,528660018.1,17183.0,277591.0,50.83
MARUTI,EQ,09-Dec-2011,975.90,963.50,994.50,956.35,985.00,985.80,974.98,634649,618772580.9,23848.0,234688.0,36.98
MARUTI,EQ,08-Dec-2011,998.70,"1,003.00","1,004.85",965.85,970.65,975.90,986.07,537059,529579671.85,18055.0,183390.0,34.15
MARUTI,EQ,07-Dec-2011,999.55,999.55,"1,014.90",991.00,991.00,998.70,"1,005.92",533511,536669994.95,27890.0,222708.0,41.74
MARUTI,EQ,05-Dec-2011,992.35,982.05,"1,005.00",980.05,"1,000.35",999.55,998.33,520465,519594984.9,21113.0,180435.0,34.67
MARUTI,EQ,02-Dec-2011,962.25,963.50,997.00,963.00,989.15,992.35,985.53,846065,833824724.45,36779.0,442780.0,52.33
MARUTI,EQ,01-Dec-2011,972.15,992.00,"1,008.00",958.00,960.00,962.25,978.06,1036648,1013904995.8,42726.0,391081.0,37.73
MARUTI,EQ,30-Nov-2011,958.90,956.95,976.15,952.10,972.70,972.15,966.92,473470,457809220.5,21926.0,176879.0,37.36
MARUTI,EQ,29-Nov-2011,965.40,965.90,980.80,952.50,959.00,958.90,967.17,423512,409606769.85,20121.0,90789.0,21.44
MARUTI,EQ,28-Nov-2011,949.95,966.95,987.10,958.00,962.00,965.40,973.77,927553,903220756.3,37680.0,412943.0,44.52
MARUTI,EQ,25-Nov-2011,988.95,992.00,992.10,945.95,950.75,949.95,962.25,916133,881545320.45,31665.0,526038.0,57.42
MARUTI,EQ,24-Nov-2011,953.60,953.70,999.00,951.70,983.05,988.95,970.44,656104,636709269.8,30248.0,257288.0,39.21
