"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
MEDANTA,EQ,28-Dec-2022,459.1,460.8,466.0,455.2,460.0,459.65,461.27,186297,85933070.65,6809,72564,38.95
MEDANTA,EQ,27-Dec-2022,458.4,460.0,472.5,456.25,459.4,459.1,465.31,475791,221392534.45,19214,190811,40.1
MEDANTA,EQ,26-Dec-2022,444.55,446.8,461.9,445.15,457.0,458.4,455.25,438840,199782602.0,20063,228104,51.98
MEDANTA,EQ,23-Dec-2022,446.9,446.6,455.05,435.0,446.5,444.55,446.57,854686,381674144.05,23223,509335,59.59
MEDANTA,EQ,22-Dec-2022,447.25,449.5,461.0,444.5,447.35,446.9,451.15,769881,347332282.85,18019,347851,45.18
MEDANTA,EQ,21-Dec-2022,446.9,448.0,449.95,444.3,448.95,447.25,446.46,432371,193038044.2,11822,264184,61.1
MEDANTA,EQ,20-Dec-2022,445.25,440.1,455.4,440.1,445.0,446.9,449.97,538384,242255963.0,10463,362125,67.26
MEDANTA,EQ,19-Dec-2022,446.5,445.95,448.3,441.45,446.0,445.25,445.06,207141,92189439.15,7037,123013,59.39
MEDANTA,EQ,16-Dec-2022,447.65,444.8,451.4,430.1,445.1,446.5,440.9,596093,262814770.2,15126,324025,54.36
MEDANTA,EQ,15-Dec-2022,450.45,448.5,453.4,443.2,447.5,447.65,449.69,393300,176863734.45,11275,255196,64.89
MEDANTA,EQ,14-Dec-2022,450.25,450.0,455.8,449.05,449.15,450.45,451.08,326847,147432702.7,11264,172205,52.69
MEDANTA,EQ,13-Dec-2022,455.25,455.25,459.25,449.5,450.25,450.25,451.0,721197,325260316.05,17305,502924,69.73
MEDANTA,EQ,12-Dec-2022,463.25,460.0,461.3,437.0,457.0,455.25,449.25,1436443,645315227.15,47617,689483,48.0
MEDANTA,EQ,09-Dec-2022,467.55,467.0,474.85,457.0,463.0,463.25,466.62,652364,304408671.55,22147,181629,27.84
MEDANTA,EQ,08-Dec-2022,465.55,467.8,475.0,463.25,466.0,467.55,470.75,664619,312871604.3,23440,260416,39.18
MEDANTA,EQ,07-Dec-2022,456.65,454.4,475.7,452.1,467.0,465.55,466.84,1038513,484815347.05,21010,272094,26.2
MEDANTA,EQ,06-Dec-2022,456.45,455.0,462.4,454.75,455.0,456.65,458.09,303908,139218529.35,7545,107583,35.4
MEDANTA,EQ,05-Dec-2022,457.45,459.75,469.0,452.55,458.9,456.45,460.3,412743,189986937.0,10256,170850,41.39
MEDANTA,EQ,02-Dec-2022,459.2,459.0,464.7,455.0,457.55,457.45,458.95,305648,140277920.95,8112,119452,39.08
MEDANTA,EQ,01-Dec-2022,462.25,465.0,467.9,453.6,460.0,459.2,461.01,640775,295405138.25,16309,209355,32.67
MEDANTA,EQ,30-Nov-2022,464.3,466.9,468.5,452.0,463.0,462.25,460.5,771921,355468826.2,20523,259229,33.58
MEDANTA,EQ,29-Nov-2022,471.3,471.95,479.5,462.05,463.95,464.3,468.93,706270,331188263.0,15286,230110,32.58
MEDANTA,EQ,28-Nov-2022,451.8,452.0,474.7,451.05,470.5,471.3,468.18,1989168,931289311.9,33446,871489,43.81
MEDANTA,EQ,25-Nov-2022,460.15,462.45,469.0,450.25,452.8,451.8,458.45,1228238,563080772.15,25485,470901,38.34
MEDANTA,EQ,24-Nov-2022,450.9,453.9,487.75,442.0,462.5,460.15,469.07,5041987,2365061529.2,87407,1522199,30.19
MEDANTA,EQ,23-Nov-2022,435.5,437.9,457.45,435.5,451.25,450.9,448.51,2598455,1165433157.9,55146,1151455,44.31
MEDANTA,EQ,22-Nov-2022,429.75,428.0,438.9,424.0,435.2,435.5,432.53,2071829,896132728.55,41230,1131563,54.62
MEDANTA,EQ,21-Nov-2022,414.15,413.8,431.95,407.25,429.1,429.75,423.34,3295433,1395078966.85,70412,1519720,46.12
MEDANTA,EQ,18-Nov-2022,417.65,417.35,422.8,406.65,415.45,414.15,414.41,3521333,1459266458.65,70032,1573160,44.68
MEDANTA,EQ,17-Nov-2022,415.3,417.0,455.7,410.35,415.0,417.65,433.81,10749576,4663279949.85,155907,2728709,25.38
MEDANTA,EQ,16-Nov-2022,336.0,401.0,424.65,390.55,417.3,415.3,406.93,49322680,20071077191.0,470963,30029758,60.88
MEDANTA,EQ,28-Dec-2023,956.65,960.20,970.00,930.0,968.3,962.75,947.16,523171,495527062.65,32117,271245,51.85
MEDANTA,EQ,27-Dec-2023,963.65,968.45,972.95,949.35,950.0,956.65,959.49,311242,298633968.65,35273,191267,61.45
MEDANTA,EQ,26-Dec-2023,973.85,973.85,977.00,953.95,966.1,963.65,962.02,159490,153432335.85,11963,76809,48.16
MEDANTA,EQ,22-Dec-2023,938.25,938.30,977.70,938.3,967.0,973.85,964.87,450388,434564927.75,30312,234278,52.02
MEDANTA,EQ,21-Dec-2023,919.85,915.00,949.00,908.0,941.0,938.25,936.59,457072,428089738.65,31835,268202,58.68
MEDANTA,EQ,20-Dec-2023,936.45,945.50,955.00,915.0,923.85,919.85,941.89,427088,402271185.65,24286,278713,65.26
MEDANTA,EQ,19-Dec-2023,922.80,927.35,950.00,921.2,934.0,936.45,933.88,368071,343734794.55,49216,200179,54.39
MEDANTA,EQ,18-Dec-2023,925.05,924.00,930.00,913.65,922.7,922.80,923.60,220187,203364116.7,12793,138808,63.04
MEDANTA,EQ,15-Dec-2023,925.60,925.60,934.25,919.6,924.0,925.05,925.74,222504,205979927.35,20722,130330,58.57
MEDANTA,EQ,14-Dec-2023,929.20,931.00,939.90,920.45,925.1,925.60,929.57,167500,155702806.5,16059,73474,43.87
MEDANTA,EQ,13-Dec-2023,928.85,933.60,944.90,913.1,929.95,929.20,922.63,391389,361106047.8,27635,221336,56.55
MEDANTA,EQ,12-Dec-2023,933.00,944.00,948.65,925.0,930.0,928.85,933.82,243458,227345809.85,21828,130001,53.4
MEDANTA,EQ,11-Dec-2023,934.75,934.65,940.00,908.5,937.0,933.00,922.04,534907,493203275.95,39518,281051,52.54
MEDANTA,EQ,08-Dec-2023,939.90,948.65,970.90,931.0,935.0,934.75,951.07,325504,309577257.55,24296,135801,41.72
MEDANTA,EQ,07-Dec-2023,974.85,983.95,983.95,932.0,950.0,939.90,949.20,409172,388386034.85,26605,230866,56.42
MEDANTA,EQ,06-Dec-2023,"1,003.50","1,002.95","1,002.95",970.0,976.0,974.85,984.58,1469171,1446521482.9,32078,1227002,83.52
