"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
MGL,EQ,29-Dec-2016,775.95,779.7,786.8,776.0,783.0,783.2,781.81,54357,42497053.3,3640,33363.0,61.38
MGL,EQ,28-Dec-2016,773.4,771.05,782.0,767.7,777.0,775.95,775.51,66834,51830162.35,3303,29213.0,43.71
MGL,EQ,27-Dec-2016,776.75,779.0,787.0,770.0,773.0,773.4,775.48,88748,68822561.55,4367,34109.0,38.43
MGL,EQ,26-Dec-2016,763.85,762.0,780.0,750.0,774.0,776.75,767.48,106687,81880429.6,4832,45988.0,43.11
MGL,EQ,23-Dec-2016,769.55,768.0,770.0,761.0,761.8,763.85,765.17,49162,37617341.05,2791,19683.0,40.04
MGL,EQ,22-Dec-2016,777.1,771.1,774.15,760.15,768.1,769.55,767.48,61069,46869086.55,3605,25153.0,41.19
MGL,EQ,21-Dec-2016,784.75,789.65,789.9,770.15,773.9,777.1,784.48,106355,83433325.85,5293,56736.0,53.35
MGL,EQ,20-Dec-2016,782.65,783.8,788.75,780.4,787.9,784.75,784.48,90395,70913137.8,4049,42371.0,46.87
MGL,EQ,19-Dec-2016,784.2,784.8,795.0,778.0,781.5,782.65,786.79,244212,192143606.65,7773,133416.0,54.63
MGL,EQ,16-Dec-2016,763.25,767.0,797.0,764.25,783.05,784.2,785.41,519978,408397501.65,21555,251977.0,48.46
MGL,EQ,15-Dec-2016,751.25,747.7,766.9,745.0,762.6,763.25,760.61,180210,137070380.85,6303,75839.0,42.08
MGL,EQ,14-Dec-2016,760.4,758.5,764.7,747.0,749.95,751.25,756.57,133973,101359767.7,7270,81184.0,60.6
MGL,EQ,13-Dec-2016,746.95,745.0,764.4,741.0,760.0,760.4,756.72,183665,138982180.95,6825,99499.0,54.17
MGL,EQ,12-Dec-2016,754.25,751.4,754.7,744.0,747.25,746.95,748.84,113477,84976345.2,3711,48349.0,42.61
MGL,EQ,09-Dec-2016,750.05,752.9,767.0,746.05,750.0,754.25,757.74,217063,164476926.25,6682,77112.0,35.53
MGL,EQ,08-Dec-2016,745.95,753.05,756.8,748.1,751.6,750.05,751.29,66343,49842536.8,2863,29067.0,43.81
MGL,EQ,07-Dec-2016,751.2,752.85,754.85,742.55,749.25,745.95,749.85,70823,53106782.05,3040,28219.0,39.84
MGL,EQ,06-Dec-2016,743.6,764.85,769.7,750.0,752.55,751.2,758.47,232711,176503863.85,10776,89220.0,38.34
MGL,EQ,05-Dec-2016,734.25,742.4,748.9,736.0,742.7,743.6,743.7,134351,99917037.8,8198,54628.0,40.66
MGL,EQ,02-Dec-2016,746.55,746.0,748.05,730.1,733.25,734.25,737.74,228108,168283920.65,9250,97836.0,42.89
MGL,EQ,01-Dec-2016,769.15,771.0,775.5,742.5,748.0,746.55,757.13,264603,200338285.7,14275,118792.0,44.89
MGL,EQ,30-Nov-2016,778.25,780.2,783.7,764.2,766.95,769.15,770.49,483822,372781540.0,20144,316976.0,65.52
MGL,EQ,29-Nov-2016,771.1,805.0,828.0,771.0,780.0,778.25,797.83,1291736,1030589285.95,44734,593158.0,45.92
MGL,EQ,28-Nov-2016,770.55,774.95,794.9,761.25,772.9,771.1,782.9,256254,200620483.85,8403,121297.0,47.33
MGL,EQ,25-Nov-2016,735.7,747.95,771.9,740.0,771.0,770.55,761.95,188861,143902175.6,11031,100561.0,53.25
MGL,EQ,24-Nov-2016,730.9,731.4,742.0,724.75,738.0,735.7,734.84,104570,76841976.3,9774,45205.0,43.23
MGL,EQ,23-Nov-2016,736.75,743.85,746.65,728.0,729.7,730.9,736.03,97277,71598926.85,12874,56441.0,58.02
MGL,EQ,22-Nov-2016,741.0,745.25,756.1,730.6,734.65,736.75,739.01,94191,69608437.35,8642,55737.0,59.17
MGL,EQ,21-Nov-2016,748.9,758.95,764.0,735.0,745.0,741.0,747.15,133055,99411798.25,13691,74735.0,56.17
MGL,EQ,18-Nov-2016,770.4,774.9,781.0,743.0,745.5,748.9,755.21,301226,227488028.1,23755,178793.0,59.36
MGL,EQ,17-Nov-2016,733.6,735.55,777.95,735.55,773.5,770.4,765.32,263875,201949123.7,15606,100997.0,38.27
MGL,EQ,16-Nov-2016,744.35,753.6,769.95,724.75,739.45,733.6,753.39,184775,139206736.2,10952,96846.0,52.41
MGL,EQ,15-Nov-2016,747.3,747.3,753.45,730.25,744.9,744.35,740.68,106195,78656677.25,8470,65882.0,62.04
MGL,EQ,11-Nov-2016,747.5,755.0,767.15,742.0,750.2,747.3,755.22,236564,178656973.2,17345,161574.0,68.3
MGL,EQ,10-Nov-2016,728.4,742.0,758.9,740.0,749.5,747.5,746.96,137893,103000367.05,7079,76482.0,55.46
MGL,EQ,09-Nov-2016,715.4,635.1,740.0,635.1,725.2,728.4,706.83,270403,191128909.3,12538,133834.0,49.49
MGL,EQ,08-Nov-2016,708.85,713.0,722.45,699.0,712.8,715.4,707.94,186133,131770353.9,12876,103345.0,55.52
MGL,EQ,07-Nov-2016,719.35,733.5,737.8,704.05,709.4,708.85,719.39,162941,117218851.45,12874,104629.0,64.21
MGL,EQ,04-Nov-2016,755.6,752.1,758.9,712.05,720.0,719.35,730.79,251873,184066334.05,17568,167688.0,66.58
MGL,EQ,03-Nov-2016,758.2,758.0,767.45,751.2,755.0,755.6,758.93,73935,56111238.9,3336,42806.0,57.9
MGL,EQ,02-Nov-2016,774.5,752.0,765.15,752.0,759.0,758.2,759.4,90938,69058499.95,4965,56333.0,61.95
MGL,EQ,01-Nov-2016,767.65,773.5,780.0,767.35,776.0,774.5,774.78,148947,115401752.15,5050,90066.0,60.47
MGL,EQ,30-Oct-2016,759.8,766.9,770.0,763.0,769.0,767.65,767.25,35099,26929806.95,1895,17725.0,50.5
MGL,EQ,28-Oct-2016,752.85,757.7,774.35,754.4,760.6,759.8,763.58,425564,324950446.45,15081,329800.0,77.5
MGL,EQ,27-Oct-2016,764.7,764.7,768.9,748.0,762.0,752.85,755.58,204834,154767733.05,13550,155810.0,76.07
MGL,EQ,26-Oct-2016,769.1,765.25,785.0,762.05,765.0,764.7,769.96,212184,163372246.9,21455,118522.0,55.86
MGL,EQ,25-Oct-2016,791.15,790.0,794.6,766.1,770.0,769.1,771.93,305433,235773216.25,21526,217958.0,71.36
