"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
MRPL,EQ,30-Dec-2011,51.85,51.5,52.45,51.3,51.55,51.7,51.74,169885,8789210.7,2704.0,102471.0,60.32
MRPL,EQ,29-Dec-2011,50.7,50.7,52.5,49.3,51.9,51.85,51.56,403065,20782014.95,2492.0,258567.0,64.15
MRPL,EQ,28-Dec-2011,53.6,54.0,54.05,50.25,50.7,50.7,51.75,359952,18625722.15,3712.0,174679.0,48.53
MRPL,EQ,27-Dec-2011,56.35,56.55,56.7,53.2,53.2,53.6,54.82,133041,7293062.9,1626.0,83036.0,62.41
MRPL,EQ,26-Dec-2011,56.0,56.9,56.9,55.7,56.2,56.35,56.4,74208,4185064.4,820.0,32951.0,44.4
MRPL,EQ,23-Dec-2011,55.8,57.95,57.95,55.1,56.0,56.0,56.02,149957,8399893.6,1449.0,71998.0,48.01
MRPL,EQ,22-Dec-2011,55.55,54.1,56.0,54.1,56.0,55.8,55.18,110976,6123635.4,1433.0,48506.0,43.71
MRPL,EQ,21-Dec-2011,53.6,54.6,56.0,53.65,55.8,55.55,54.69,182835,9998889.15,3038.0,77308.0,42.28
MRPL,EQ,20-Dec-2011,56.0,56.0,56.9,53.3,53.55,53.6,54.9,157302,8635109.5,2411.0,54617.0,34.72
MRPL,EQ,19-Dec-2011,58.4,58.4,58.4,55.0,56.0,56.0,56.23,145578,8186575.05,2394.0,53623.0,36.83
MRPL,EQ,16-Dec-2011,60.75,61.35,61.4,57.7,57.85,58.4,59.71,117963,7044119.65,1740.0,51248.0,43.44
MRPL,EQ,15-Dec-2011,59.1,58.5,61.6,58.5,60.95,60.75,60.25,280526,16900900.85,2651.0,109184.0,38.92
MRPL,EQ,14-Dec-2011,59.8,60.0,60.65,59.0,59.0,59.1,60.04,162744,9771189.25,2626.0,39480.0,24.26
MRPL,EQ,13-Dec-2011,60.05,60.05,60.35,59.0,59.7,59.8,59.85,114767,6868846.65,2112.0,34917.0,30.42
MRPL,EQ,12-Dec-2011,60.05,60.1,61.25,59.45,59.75,60.05,60.44,266857,16128191.7,2091.0,135843.0,50.9
MRPL,EQ,09-Dec-2011,60.25,60.25,60.8,58.8,60.2,60.05,59.96,117069,7019345.6,1811.0,45433.0,38.81
