"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
NBVENTURES,EQ,30-Dec-2011,183.0,182.0,188.0,182.0,183.55,185.05,184.6,13266,2448881.35,902.0,7602.0,57.3
NBVENTURES,EQ,29-Dec-2011,180.15,177.15,184.55,177.15,182.9,183.0,181.74,12430,2259004.0,764.0,9358.0,75.29
NBVENTURES,EQ,28-Dec-2011,183.6,181.45,183.0,179.05,181.0,180.15,180.23,5058,911625.45,174.0,4677.0,92.47
NBVENTURES,EQ,27-Dec-2011,181.9,180.2,195.9,180.2,183.9,183.6,183.7,2622,481667.25,148.0,2390.0,91.15
NBVENTURES,EQ,26-Dec-2011,181.25,178.2,184.4,178.0,184.4,181.9,181.26,5640,1022325.65,280.0,3748.0,66.45
NBVENTURES,EQ,23-Dec-2011,185.95,185.0,186.9,178.3,178.5,181.25,184.07,6642,1222569.7,823.0,5321.0,80.11
NBVENTURES,EQ,22-Dec-2011,184.9,179.3,189.0,179.3,183.95,185.95,186.02,9505,1768096.1,819.0,7187.0,75.61
NBVENTURES,EQ,21-Dec-2011,178.7,178.65,187.9,173.05,183.75,184.9,184.75,43988,8126983.75,1155.0,35747.0,81.27
NBVENTURES,EQ,20-Dec-2011,180.55,180.05,182.65,173.35,174.0,178.7,180.05,4856,874300.85,331.0,3303.0,68.02
NBVENTURES,EQ,19-Dec-2011,185.1,179.8,184.55,176.75,182.5,180.55,182.36,5843,1065505.8,399.0,3031.0,51.87
NBVENTURES,EQ,16-Dec-2011,187.1,185.0,190.95,183.05,185.0,185.1,187.36,2259,423240.3,182.0,1538.0,68.08
NBVENTURES,EQ,15-Dec-2011,189.05,188.0,190.8,181.65,190.8,187.1,185.06,46963,8691076.1,297.0,45936.0,97.81
NBVENTURES,EQ,14-Dec-2011,186.8,186.0,194.5,186.0,187.05,189.05,189.84,9525,1808250.1,464.0,5359.0,56.26
NBVENTURES,EQ,13-Dec-2011,195.85,192.0,194.0,178.05,185.05,186.8,183.31,24563,4502717.25,1056.0,10367.0,42.21
NBVENTURES,EQ,12-Dec-2011,199.65,203.0,228.0,192.0,193.85,195.85,204.83,60942,12482499.0,2937.0,40301.0,66.13
NBVENTURES,EQ,09-Dec-2011,193.45,191.9,207.0,186.2,197.8,199.65,199.45,58309,11629867.6,1767.0,50238.0,86.16
NBVENTURES,EQ,08-Dec-2011,192.45,191.0,194.85,190.0,194.75,193.45,192.29,6264,1204492.55,465.0,5245.0,83.73
NBVENTURES,EQ,07-Dec-2011,184.8,186.0,197.6,182.4,193.9,192.45,191.05,7837,1497224.95,492.0,5433.0,69.32
NBVENTURES,EQ,05-Dec-2011,184.45,183.05,185.75,183.0,185.65,184.8,184.84,971,179476.55,80.0,813.0,83.73
NBVENTURES,EQ,02-Dec-2011,183.4,183.0,186.5,183.0,184.0,184.45,185.22,2134,395249.9,113.0,1618.0,75.82
NBVENTURES,EQ,01-Dec-2011,183.65,186.5,186.55,182.4,183.25,183.4,185.16,5797,1073380.2,181.0,4966.0,85.67
NBVENTURES,EQ,30-Nov-2011,183.45,182.0,186.7,180.0,182.1,183.65,183.07,8427,1542728.45,1245.0,5925.0,70.31
NBVENTURES,EQ,29-Nov-2011,183.6,184.95,184.95,180.0,184.4,183.45,182.46,1427,260376.55,138.0,760.0,53.26
NBVENTURES,EQ,28-Nov-2011,181.85,188.0,188.0,182.0,183.5,183.6,183.63,4864,893162.95,230.0,3830.0,78.74
NBVENTURES,EQ,25-Nov-2011,186.1,184.0,184.95,181.0,181.05,181.85,182.43,1370,249932.7,108.0,1023.0,74.67
