"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
NCC,EQ,30-Dec-2011,32.7,33.0,34.05,31.15,33.65,33.45,33.09,327406,10832860.9,2666.0,114114.0,34.85
NCC,EQ,29-Dec-2011,32.5,32.35,34.35,32.0,32.8,32.7,33.01,1042386,34404862.25,4814.0,570610.0,54.74
NCC,EQ,28-Dec-2011,33.95,34.5,34.5,32.25,32.65,32.5,32.67,1638497,53534173.25,5921.0,1062107.0,64.82
NCC,EQ,27-Dec-2011,35.05,35.75,35.8,33.45,34.1,33.95,34.48,380332,13114472.55,2967.0,147624.0,38.81
NCC,EQ,26-Dec-2011,35.35,36.0,36.0,34.8,35.15,35.05,35.11,396783,13931347.55,2934.0,153452.0,38.67
NCC,EQ,23-Dec-2011,36.15,36.6,37.15,35.1,35.5,35.35,35.88,433916,15568246.5,2677.0,233545.0,53.82
NCC,EQ,22-Dec-2011,36.0,35.95,37.15,35.2,36.05,36.15,36.23,303869,11008392.4,2149.0,144637.0,47.6
NCC,EQ,21-Dec-2011,34.75,36.1,36.75,35.05,36.0,36.0,35.78,251434,8996516.5,1730.0,157559.0,62.66
NCC,EQ,20-Dec-2011,34.7,35.9,37.6,34.35,35.2,34.75,35.09,1385882,48625237.0,3285.0,1130461.0,81.57
NCC,EQ,19-Dec-2011,35.35,35.4,35.9,32.9,35.05,34.7,33.88,455861,15444909.3,4158.0,216468.0,47.49
NCC,EQ,16-Dec-2011,36.9,37.1,38.05,34.6,35.85,35.35,36.37,422699,15374233.6,3874.0,224115.0,53.02
NCC,EQ,15-Dec-2011,36.85,35.75,37.35,35.75,37.2,36.9,36.74,165622,6085162.5,2483.0,69390.0,41.9
NCC,EQ,14-Dec-2011,38.0,38.5,40.7,36.5,37.1,36.85,38.37,860358,33011620.35,7600.0,346774.0,40.31
NCC,EQ,13-Dec-2011,38.2,38.15,38.5,37.6,38.5,38.0,38.0,145054,5511779.9,1310.0,72007.0,49.64
NCC,EQ,12-Dec-2011,38.25,39.0,39.15,37.75,37.8,38.2,38.14,553293,21104931.8,3411.0,331479.0,59.91
NCC,EQ,09-Dec-2011,39.15,39.15,39.15,37.6,38.25,38.25,38.15,314128,11983817.3,3480.0,133992.0,42.66
NCC,EQ,08-Dec-2011,42.1,42.0,42.0,37.8,38.9,39.15,39.36,1281950,50451736.7,8255.0,589112.0,45.95
NCC,EQ,07-Dec-2011,39.65,39.15,43.2,39.15,41.85,42.1,41.58,1926856,80112975.3,10919.0,917643.0,47.62
NCC,EQ,05-Dec-2011,40.3,40.3,40.3,38.75,39.9,39.65,39.53,768881,30396479.7,6361.0,394782.0,51.35
NCC,EQ,02-Dec-2011,37.75,38.5,41.4,37.1,40.15,40.3,40.01,1132356,45306637.9,6265.0,588168.0,51.94
NCC,EQ,01-Dec-2011,37.15,38.55,39.7,37.1,37.5,37.75,38.32,504601,19333819.85,4874.0,198472.0,39.33
NCC,EQ,30-Nov-2011,39.0,38.05,39.2,36.85,37.25,37.15,37.52,505280,18958003.7,5219.0,242439.0,47.98
NCC,EQ,29-Nov-2011,39.85,42.7,42.7,38.1,39.0,39.0,38.98,809083,31538171.25,7470.0,492827.0,60.91
NCC,EQ,28-Nov-2011,37.15,37.5,40.35,37.5,40.25,39.85,39.14,1293168,50610694.1,3657.0,1056683.0,81.71
NCC,EQ,25-Nov-2011,36.65,36.5,38.6,36.1,37.5,37.15,37.48,518289,19426453.05,3501.0,186560.0,36.0
NCC,EQ,24-Nov-2011,37.3,37.3,37.5,35.5,37.0,36.65,36.58,1584843,57972947.9,7099.0,896634.0,56.58
NCC,EQ,23-Nov-2011,38.7,39.0,39.0,36.5,37.0,37.3,37.36,661695,24719708.6,6272.0,242647.0,36.67
NCC,EQ,22-Nov-2011,38.85,39.05,39.5,38.0,39.0,38.7,38.7,402449,15573381.45,3039.0,175024.0,43.49
NCC,EQ,21-Nov-2011,39.95,40.25,40.7,38.0,38.2,38.85,39.62,368879,14615866.35,3708.0,124213.0,33.67
NCC,EQ,18-Nov-2011,41.45,41.0,42.05,37.7,40.55,39.95,39.32,758109,29805821.9,7084.0,303444.0,40.03
NCC,EQ,17-Nov-2011,44.15,44.5,45.3,41.0,41.65,41.45,42.45,692437,29394138.2,10158.0,377969.0,54.59
NCC,EQ,16-Nov-2011,45.05,45.05,45.85,42.8,44.95,44.15,44.25,566108,25051137.1,4979.0,233810.0,41.3
NCC,EQ,15-Nov-2011,47.25,47.85,48.0,44.25,44.65,45.05,45.62,542258,24739183.05,5736.0,277747.0,51.22
NCC,EQ,14-Nov-2011,50.4,51.5,51.95,45.5,46.3,47.25,47.98,893663,42877442.75,10444.0,515216.0,57.65
NCC,EQ,11-Nov-2011,52.55,52.7,52.7,50.1,50.5,50.4,51.14,384736,19675931.45,4664.0,217665.0,56.58
NCC,EQ,09-Nov-2011,54.75,55.9,55.9,51.8,52.0,52.55,53.77,408261,21951778.7,3907.0,211092.0,51.71
NCC,EQ,08-Nov-2011,52.6,53.45,56.6,52.8,54.65,54.75,54.86,858905,47121366.65,8132.0,264409.0,30.78
NCC,EQ,04-Nov-2011,52.7,52.7,53.95,50.5,53.2,52.6,52.47,2118706,111171161.7,11668.0,604611.0,28.54
