"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
NMDC,EQ,30-Dec-2011,155.75,157.75,164.5,155.75,160.05,160.9,162.12,637769,103392149.55,14425.0,81658.0,12.8
NMDC,EQ,29-Dec-2011,157.4,156.55,159.9,154.5,155.05,155.75,156.47,172049,26920380.65,2909.0,81744.0,47.51
NMDC,EQ,28-Dec-2011,159.5,159.5,160.0,154.55,157.0,157.4,157.43,199627,31426893.95,3595.0,93264.0,46.72
NMDC,EQ,27-Dec-2011,158.85,161.9,161.9,153.0,160.0,159.5,158.23,207897,32895527.2,4071.0,125865.0,60.54
NMDC,EQ,26-Dec-2011,156.95,157.5,163.0,155.2,157.05,158.85,160.97,287652,46303027.1,6517.0,62302.0,21.66
NMDC,EQ,23-Dec-2011,150.6,152.85,159.4,150.7,157.05,156.95,156.61,461416,72261904.8,9334.0,194577.0,42.17
NMDC,EQ,22-Dec-2011,143.85,142.95,152.0,141.7,151.05,150.6,148.42,416574,61827952.95,10096.0,155227.0,37.26
NMDC,EQ,21-Dec-2011,136.95,139.0,144.6,139.0,144.6,143.85,141.75,265498,37634583.5,8028.0,114599.0,43.16
NMDC,EQ,20-Dec-2011,144.7,145.4,146.75,135.6,137.4,136.95,140.25,461247,64688545.15,17165.0,226718.0,49.15
NMDC,EQ,19-Dec-2011,153.8,153.5,154.95,142.05,144.1,144.7,146.23,447800,65481134.6,12199.0,234457.0,52.36
NMDC,EQ,16-Dec-2011,159.4,160.4,162.5,152.45,153.1,153.8,157.01,445574,69959164.05,10941.0,243563.0,54.66
NMDC,EQ,15-Dec-2011,165.85,165.0,165.0,159.0,159.0,159.4,160.38,369873,59321594.8,16941.0,203956.0,55.14
NMDC,EQ,14-Dec-2011,168.85,170.0,174.5,163.85,166.15,165.85,169.08,412584,69759573.6,15924.0,177735.0,43.08
NMDC,EQ,13-Dec-2011,168.85,168.75,170.8,162.0,170.8,168.85,165.96,304002,50452187.75,10039.0,155184.0,51.05
NMDC,EQ,12-Dec-2011,176.85,178.95,179.65,167.45,168.8,168.85,172.55,285244,49219401.65,15149.0,159486.0,55.91
NMDC,EQ,09-Dec-2011,180.0,178.95,180.0,175.7,177.6,176.85,177.21,300834,53310577.2,10510.0,182793.0,60.76
NMDC,EQ,08-Dec-2011,185.75,185.55,186.55,179.1,179.7,180.0,182.1,213194,38821616.4,10170.0,128520.0,60.28
NMDC,EQ,07-Dec-2011,188.0,188.0,190.95,185.0,185.5,185.75,187.64,213200,40005852.55,8235.0,113582.0,53.27
NMDC,EQ,05-Dec-2011,189.95,190.55,192.25,187.0,188.4,188.0,189.48,178907,33900089.65,5019.0,84907.0,47.46
NMDC,EQ,02-Dec-2011,187.3,188.0,195.85,186.1,190.25,189.95,190.46,454335,86533885.1,7369.0,203553.0,44.8
NMDC,EQ,01-Dec-2011,184.95,188.85,193.5,185.5,188.1,187.3,190.07,284986,54166437.9,6820.0,143608.0,50.39
NMDC,EQ,30-Nov-2011,187.0,187.05,192.0,184.35,185.85,184.95,187.18,204241,38230652.8,4409.0,108795.0,53.27
