"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
NSLNISP,EQ,28-Dec-2023,49.65,49.95,52.15,49.5,50.6,50.6,50.81,13059635,663525694.0,25223,5529398.0,42.34
NSLNISP,EQ,27-Dec-2023,49.9,50.2,50.95,49.45,49.65,49.65,50.11,3934934,197188475.2,8869,2098080.0,53.32
NSLNISP,EQ,26-Dec-2023,50.9,51.05,51.3,49.75,49.9,49.9,50.38,5489141,276563147.8,16571,3081921.0,56.15
NSLNISP,EQ,22-Dec-2023,50.1,50.5,51.5,49.75,50.75,50.9,50.71,6135960,311143597.95,12383,2980861.0,48.58
NSLNISP,EQ,21-Dec-2023,48.05,47.1,50.35,46.5,50.25,50.1,48.96,9734182,476616355.1,19952,3574090.0,36.72
NSLNISP,EQ,20-Dec-2023,51.85,52.1,52.4,47.15,47.9,48.05,49.97,11267700,562995028.0,24012,6004730.0,53.29
NSLNISP,EQ,19-Dec-2023,51.85,52.0,52.7,51.0,51.75,51.85,51.83,7305028,378629094.5,14004,3717120.0,50.88
NSLNISP,EQ,18-Dec-2023,52.4,52.7,52.85,51.15,52.15,51.85,51.89,13743483,713147594.15,30035,7411412.0,53.93
NSLNISP,EQ,15-Dec-2023,49.3,49.85,52.7,49.7,52.6,52.4,51.68,21253422,1098466202.15,38812,10697394.0,50.33
NSLNISP,EQ,14-Dec-2023,47.05,47.5,50.8,47.5,49.4,49.3,49.42,22676672,1120720342.55,35334,10471061.0,46.18
NSLNISP,EQ,13-Dec-2023,46.65,46.95,47.85,46.75,47.1,47.05,47.16,5244809,247337937.8,12091,2547615.0,48.57
NSLNISP,EQ,12-Dec-2023,47.3,47.8,48.05,46.4,46.9,46.65,47.32,6432225,304355456.4,12465,3608212.0,56.10
NSLNISP,EQ,11-Dec-2023,46.8,47.5,47.8,46.8,47.25,47.3,47.2,6124295,289058146.35,11634,3423810.0,55.91
NSLNISP,EQ,08-Dec-2023,45.8,46.1,48.3,46.1,46.9,46.8,47.14,13935999,656989532.3,26514,6435661.0,46.18
NSLNISP,EQ,07-Dec-2023,45.3,45.5,46.45,44.65,45.9,45.8,45.68,8625699,394013604.7,17897,4293902.0,49.78
NSLNISP,EQ,06-Dec-2023,44.5,44.5,46.4,44.05,45.35,45.3,45.18,9341086,422060137.9,14113,5025461.0,53.80
NSLNISP,EQ,05-Dec-2023,44.55,44.7,45.1,44.05,44.55,44.5,44.66,4735602,211482059.0,11408,2481723.0,52.41
NSLNISP,EQ,04-Dec-2023,43.75,45.2,45.65,44.3,44.7,44.55,44.68,8167590,364950771.05,19344,4976180.0,60.93
NSLNISP,EQ,01-Dec-2023,44.35,44.9,45.15,43.6,43.75,43.75,44.23,5424256,239892314.0,15539,3035595.0,55.96
NSLNISP,EQ,30-Nov-2023,43.25,43.4,44.85,42.8,44.6,44.35,43.61,9656834,421117617.85,20359,6152493.0,63.71
NSLNISP,EQ,29-Nov-2023,43.7,44.3,44.4,43.0,43.4,43.25,43.57,7126128,310503041.15,14954,3754109.0,52.68
NSLNISP,EQ,28-Nov-2023,41.75,42.1,44.25,41.45,43.65,43.7,43.18,9681031,418045678.95,21828,4634785.0,47.87
NSLNISP,EQ,24-Nov-2023,41.9,42.0,42.5,41.5,41.8,41.75,41.9,2490591,104349181.05,7565,1293406.0,51.93
NSLNISP,EQ,23-Nov-2023,41.95,41.55,42.3,41.55,41.95,41.9,41.94,1839508,77141729.65,5863,953294.0,51.82
NSLNISP,EQ,22-Nov-2023,42.5,42.65,42.9,41.4,42.0,41.95,41.91,3238695,135722064.25,7391,1680255.0,51.88
NSLNISP,EQ,21-Nov-2023,42.65,42.65,43.25,42.4,42.5,42.5,42.83,2773817,118803950.1,10919,1597561.0,57.59
NSLNISP,EQ,20-Nov-2023,42.85,43.05,43.3,42.5,42.6,42.65,42.76,2242029,95875593.95,8545,1260773.0,56.23
NSLNISP,EQ,17-Nov-2023,43.15,43.0,43.3,42.6,42.9,42.85,42.87,3169465,135879773.8,9266,1631082.0,51.46
NSLNISP,EQ,16-Nov-2023,43.3,43.65,44.05,43.05,43.1,43.15,43.53,4759215,207171524.9,10772,2055130.0,43.18
NSLNISP,EQ,15-Nov-2023,42.4,42.5,43.5,41.75,43.4,43.3,42.9,8222700,352738003.05,19877,3667206.0,44.60
NSLNISP,EQ,13-Nov-2023,41.6,41.6,42.9,40.95,42.55,42.4,42.25,8666186,366171988.35,17662,4021753.0,46.41
NSLNISP,EQ,12-Nov-2023,40.4,41.0,41.9,41.0,41.8,41.6,41.44,1605354,66528941.25,6563,1216437.0,75.77
NSLNISP,EQ,10-Nov-2023,40.95,40.55,41.5,40.35,40.6,40.4,40.68,4598900,187061039.0,12129,2707089.0,58.86
NSLNISP,EQ,09-Nov-2023,41.65,41.65,41.8,40.8,41.0,40.95,41.15,3541937,145746103.95,9427,2270797.0,64.11
NSLNISP,EQ,08-Nov-2023,41.7,42.0,42.2,41.4,41.6,41.65,41.8,3485545,145705097.15,11001,2070450.0,59.40
NSLNISP,EQ,07-Nov-2023,41.0,41.2,42.4,40.8,41.7,41.7,41.72,5987336,249814677.15,12083,3453257.0,57.68
NSLNISP,EQ,06-Nov-2023,40.7,41.0,41.3,40.65,41.05,41.0,40.96,4344946,177969955.0,10618,2428547.0,55.89
NSLNISP,EQ,03-Nov-2023,40.0,40.4,41.1,40.2,40.7,40.7,40.66,3937694,160108137.85,10097,1998032.0,50.74
NSLNISP,EQ,02-Nov-2023,39.4,39.95,40.4,39.15,40.25,40.0,39.74,5135298,204055814.55,12484,2581152.0,50.26
NSLNISP,EQ,01-Nov-2023,40.15,40.5,40.55,39.25,39.4,39.4,39.79,4798488,190910236.85,14846,3046328.0,63.49
NSLNISP,EQ,31-Oct-2023,40.45,40.8,41.65,40.0,40.2,40.15,40.56,6704258,271921658.7,17509,3717658.0,55.45
