"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
NTPCGREEN,EQ,27-Dec-2024,126.03,126.0,133.3,124.3,130.85,129.84,129.77,28200821,3659587996.76,162657,6123644,21.71
NTPCGREEN,EQ,26-Dec-2024,133.01,130.0,130.99,125.3,125.5,126.03,126.7,35316396,4474448495.39,239703,19352135,54.8
NTPCGREEN,EQ,24-Dec-2024,134.51,134.81,135.0,132.0,132.55,133.01,133.15,5699949,758959218.62,44277,1972641,34.61
NTPCGREEN,EQ,23-Dec-2024,131.67,136.35,137.09,132.12,134.75,134.51,133.96,10403006,1393580441.72,65708,3028942,29.12
NTPCGREEN,EQ,20-Dec-2024,134.83,135.5,138.1,130.54,131.7,131.67,134.19,12281654,1648118712.11,90331,4490909,36.57
NTPCGREEN,EQ,19-Dec-2024,135.49,132.1,138.1,131.4,134.75,134.83,134.76,17244808,2323848845.75,102541,6616095,38.37
NTPCGREEN,EQ,18-Dec-2024,139.74,139.0,139.6,133.1,135.7,135.49,135.63,18506720,2509991498.61,139725,7405307,40.01
NTPCGREEN,EQ,17-Dec-2024,141.73,140.9,141.7,138.24,139.6,139.74,139.9,11805928,1651621482.3,91897,6256739,53.0
NTPCGREEN,EQ,16-Dec-2024,144.13,144.12,144.8,141.0,142.0,141.73,142.51,10733898,1529722934.62,72016,4843348,45.12
NTPCGREEN,EQ,13-Dec-2024,143.39,138.15,145.6,138.15,143.96,144.13,142.57,20380612,2905643918.66,108873,5455378,26.77
NTPCGREEN,EQ,12-Dec-2024,148.61,148.4,148.43,142.1,143.7,143.39,144.62,16241529,2348859533.24,111624,7836926,48.25
NTPCGREEN,EQ,11-Dec-2024,146.65,152.51,154.4,147.28,148.15,148.61,149.82,41058297,6151157317.38,190338,13185525,32.11
NTPCGREEN,EQ,10-Dec-2024,144.69,145.15,149.6,142.13,146.55,146.65,146.38,39282395,5749990325.76,164404,11799673,30.04
NTPCGREEN,EQ,09-Dec-2024,143.99,145.0,146.75,142.0,144.59,144.69,144.69,21477842,3107581237.9,138498,7673564,35.73
NTPCGREEN,EQ,06-Dec-2024,141.1,141.8,146.2,139.67,143.6,143.99,143.93,33774224,4861180933.68,191174,8758014,25.93
NTPCGREEN,EQ,05-Dec-2024,147.65,148.9,149.7,139.25,140.95,141.1,141.71,49314505,6988507379.01,294672,21133062,42.85
NTPCGREEN,EQ,04-Dec-2024,142.12,151.3,155.35,144.0,147.9,147.65,148.68,92484595,13750214125.99,478454,32357060,34.99
NTPCGREEN,EQ,03-Dec-2024,129.2,129.94,142.12,129.5,142.12,142.12,139.05,63550283,8836466872.85,197327,22591637,35.55
NTPCGREEN,EQ,02-Dec-2024,124.84,125.8,129.93,124.0,128.9,129.2,127.98,43653965,5586626457.15,243963,13458104,30.83
NTPCGREEN,EQ,29-Nov-2024,127.75,127.0,132.13,123.22,125.3,124.84,128.23,78282615,10037948343.47,433076,28633117,36.58
NTPCGREEN,EQ,28-Nov-2024,121.65,120.5,132.3,116.23,127.2,127.75,125.14,168668707,21106575221.38,710578,41650838,24.69
NTPCGREEN,EQ,27-Nov-2024,108.0,111.5,122.65,111.5,121.25,121.65,119.31,300960804,35907880207.02,870708,111026484,36.89
NTPCGREEN,EQ,26-Dec-2025,93.27,93.81,93.81,92.81,92.82,92.98,93.23,3497622,326069185.3,24498,1435936,41.05
NTPCGREEN,EQ,24-Dec-2025,90.48,90.38,95.19,90.08,93.21,93.27,93.37,13630518,1272641546.82,61212,3194389,23.44
NTPCGREEN,EQ,23-Dec-2025,90.61,90.62,91.1,90.12,90.31,90.48,90.6,2605666,236073509.09,45557,1669628,64.08
NTPCGREEN,EQ,22-Dec-2025,89.92,89.96,90.85,89.91,90.75,90.61,90.51,3483945,315323043.49,31726,2110980,60.59
NTPCGREEN,EQ,19-Dec-2025,90.06,90.06,90.24,89.5,90.05,89.92,89.9,3888880,349605680.7,29088,2586570,66.51
NTPCGREEN,EQ,18-Dec-2025,90.35,90.5,90.5,89.3,90.0,90.06,89.73,2014278,180734341.12,18961,865935,42.99
NTPCGREEN,EQ,17-Dec-2025,90.27,90.5,90.6,89.75,90.33,90.35,90.11,2171382,195665953.43,15132,1008723,46.46
NTPCGREEN,EQ,16-Dec-2025,90.47,90.34,90.5,89.83,90.26,90.27,90.14,1957059,176400977.05,21423,1160333,59.29
NTPCGREEN,EQ,15-Dec-2025,91.53,91.5,91.5,90.25,90.34,90.47,90.56,2170979,196611073.18,24732,1352391,62.29
NTPCGREEN,EQ,12-Dec-2025,90.88,91.08,92.06,90.76,91.53,91.53,91.26,2138941,195200090.79,18241,1192003,55.73
NTPCGREEN,EQ,11-Dec-2025,90.77,90.92,91.18,89.56,91.0,90.88,90.46,1746392,157978325.95,20424,829438,47.49
NTPCGREEN,EQ,10-Dec-2025,90.83,91.34,91.89,90.33,90.5,90.77,90.99,2414190,219663619.67,32413,997302,41.31
NTPCGREEN,EQ,09-Dec-2025,90.27,90.0,91.28,88.5,91.28,90.83,89.87,3418480,307209962.61,46032,1840370,53.84
NTPCGREEN,EQ,08-Dec-2025,91.21,91.52,91.75,90.0,90.35,90.27,90.51,2902890,262739486.49,28121,1602556,55.21
NTPCGREEN,EQ,05-Dec-2025,91.18,91.1,91.4,90.01,91.3,91.21,90.58,2515956,227885378.0,29541,1251874,49.76
NTPCGREEN,EQ,04-Dec-2025,91.74,91.74,92.1,90.8,91.06,91.18,91.35,3185553,291001567.48,24839,1941897,60.96
NTPCGREEN,EQ,03-Dec-2025,92.88,92.79,93.0,91.4,91.71,91.74,91.76,3833587,351788264.04,37040,2083952,54.36
NTPCGREEN,EQ,02-Dec-2025,94.83,94.0,94.33,92.5,92.9,92.88,93.15,6740313,627836705.18,59116,4511573,66.93
NTPCGREEN,EQ,01-Dec-2025,94.95,95.0,95.55,93.67,94.78,94.83,94.78,3432907,325372917.31,24264,2064084,60.13
NTPCGREEN,EQ,28-Nov-2025,95.0,95.0,95.48,94.32,95.14,94.95,94.99,3041710,288945045.47,16996,2128589,69.98
NTPCGREEN,EQ,27-Nov-2025,94.55,94.94,95.4,94.57,95.07,95.0,95.01,1823357,173241127.58,24414,975917,53.52
NTPCGREEN,EQ,26-Nov-2025,94.75,95.0,95.9,94.02,94.35,94.55,95.02,5333988,506859805.78,41351,3317308,62.19
NTPCGREEN,EQ,25-Nov-2025,95.3,95.0,95.25,93.66,95.09,94.75,94.2,3755478,353768204.92,34052,1948400,51.88
NTPCGREEN,EQ,24-Nov-2025,97.13,97.15,97.25,95.0,95.12,95.3,95.43,6356961,606659501.6,36858,4429223,69.68
NTPCGREEN,EQ,21-Nov-2025,97.5,97.4,97.56,97.02,97.04,97.13,97.23,1531892,148941664.15,15984,987873,64.49
NTPCGREEN,EQ,20-Nov-2025,98.18,99.0,99.11,97.4,97.5,97.5,97.97,5057565,495471076.63,31374,3552329,70.24
NTPCGREEN,EQ,19-Nov-2025,98.26,98.26,98.9,97.99,98.07,98.18,98.29,2578652,253460967.24,28660,1612796,62.54
NTPCGREEN,EQ,18-Nov-2025,99.18,99.2,99.28,98.2,98.3,98.26,98.46,2030428,199910387.27,16255,1311408,64.59
NTPCGREEN,EQ,17-Nov-2025,98.48,98.94,99.36,98.56,99.12,99.18,99.02,2041090,202103910.39,15729,1068518,52.35
NTPCGREEN,EQ,14-Nov-2025,99.11,98.89,99.2,98.32,98.49,98.48,98.67,1631631,160990700.51,17417,1070251,65.59
NTPCGREEN,EQ,13-Nov-2025,98.83,99.0,99.45,98.33,99.05,99.11,98.87,2751796,272058922.13,19827,1548247,56.26
NTPCGREEN,EQ,12-Nov-2025,98.01,98.1,99.14,98.02,99.05,98.83,98.56,2622443,258466768.35,17397,1458143,55.6
NTPCGREEN,EQ,11-Nov-2025,97.92,98.0,98.79,97.25,98.1,98.01,97.87,5126629,501754968.47,25404,3455032,67.39
NTPCGREEN,EQ,10-Nov-2025,98.96,99.0,99.5,97.69,97.8,97.92,98.34,3975661,390985877.39,40293,2438286,61.33
NTPCGREEN,EQ,07-Nov-2025,99.63,99.15,100.16,98.36,98.9,98.96,99.19,8954424,888206192.56,31299,6925251,77.34
NTPCGREEN,EQ,06-Nov-2025,100.74,100.74,101.1,99.37,99.55,99.63,99.97,2602349,260156739.78,24397,1588397,61.04
NTPCGREEN,EQ,04-Nov-2025,103.0,102.72,103.0,100.11,101.05,100.74,101.33,4432847,449167755.9,30315,2738951,61.79
NTPCGREEN,EQ,03-Nov-2025,103.14,103.0,103.4,102.5,102.98,103.0,102.96,2759309,284109402.93,19874,1768433,64.09
NTPCGREEN,EQ,31-Oct-2025,104.6,104.45,104.74,103.0,103.05,103.14,103.7,4960828,514447759.06,36134,2955712,59.58
NTPCGREEN,EQ,30-Oct-2025,105.04,105.4,106.49,103.15,104.4,104.6,104.75,15214752,1593708045.06,72031,5754371,37.82
NTPCGREEN,EQ,29-Oct-2025,101.59,102.0,105.24,101.5,105.1,105.04,104.18,13309341,1386565845.56,58834,7588840,57.02
NTPCGREEN,EQ,28-Oct-2025,101.01,101.7,102.0,101.03,101.64,101.59,101.53,3301540,335189170.91,18385,2182292,66.1
NTPCGREEN,EQ,27-Oct-2025,101.48,101.5,101.74,100.3,101.19,101.01,100.92,3107244,313587407.16,23735,1728646,55.63
NTPCGREEN,EQ,24-Oct-2025,100.78,100.8,102.47,100.53,101.45,101.48,101.36,3591893,364080789.96,26297,1551430,43.19
NTPCGREEN,EQ,23-Oct-2025,100.55,100.27,101.08,99.75,100.8,100.78,100.45,3704926,372162187.3,24652,2176669,58.75
NTPCGREEN,EQ,21-Oct-2025,99.98,100.2,100.8,100.2,100.5,100.55,100.51,793569,79762040.77,10661,530881,66.95
NTPCGREEN,EQ,20-Oct-2025,100.01,100.47,100.47,99.51,99.95,99.98,99.89,1937474,193538303.18,20813,1028813,53.1
NTPCGREEN,EQ,17-Oct-2025,99.96,99.2,100.15,99.2,100.04,100.01,99.87,3014674,301090098.82,21592,1813394,60.15
NTPCGREEN,EQ,16-Oct-2025,99.6,99.6,100.74,99.11,100.0,99.96,99.89,3985117,398055577.04,32344,2388526,59.94
NTPCGREEN,EQ,15-Oct-2025,98.75,98.78,99.75,98.11,99.63,99.6,99.37,2821779,280400120.45,18439,1718382,60.9
NTPCGREEN,EQ,14-Oct-2025,98.7,98.7,99.0,97.25,98.75,98.75,98.33,4178402,410850892.4,26059,2020425,48.35
NTPCGREEN,EQ,13-Oct-2025,99.58,100.07,100.71,98.45,98.66,98.7,99.04,4739235,469376530.84,30103,2081539,43.92
NTPCGREEN,EQ,10-Oct-2025,98.17,99.9,101.0,98.8,99.51,99.58,99.52,9592720,954646883.33,43629,3696103,38.53
NTPCGREEN,EQ,09-Oct-2025,98.55,98.56,98.77,97.4,98.05,98.17,98.02,4164112,408162599.08,26534,2861372,68.72
NTPCGREEN,EQ,08-Oct-2025,98.53,98.54,99.0,98.27,98.57,98.55,98.57,4456655,439313401.84,30762,3136340,70.37
NTPCGREEN,EQ,07-Oct-2025,98.17,98.49,98.9,97.8,98.61,98.53,98.42,4157473,409185434.49,22239,2185790,52.57
NTPCGREEN,EQ,06-Oct-2025,97.6,98.0,98.59,97.34,98.15,98.17,97.95,3883048,380341317.74,23189,2270279,58.47
NTPCGREEN,EQ,03-Oct-2025,98.15,98.29,98.57,97.37,97.79,97.6,97.71,6382041,623594501.84,43608,3585022,56.17
NTPCGREEN,EQ,01-Oct-2025,97.21,97.21,98.5,97.1,98.3,98.15,97.75,3553354,347350883.64,29366,1768009,49.76
NTPCGREEN,EQ,30-Sep-2025,97.12,97.39,98.65,96.78,98.05,97.21,97.47,6079407,592589130.76,47111,3578939,58.87
NTPCGREEN,EQ,29-Sep-2025,99.38,100.0,100.48,96.86,97.0,97.12,98.3,7277172,715359304.52,59741,4563688,62.71
NTPCGREEN,EQ,26-Sep-2025,101.72,101.55,101.88,99.17,99.7,99.38,99.8,6989288,697507812.64,66020,4405279,63.03
NTPCGREEN,EQ,25-Sep-2025,102.33,102.0,102.74,101.6,101.69,101.72,101.98,2403723,245126125.18,23495,1347565,56.06
NTPCGREEN,EQ,24-Sep-2025,103.01,103.19,104.2,101.9,102.1,102.33,102.9,4852690,499358287.51,26362,2423985,49.95
NTPCGREEN,EQ,23-Sep-2025,103.83,103.84,103.94,102.8,103.05,103.01,103.04,19539744,2013288960.95,28744,12805777,65.54
NTPCGREEN,EQ,22-Sep-2025,104.03,104.03,104.5,103.39,103.77,103.83,103.79,3954807,410470720.53,24925,2150956,54.39
NTPCGREEN,EQ,19-Sep-2025,103.79,103.88,104.18,103.29,104.04,104.03,103.81,5926468,615255286.44,21526,3991196,67.35
NTPCGREEN,EQ,18-Sep-2025,104.08,104.6,104.9,103.38,103.9,103.79,103.96,4606653,478926542.7,24102,2758239,59.88
NTPCGREEN,EQ,17-Sep-2025,105.35,105.96,106.0,103.87,104.22,104.08,104.56,6991565,731059392.89,33745,4300545,61.51
NTPCGREEN,EQ,16-Sep-2025,103.56,104.95,108.75,104.57,105.61,105.35,106.7,23176354,2472894527.58,103714,6223109,26.85
NTPCGREEN,EQ,15-Sep-2025,103.26,103.0,105.38,103.0,104.16,103.56,104.12,7948930,827644691.38,43306,4429360,55.72
NTPCGREEN,EQ,12-Sep-2025,102.37,102.97,104.0,102.67,103.23,103.26,103.3,3312061,342123455.59,19283,1701907,51.39
NTPCGREEN,EQ,11-Sep-2025,102.94,103.38,104.9,102.08,102.54,102.37,103.27,5920480,611432656.32,29177,3197494,54.01
NTPCGREEN,EQ,10-Sep-2025,103.15,103.65,104.25,102.8,103.1,102.94,103.37,3381715,349552131.01,25232,1989669,58.84
NTPCGREEN,EQ,09-Sep-2025,102.89,103.0,103.71,102.76,103.27,103.15,103.17,1563996,161361553.1,15027,693835,44.36
NTPCGREEN,EQ,08-Sep-2025,104.06,105.0,105.95,102.69,102.99,102.89,103.55,6499196,673014594.06,49777,3555259,54.7
NTPCGREEN,EQ,05-Sep-2025,103.44,103.44,104.7,103.22,104.1,104.06,104.0,2409870,250627153.38,22480,1374906,57.05
NTPCGREEN,EQ,04-Sep-2025,105.1,106.0,106.36,103.01,103.68,103.44,104.35,5508830,574839472.42,37707,3091632,56.12
NTPCGREEN,EQ,03-Sep-2025,105.97,106.03,106.2,104.75,105.29,105.1,105.31,1996938,210305780.92,19270,1030716,51.61
NTPCGREEN,EQ,02-Sep-2025,104.23,104.52,106.25,104.01,106.0,105.97,105.43,5439106,573462941.14,28151,3126898,57.49
NTPCGREEN,EQ,01-Sep-2025,102.95,102.9,104.56,102.32,104.03,104.23,103.61,3253148,337051783.38,23722,1692034,52.01
NTPCGREEN,EQ,29-Aug-2025,103.21,102.2,103.38,101.7,102.58,102.95,102.64,3776251,387580484.3,22491,2486298,65.84
NTPCGREEN,EQ,28-Aug-2025,102.65,102.5,103.37,100.84,103.25,103.21,102.7,3325099,341488392.69,28113,1830670,55.06
NTPCGREEN,EQ,26-Aug-2025,101.76,102.0,103.0,100.77,102.6,102.65,102.12,4901617,500542665.46,27761,2919558,59.56
NTPCGREEN,EQ,25-Aug-2025,103.31,103.77,104.52,101.1,101.6,101.76,102.63,7393229,758803018.62,35524,4906205,66.36
NTPCGREEN,EQ,22-Aug-2025,103.51,104.05,105.1,103.04,103.35,103.31,103.89,5706649,592890371.98,34985,3043711,53.34
NTPCGREEN,EQ,21-Aug-2025,105.18,105.18,105.45,102.92,103.52,103.51,103.73,6055979,628206318.81,37221,3844762,63.49
NTPCGREEN,EQ,20-Aug-2025,103.05,103.1,105.39,103.1,105.1,105.18,104.66,6918786,724106503.38,30566,4113163,59.45
NTPCGREEN,EQ,19-Aug-2025,100.92,101.0,103.2,101.0,103.09,103.05,102.52,3423236,350967199.7,44636,1824467,53.3
NTPCGREEN,EQ,18-Aug-2025,100.8,101.59,102.28,100.7,101.15,100.92,101.39,3012622,305438465.11,25840,1590548,52.8
NTPCGREEN,EQ,14-Aug-2025,100.64,101.0,101.89,100.45,100.9,100.8,100.9,2176603,219624843.18,20772,984073,45.21
NTPCGREEN,EQ,13-Aug-2025,102.68,102.7,103.45,100.34,100.74,100.64,101.36,4860774,492691627.63,36914,3150977,64.82
NTPCGREEN,EQ,12-Aug-2025,102.21,101.87,103.99,101.7,102.6,102.68,102.99,2862525,294825590.71,35599,1325637,46.31
NTPCGREEN,EQ,11-Aug-2025,101.84,102.0,102.55,100.87,102.52,102.21,101.86,3024274,308040314.99,38253,1241086,41.04
NTPCGREEN,EQ,08-Aug-2025,102.45,102.41,103.99,101.4,101.5,101.84,102.66,2818307,289329526.4,27234,1360663,48.28
NTPCGREEN,EQ,07-Aug-2025,104.35,103.8,104.52,101.28,102.7,102.45,102.38,6415110,656802088.19,60416,3508332,54.69
NTPCGREEN,EQ,06-Aug-2025,105.07,105.0,105.7,103.8,104.15,104.35,104.45,2574282,268874214.73,28964,1360989,52.87
NTPCGREEN,EQ,05-Aug-2025,105.09,105.89,106.29,104.5,105.56,105.07,105.14,3545520,372792805.49,29729,1766136,49.81
NTPCGREEN,EQ,04-Aug-2025,104.53,104.74,105.5,104.32,105.1,105.09,104.92,2604242,273237780.88,22045,1227764,47.14
NTPCGREEN,EQ,01-Aug-2025,104.27,104.27,105.64,104.05,104.62,104.53,104.72,3384587,354442995.79,22533,1717459,50.74
NTPCGREEN,EQ,31-Jul-2025,105.96,105.0,105.3,103.91,104.29,104.27,104.67,3621761,379102914.34,26546,1853136,51.17
NTPCGREEN,EQ,30-Jul-2025,105.97,106.3,106.68,105.73,105.8,105.96,106.13,2962834,314452174.22,20259,1304637,44.03
NTPCGREEN,EQ,29-Jul-2025,107.28,108.27,109.8,105.26,106.04,105.97,106.75,14337930,1530589432.62,65596,4533019,31.62
NTPCGREEN,EQ,28-Jul-2025,105.78,106.0,109.44,105.45,107.29,107.28,107.97,11278007,1217667373.07,72927,4342415,38.5
NTPCGREEN,EQ,25-Jul-2025,106.93,106.69,106.88,105.5,105.61,105.78,106.04,4847210,514021595.84,39678,2639384,54.45
NTPCGREEN,EQ,24-Jul-2025,107.96,108.0,108.06,106.43,106.94,106.93,107.17,5213000,558696578.12,38802,3059693,58.69
NTPCGREEN,EQ,23-Jul-2025,108.43,108.41,109.0,107.61,108.0,107.96,108.11,3899099,421520500.71,29748,2029043,52.04
NTPCGREEN,EQ,22-Jul-2025,109.53,109.4,110.45,108.12,108.26,108.43,109.09,3736244,407601090.83,23799,1767213,47.3
NTPCGREEN,EQ,21-Jul-2025,110.66,110.59,110.9,109.36,109.59,109.53,109.91,3412251,375055816.73,23331,1682299,49.3
NTPCGREEN,EQ,18-Jul-2025,112.0,112.4,113.43,110.2,110.59,110.66,111.61,7114377,794025971.87,40535,3211247,45.14
NTPCGREEN,EQ,17-Jul-2025,111.98,113.0,114.11,111.02,111.9,112.0,112.14,12244800,1373113446.07,52816,4403119,35.96
NTPCGREEN,EQ,16-Jul-2025,110.09,110.0,113.4,109.5,112.2,111.98,111.61,15341675,1712321641.21,68170,5227816,34.08
NTPCGREEN,EQ,15-Jul-2025,110.01,110.2,111.39,108.8,109.85,110.09,110.2,6313812,695809788.47,36801,2889752,45.77
NTPCGREEN,EQ,14-Jul-2025,112.18,112.6,112.64,109.28,110.02,110.01,110.42,7729468,853495546.77,46233,3457519,44.73
NTPCGREEN,EQ,11-Jul-2025,108.24,108.1,113.13,108.01,112.19,112.18,111.56,37614707,4196420012.14,136190,16419030,43.65
NTPCGREEN,EQ,10-Jul-2025,107.37,107.0,108.9,107.0,108.32,108.24,108.2,14877321,1609743065.42,40877,9970312,67.02
NTPCGREEN,EQ,09-Jul-2025,107.02,106.9,107.64,106.8,107.35,107.37,107.34,3771431,404832039.04,28369,2511783,66.6
NTPCGREEN,EQ,08-Jul-2025,106.93,106.3,107.38,106.15,107.15,107.02,106.67,4763229,508086471.72,30319,2941974,61.76
NTPCGREEN,EQ,07-Jul-2025,106.55,106.0,107.49,105.84,106.96,106.93,106.99,5306249,567689592.26,31193,3013236,56.79
NTPCGREEN,EQ,04-Jul-2025,106.43,106.03,106.92,105.73,106.45,106.55,106.52,5218821,555908928.02,39702,2788886,53.44
