"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
NUVAMA,EQ,28-Dec-2023,"3,610.65","3,628.00","3,650.00","3,555.10","3,634.00","3,629.50","3,613.16",31940,115404245.85,6212,17328.0,54.25
NUVAMA,EQ,27-Dec-2023,"3,646.00","3,688.00","3,688.00","3,574.00","3,625.95","3,610.65","3,620.58",21441,77628884.7,4446,12502.0,58.31
NUVAMA,EQ,26-Dec-2023,"3,622.35","3,625.00","3,730.00","3,612.55","3,671.00","3,646.00","3,673.16",46043,169123185.5,8277,27880.0,60.55
NUVAMA,EQ,22-Dec-2023,"3,666.00","3,680.00","3,700.95","3,566.05","3,635.00","3,622.35","3,626.23",37525,136074181.6,7616,20081.0,53.51
NUVAMA,EQ,21-Dec-2023,"3,565.00","3,501.00","3,674.00","3,475.00","3,655.00","3,666.00","3,595.88",43279,155626169.1,8879,17055.0,39.41
NUVAMA,EQ,20-Dec-2023,"3,620.10","3,674.00","3,745.00","3,515.10","3,544.00","3,565.00","3,656.89",103035,376787414.6,20033,57272.0,55.58
NUVAMA,EQ,19-Dec-2023,"3,615.00","3,625.00","3,671.85","3,560.10","3,627.00","3,620.10","3,620.09",54651,197841403.9,10033,26545.0,48.57
NUVAMA,EQ,18-Dec-2023,"3,712.25","3,666.15","3,694.85","3,565.45","3,585.00","3,615.00","3,629.32",73181,265597002.7,12678,33738.0,46.10
NUVAMA,EQ,15-Dec-2023,"3,592.30","3,624.00","3,770.00","3,604.95","3,705.75","3,712.25","3,701.43",195508,723659951.8,21018,114485.0,58.56
NUVAMA,EQ,14-Dec-2023,"3,552.95","3,615.05","3,640.00","3,525.15","3,579.80","3,592.30","3,586.18",135882,487296893.35,16272,85931.0,63.24
NUVAMA,EQ,13-Dec-2023,"3,267.55","3,295.30","3,610.00","3,270.00","3,575.00","3,552.95","3,440.71",288681,993268447.1,27608,175778.0,60.89
NUVAMA,EQ,12-Dec-2023,"3,200.85","3,237.00","3,288.00","3,213.10","3,235.00","3,267.55","3,258.79",228446,744457515.3,22507,158074.0,69.20
NUVAMA,EQ,11-Dec-2023,"3,165.20","3,194.00","3,237.50","3,151.05","3,200.00","3,200.85","3,197.00",155404,496826806.35,12227,110705.0,71.24
NUVAMA,EQ,08-Dec-2023,"3,236.00","3,268.00","3,268.00","3,108.40","3,175.10","3,165.20","3,177.86",64663,205490170.5,8885,37169.0,57.48
NUVAMA,EQ,07-Dec-2023,"3,246.65","3,245.00","3,260.40","3,210.10","3,244.00","3,236.00","3,237.06",110224,356801507.3,9981,88428.0,80.23
NUVAMA,EQ,06-Dec-2023,"3,248.55","3,252.00","3,285.10","3,222.40","3,248.55","3,246.65","3,244.59",51204,166135892.65,6509,36704.0,71.68
NUVAMA,EQ,05-Dec-2023,"3,313.50","3,349.00","3,349.00","3,215.55","3,242.55","3,248.55","3,269.36",107286,350756761.45,15319,69160.0,64.46
NUVAMA,EQ,04-Dec-2023,"3,176.05","3,450.00","3,450.00","3,225.60","3,305.00","3,313.50","3,301.86",328880,1085916898.8,31816,212017.0,64.47
NUVAMA,EQ,01-Dec-2023,"3,142.70","3,150.40","3,220.00","3,145.05","3,178.00","3,176.05","3,178.81",86431,274747465.55,12401,55859.0,64.63
NUVAMA,EQ,30-Nov-2023,"3,170.20","3,170.20","3,184.60","3,080.00","3,141.00","3,142.70","3,140.68",92658,291008820.45,12081,59171.0,63.86
NUVAMA,EQ,29-Nov-2023,"3,186.45","3,216.00","3,216.00","3,140.05","3,165.00","3,170.20","3,172.10",92808,294396288.75,8859,68904.0,74.24
NUVAMA,EQ,28-Nov-2023,"3,164.20","3,165.10","3,193.90","3,142.00","3,184.75","3,186.45","3,179.35",55462,176333136.75,8856,33915.0,61.15
NUVAMA,EQ,24-Nov-2023,"3,219.55","3,238.00","3,257.00","3,145.00","3,167.00","3,164.20","3,186.77",91066,290206218.15,12786,54272.0,59.60
NUVAMA,EQ,23-Nov-2023,"3,173.65","3,194.00","3,253.00","3,165.20","3,210.00","3,219.55","3,208.11",88417,283651138.65,14540,49209.0,55.66
NUVAMA,EQ,22-Nov-2023,"3,205.65","3,221.00","3,229.00","3,117.20","3,180.00","3,173.65","3,185.21",110815,352969492.7,13029,59131.0,53.36
NUVAMA,EQ,21-Nov-2023,"3,212.75","3,251.00","3,314.00","3,165.20","3,211.00","3,205.65","3,251.35",104611,340126581.7,12770,52049.0,49.75
NUVAMA,EQ,20-Nov-2023,"3,121.80","3,149.00","3,264.40","3,056.00","3,245.00","3,212.75","3,144.61",317244,997608664.2,24931,202277.0,63.76
NUVAMA,EQ,17-Nov-2023,"2,898.85","2,920.00","3,174.60","2,869.25","3,125.00","3,121.80","3,009.63",370308,1114490225.95,34749,194561.0,52.54
NUVAMA,EQ,16-Nov-2023,"2,804.20","2,825.00","2,970.70","2,758.85","2,905.00","2,898.85","2,895.54",243270,704397876.05,26512,139231.0,57.23
NUVAMA,EQ,15-Nov-2023,"2,747.40","2,780.05","2,884.40","2,755.50","2,804.00","2,804.20","2,823.36",272066,768141265.05,30658,155570.0,57.18
NUVAMA,EQ,13-Nov-2023,"2,713.85","2,740.00","2,908.55","2,712.60","2,755.40","2,747.40","2,792.77",477945,1334788198.6,40008,294001.0,61.51
NUVAMA,EQ,12-Nov-2023,"2,653.05","2,685.00","2,766.00","2,675.00","2,760.00","2,713.85","2,715.91",124435,337953948.7,2722,102566.0,82.43
NUVAMA,EQ,10-Nov-2023,"2,702.55","2,679.00","2,737.00","2,618.65","2,661.00","2,653.05","2,685.88",276469,742561220.45,18072,183405.0,66.34
NUVAMA,EQ,09-Nov-2023,"2,735.55","2,700.15","2,738.45","2,630.55","2,711.00","2,702.55","2,695.84",53276,143623772.5,7436,31539.0,59.20
NUVAMA,EQ,08-Nov-2023,"2,755.20","2,756.05","2,778.00","2,714.50","2,744.00","2,735.55","2,733.72",34055,93096890.7,6402,21290.0,62.52
NUVAMA,EQ,07-Nov-2023,"2,810.30","2,810.00","2,822.00","2,739.85","2,760.00","2,755.20","2,785.16",21655,60312557.5,4155,14047.0,64.87
NUVAMA,EQ,06-Nov-2023,"2,878.85","2,897.00","2,901.15","2,745.00","2,803.55","2,810.30","2,796.49",45477,127175749.85,7350,22174.0,48.76
NUVAMA,EQ,03-Nov-2023,"2,879.55","2,969.70","2,969.70","2,841.60","2,870.00","2,878.85","2,874.09",22984,66058049.5,4572,14130.0,61.48
NUVAMA,EQ,02-Nov-2023,"2,895.95","2,950.90","2,978.90","2,860.75","2,880.00","2,879.55","2,909.75",33968,98838454.1,7785,18247.0,53.72
NUVAMA,EQ,01-Nov-2023,"2,923.35","2,950.00","2,977.95","2,841.50","2,889.00","2,895.95","2,897.20",38693,112101345.6,6689,19881.0,51.38
NUVAMA,EQ,31-Oct-2023,"2,863.10","3,001.00","3,010.10","2,835.15","2,924.00","2,923.35","2,931.23",162341,475858105.0,29185,91567.0,56.40
NUVAMA,EQ,30-Oct-2023,"2,713.60","2,900.00","2,947.85","2,810.10","2,865.00","2,863.10","2,860.71",97836,279880551.8,12499,59770.0,61.09
NUVAMA,EQ,27-Oct-2023,"2,704.55","2,730.00","2,752.95","2,675.00","2,703.30","2,713.60","2,720.15",33254,90455954.8,4820,21167.0,63.65
NUVAMA,EQ,26-Oct-2023,"2,526.95","2,500.00","2,724.45","2,461.60","2,695.00","2,704.55","2,612.75",98080,256258377.0,11484,65907.0,67.20
