"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
OIL,EQ,30-Dec-2011,"1,172.45","1,174.95","1,200.00","1,162.25","1,190.00","1,188.70","1,179.25",86441,101935964.95,7672.0,66986.0,77.49
OIL,EQ,29-Dec-2011,"1,158.35","1,158.35","1,179.00","1,158.35","1,169.85","1,172.45","1,168.70",24245,28335084.95,1200.0,17391.0,71.73
OIL,EQ,28-Dec-2011,"1,158.25","1,156.95","1,187.40","1,154.50","1,160.00","1,158.35","1,165.90",37914,44204052.35,2219.0,21365.0,56.35
OIL,EQ,27-Dec-2011,"1,168.35","1,167.00","1,170.90","1,154.50","1,160.00","1,158.25","1,165.65",78677,91710074.6,1715.0,71326.0,90.66
OIL,EQ,26-Dec-2011,"1,169.55","1,171.00","1,184.40","1,165.00","1,169.00","1,168.35","1,169.12",60849,71140074.95,1398.0,53865.0,88.52
OIL,EQ,23-Dec-2011,"1,166.45","1,169.00","1,180.00","1,157.00","1,175.00","1,169.55","1,170.72",24679,28892109.65,2765.0,16008.0,64.86
OIL,EQ,22-Dec-2011,"1,159.35","1,161.10","1,170.00","1,152.00","1,164.25","1,166.45","1,159.50",57627,66818677.05,4209.0,42112.0,73.08
OIL,EQ,21-Dec-2011,"1,154.50","1,162.15","1,170.95","1,151.05","1,160.00","1,159.35","1,160.87",40998,47593210.35,4754.0,20554.0,50.13
OIL,EQ,20-Dec-2011,"1,153.30","1,160.05","1,165.00","1,141.50","1,159.00","1,154.50","1,153.01",61574,70995618.95,9700.0,48846.0,79.33
OIL,EQ,19-Dec-2011,"1,174.05","1,174.10","1,185.00","1,120.00","1,154.90","1,153.30","1,149.19",42884,49281717.1,4210.0,26565.0,61.95
OIL,EQ,16-Dec-2011,"1,176.55","1,171.10","1,187.65","1,167.00","1,170.00","1,174.05","1,176.49",51730,60859947.1,7925.0,29744.0,57.5
OIL,EQ,15-Dec-2011,"1,147.05","1,147.00","1,188.00","1,133.40","1,180.00","1,176.55","1,153.98",133588,154157887.9,10951.0,99947.0,74.82
OIL,EQ,14-Dec-2011,"1,141.45","1,139.00","1,150.90","1,130.05","1,149.95","1,147.05","1,137.83",121199,137904255.9,4585.0,97227.0,80.22
OIL,EQ,13-Dec-2011,"1,145.70","1,127.15","1,154.95","1,125.05","1,139.25","1,141.45","1,139.67",56698,64617166.45,4749.0,41054.0,72.41
OIL,EQ,12-Dec-2011,"1,190.15","1,191.00","1,193.00","1,136.00","1,140.00","1,145.70","1,154.18",108075,124738258.55,6516.0,77108.0,71.35
OIL,EQ,09-Dec-2011,"1,178.70","1,165.20","1,195.90","1,162.00","1,189.00","1,190.15","1,179.67",46464,54811956.95,3723.0,29783.0,64.1
OIL,EQ,08-Dec-2011,"1,188.30","1,187.15","1,191.95","1,165.10","1,180.00","1,178.70","1,177.67",49839,58693965.05,4565.0,32528.0,65.27
OIL,EQ,07-Dec-2011,"1,151.80","1,161.90","1,196.00","1,150.05","1,190.10","1,188.30","1,178.77",58569,69039145.3,6881.0,35326.0,60.32
OIL,EQ,05-Dec-2011,"1,142.80","1,130.00","1,156.00","1,120.00","1,155.00","1,151.80","1,142.56",143317,163747633.9,4362.0,123494.0,86.17
OIL,EQ,02-Dec-2011,"1,135.50","1,132.05","1,154.55","1,115.00","1,139.00","1,142.80","1,135.01",95633,108544350.8,5022.0,59362.0,62.07
OIL,EQ,01-Dec-2011,"1,135.20","1,157.30","1,159.70","1,121.00","1,135.00","1,135.50","1,131.75",232092,262670943.95,8371.0,191995.0,82.72
OIL,EQ,30-Nov-2011,"1,146.40","1,149.95","1,150.00","1,126.15","1,133.90","1,135.20","1,138.91",60261,68631860.2,2456.0,50427.0,83.68
OIL,EQ,29-Nov-2011,"1,160.40","1,176.75","1,180.00","1,141.00","1,144.00","1,146.40","1,156.69",77537,89686089.75,6774.0,50946.0,65.71
OIL,EQ,28-Nov-2011,"1,168.25","1,175.05","1,206.00","1,141.95","1,168.40","1,160.40","1,171.71",141231,165482166.6,7460.0,71763.0,50.81
OIL,EQ,25-Nov-2011,"1,171.80","1,166.00","1,185.00","1,139.85","1,165.00","1,168.25","1,165.34",64308,74940861.0,2833.0,39863.0,61.99
OIL,EQ,24-Nov-2011,"1,158.20","1,183.95","1,189.90","1,106.85","1,172.00","1,171.80","1,139.68",50074,57068425.75,5287.0,24267.0,48.46
OIL,EQ,23-Nov-2011,"1,195.20","1,194.00","1,194.00","1,151.00","1,153.00","1,158.20","1,160.69",85648,99410880.85,3827.0,71457.0,83.43
OIL,EQ,22-Nov-2011,"1,203.00","1,185.00","1,212.00","1,180.10","1,193.00","1,195.20","1,196.10",36781,43993827.45,3362.0,23981.0,65.2
OIL,EQ,21-Nov-2011,"1,221.30","1,210.35","1,224.95","1,198.00","1,203.00","1,203.00","1,204.17",69304,83453968.3,4537.0,52077.0,75.14
OIL,EQ,18-Nov-2011,"1,238.40","1,235.00","1,235.00","1,200.00","1,224.95","1,221.30","1,215.71",95710,116355785.5,6065.0,54283.0,56.72
OIL,EQ,17-Nov-2011,"1,266.15","1,255.00","1,277.00","1,230.60","1,235.00","1,238.40","1,258.11",64264,80851354.15,2947.0,50210.0,78.13
OIL,EQ,16-Nov-2011,"1,278.45","1,288.00","1,288.00","1,260.00","1,266.60","1,266.15","1,266.12",48286,61135977.1,4517.0,32241.0,66.77
OIL,EQ,15-Nov-2011,"1,289.60","1,290.00","1,299.00","1,271.95","1,278.25","1,278.45","1,280.33",35077,44910121.2,2416.0,21731.0,61.95
OIL,EQ,14-Nov-2011,"1,290.65","1,310.00","1,312.95","1,281.00","1,287.50","1,289.60","1,296.73",73066,94746808.5,5022.0,17206.0,23.55
OIL,EQ,11-Nov-2011,"1,275.90","1,277.20","1,313.95","1,274.05","1,292.95","1,290.65","1,293.09",36221,46836899.95,4635.0,14952.0,41.28
OIL,EQ,09-Nov-2011,"1,304.85","1,313.00","1,313.00","1,271.70","1,280.00","1,275.90","1,285.26",47195,60657692.95,5214.0,36450.0,77.23
OIL,EQ,08-Nov-2011,"1,306.50","1,325.00","1,328.00","1,303.00","1,305.15","1,304.85","1,314.25",32288,42434395.05,1929.0,20377.0,63.11
OIL,EQ,04-Nov-2011,"1,298.30","1,300.00","1,312.75","1,300.00","1,309.95","1,306.50","1,305.34",26482,34567906.5,1168.0,20931.0,79.04
OIL,EQ,03-Nov-2011,"1,290.95","1,291.00","1,306.00","1,276.15","1,295.00","1,298.30","1,291.78",17726,22898134.4,1693.0,10682.0,60.26
OIL,EQ,02-Nov-2011,"1,269.95","1,263.00","1,299.90","1,260.00","1,295.00","1,290.95","1,290.13",44019,56790308.9,5401.0,30502.0,69.29
OIL,EQ,01-Nov-2011,"1,298.85","1,288.00","1,305.00","1,258.15","1,271.70","1,269.95","1,277.09",45987,58729614.7,6101.0,30512.0,66.35
OIL,EQ,31-Oct-2011,"1,305.00","1,305.00","1,312.00","1,290.00","1,299.90","1,298.85","1,298.59",49147,63821755.65,2944.0,40629.0,82.67
