"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
GOLDINFRA,EQ,30-Dec-2011,9.75,9.3,9.5,9.2,9.3,9.25,9.37,2157,20205.1,35.0,1045.0,48.45
GOLDINFRA,EQ,29-Dec-2011,9.25,9.05,9.75,9.0,9.45,9.75,9.64,785,7566.35,14.0,505.0,64.33
GOLDINFRA,EQ,28-Dec-2011,9.35,9.15,9.6,9.15,9.25,9.25,9.33,2865,26731.95,36.0,2854.0,99.62
GOLDINFRA,EQ,27-Dec-2011,9.5,9.15,9.45,9.15,9.45,9.35,9.31,3731,34726.2,22.0,3728.0,99.92
GOLDINFRA,EQ,26-Dec-2011,9.05,9.0,9.75,9.0,9.5,9.5,9.19,1957,17990.2,35.0,1399.0,71.49
GOLDINFRA,EQ,23-Dec-2011,9.55,9.15,9.15,8.9,9.05,9.05,8.99,2132,19170.05,33.0,1792.0,84.05
GOLDINFRA,EQ,22-Dec-2011,9.1,9.0,9.7,9.0,9.55,9.55,9.12,631,5751.8,17.0,556.0,88.11
GOLDINFRA,EQ,21-Dec-2011,9.15,9.05,9.7,9.05,9.55,9.1,9.27,1866,17290.1,44.0,1471.0,78.83
GOLDINFRA,EQ,20-Dec-2011,9.15,9.85,9.85,9.1,9.15,9.15,9.2,1931,17758.1,17.0,1793.0,92.85
GOLDINFRA,EQ,19-Dec-2011,9.2,9.85,9.85,9.1,9.15,9.15,9.13,11110,101410.85,13.0,11089.0,99.81
GOLDINFRA,EQ,16-Dec-2011,9.6,9.95,9.95,9.2,9.2,9.2,9.46,620,5868.0,6.0,600.0,96.77
GOLDINFRA,EQ,15-Dec-2011,9.5,9.15,9.95,9.15,9.85,9.6,9.37,398,3728.4,13.0,286.0,71.86
GOLDINFRA,EQ,14-Dec-2011,10.0,10.25,10.4,9.5,9.5,9.5,9.8,5122,50203.6,25.0,4041.0,78.89
GOLDINFRA,EQ,13-Dec-2011,9.85,9.6,10.35,9.55,10.0,10.0,9.8,1274,12485.25,28.0,599.0,47.02
GOLDINFRA,EQ,12-Dec-2011,10.7,10.05,10.45,9.8,9.8,9.85,10.25,19377,198689.3,27.0,18471.0,95.32
GOLDINFRA,EQ,09-Dec-2011,10.05,9.6,10.7,9.6,10.7,10.7,10.43,6072,63326.65,17.0,6010.0,98.98
GOLDINFRA,EQ,08-Dec-2011,10.75,10.75,10.8,9.65,10.0,10.05,10.28,6435,66137.05,44.0,2469.0,38.37
GOLDINFRA,EQ,07-Dec-2011,10.5,10.05,10.85,10.05,10.75,10.75,10.81,4042,43683.5,13.0,4040.0,99.95
GOLDINFRA,EQ,05-Dec-2011,9.9,10.2,10.55,9.8,10.5,10.5,10.13,1198,12129.85,7.0,1196.0,99.83
GOLDINFRA,EQ,02-Dec-2011,10.25,9.6,9.9,9.55,9.9,9.9,9.7,1544,14983.2,16.0,1239.0,80.25
GOLDINFRA,EQ,01-Dec-2011,9.9,9.6,10.5,9.6,9.9,10.25,10.18,2063,20997.75,12.0,2032.0,98.5
GOLDINFRA,EQ,30-Nov-2011,9.85,9.8,10.0,9.8,9.85,9.9,9.89,1352,13370.0,10.0,1237.0,91.49
GOLDINFRA,EQ,29-Nov-2011,9.55,9.15,9.95,9.15,9.95,9.85,9.84,2335,22987.35,12.0,2250.0,96.36
GOLDINFRA,EQ,28-Nov-2011,9.35,9.35,9.6,9.3,9.6,9.55,9.37,2129,19957.1,15.0,1925.0,90.42
GOLDINFRA,EQ,25-Nov-2011,9.65,9.75,9.75,9.25,9.3,9.35,9.35,6744,63025.1,45.0,6029.0,89.4
GOLDINFRA,EQ,24-Nov-2011,9.25,8.8,9.9,8.7,9.55,9.65,9.57,4438,42467.5,64.0,3412.0,76.88
GOLDINFRA,EQ,23-Nov-2011,9.5,9.05,9.9,8.25,9.35,9.25,8.52,329083,2802224.2,501.0,273299.0,83.05
GOLDINFRA,EQ,22-Nov-2011,10.9,10.15,12.8,8.75,8.75,9.5,9.67,108132,1045282.45,152.0,87577.0,80.99
GOLDINFRA,EQ,21-Nov-2011,10.7,10.2,11.45,10.2,10.55,10.9,10.6,5514,58465.55,37.0,5201.0,94.32
GOLDINFRA,EQ,18-Nov-2011,10.4,10.3,10.7,10.1,10.7,10.7,10.25,1116,11442.0,23.0,1064.0,95.34
GOLDINFRA,EQ,17-Nov-2011,10.3,10.15,10.95,10.15,10.4,10.4,10.63,2860,30406.25,56.0,1582.0,55.31
