"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ONGC,EQ,30-Dec-2011,257.85,256.70,262.80,255.00,256.40,256.60,259.21,1837303,476239249.3,37303.0,1124436.0,61.2
ONGC,EQ,29-Dec-2011,261.20,261.40,262.85,256.20,260.00,257.85,259.00,2668956,691256680.95,24245.0,1618475.0,60.64
ONGC,EQ,28-Dec-2011,262.65,262.80,263.40,259.70,260.50,261.20,261.21,703368,183724797.75,13775.0,293886.0,41.78
ONGC,EQ,27-Dec-2011,262.50,262.60,264.00,260.20,263.65,262.65,261.66,815224,213309948.6,9171.0,340331.0,41.75
ONGC,EQ,26-Dec-2011,262.00,260.50,263.40,260.05,261.50,262.50,261.77,811018,212303938.9,21660.0,372172.0,45.89
ONGC,EQ,23-Dec-2011,264.55,267.00,267.00,259.75,261.50,262.00,261.78,1250812,327434784.0,31205.0,653206.0,52.22
ONGC,EQ,22-Dec-2011,261.20,256.00,265.30,256.00,264.50,264.55,261.90,1263465,330898422.75,21690.0,491073.0,38.87
ONGC,EQ,21-Dec-2011,252.90,256.00,262.55,253.65,261.10,261.20,257.66,1548600,399019755.75,31114.0,852640.0,55.06
ONGC,EQ,20-Dec-2011,247.10,251.40,254.95,248.75,253.00,252.90,252.51,2541824,641831933.85,39481.0,1562604.0,61.48
ONGC,EQ,19-Dec-2011,250.30,250.30,250.30,244.75,247.40,247.10,246.86,2387104,589273778.25,29826.0,1533949.0,64.26
ONGC,EQ,16-Dec-2011,251.10,251.10,259.45,246.15,251.05,250.30,253.27,2128390,539058125.2,27232.0,1054452.0,49.54
ONGC,EQ,15-Dec-2011,252.05,250.00,253.75,248.00,251.65,251.10,250.59,4819843,1207782724.85,56003.0,3480903.0,72.22
ONGC,EQ,14-Dec-2011,255.40,254.50,257.00,251.00,251.70,252.05,253.95,2368957,601596497.3,49107.0,1157520.0,48.86
ONGC,EQ,13-Dec-2011,257.40,256.30,258.30,252.55,257.35,255.40,255.28,2548595,650598672.95,38378.0,1380595.0,54.17
ONGC,EQ,12-Dec-2011,261.40,262.20,265.85,255.50,255.90,257.40,261.23,2405093,628286877.7,35420.0,1505290.0,62.59
