"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
PAGEIND,EQ,30-Dec-2011,"2,393.35","2,414.00","2,450.00","2,250.00","2,450.00","2,393.90","2,394.43",5346,12800643.2,1146.0,3667.0,68.59
PAGEIND,EQ,29-Dec-2011,"2,389.45","2,380.00","2,430.00","2,380.00","2,400.00","2,393.35","2,398.57",541,1297627.35,173.0,323.0,59.7
PAGEIND,EQ,28-Dec-2011,"2,415.05","2,444.00","2,460.00","2,370.05","2,385.00","2,389.45","2,408.17",1659,3995160.0,182.0,1144.0,68.96
PAGEIND,EQ,27-Dec-2011,"2,410.90","2,425.00","2,455.00","2,405.00","2,417.30","2,415.05","2,429.30",494,1200071.95,128.0,359.0,72.67
PAGEIND,EQ,26-Dec-2011,"2,378.50","2,428.95","2,440.00","2,400.00","2,407.05","2,410.90","2,417.34",454,1097473.4,111.0,310.0,68.28
PAGEIND,EQ,23-Dec-2011,"2,343.20","2,374.90","2,414.00","2,350.65","2,375.00","2,378.50","2,391.79",5999,14348354.8,1427.0,4777.0,79.63
PAGEIND,EQ,22-Dec-2011,"2,322.85","2,330.00","2,430.00","2,260.35","2,346.00","2,343.20","2,323.86",5029,11686714.15,838.0,3988.0,79.3
PAGEIND,EQ,21-Dec-2011,"2,311.00","2,370.00","2,389.00","2,303.40","2,312.00","2,322.85","2,328.28",2517,5860282.95,781.0,1447.0,57.49
PAGEIND,EQ,20-Dec-2011,"2,417.30","2,415.00","2,449.80","2,290.00","2,307.00","2,311.00","2,331.92",5404,12601701.4,696.0,3166.0,58.59
PAGEIND,EQ,19-Dec-2011,"2,498.95","2,502.00","2,502.00","2,386.15","2,427.95","2,417.30","2,421.13",4144,10033164.7,561.0,2777.0,67.01
PAGEIND,EQ,16-Dec-2011,"2,571.20","2,590.00","2,590.00","2,456.00","2,479.95","2,498.95","2,547.75",3136,7989733.6,542.0,2190.0,69.83
PAGEIND,EQ,15-Dec-2011,"2,624.60","2,620.00","2,625.00","2,552.20","2,555.05","2,571.20","2,577.13",1760,4535751.7,423.0,1234.0,70.11
PAGEIND,EQ,14-Dec-2011,"2,634.65","2,615.00","2,660.00","2,600.00","2,645.00","2,624.60","2,636.41",975,2570498.6,180.0,725.0,74.36
PAGEIND,EQ,13-Dec-2011,"2,630.55","2,631.00","2,649.00","2,590.00","2,628.75","2,634.65","2,624.79",886,2325565.2,189.0,579.0,65.35
PAGEIND,EQ,12-Dec-2011,"2,655.25","2,662.00","2,710.00","2,613.85","2,660.00","2,630.55","2,641.97",887,2343426.3,234.0,608.0,68.55
PAGEIND,EQ,09-Dec-2011,"2,652.25","2,621.00","2,678.00","2,621.00","2,650.00","2,655.25","2,654.55",1852,4916220.4,456.0,1258.0,67.93
PAGEIND,EQ,08-Dec-2011,"2,589.60","2,616.60","2,680.00","2,606.05","2,680.00","2,652.25","2,630.85",1972,5188033.5,490.0,1255.0,63.64
PAGEIND,EQ,07-Dec-2011,"2,528.55","2,550.00","2,614.90","2,540.00","2,614.90","2,589.60","2,574.39",3932,10122502.4,682.0,2168.0,55.14
PAGEIND,EQ,05-Dec-2011,"2,548.70","2,544.00","2,564.90","2,506.65","2,530.00","2,528.55","2,528.06",1509,3814841.8,400.0,1062.0,70.38
PAGEIND,EQ,02-Dec-2011,"2,548.80","2,550.00","2,551.00","2,540.05","2,550.00","2,548.70","2,549.39",5709,14554478.75,457.0,5289.0,92.64
PAGEIND,EQ,01-Dec-2011,"2,556.60","2,575.00","2,575.00","2,537.15","2,550.00","2,548.80","2,550.71",2222,5667677.8,436.0,1532.0,68.95
PAGEIND,EQ,30-Nov-2011,"2,571.50","2,546.00","2,574.40","2,537.00","2,560.00","2,556.60","2,551.88",2676,6828830.65,394.0,1681.0,62.82
PAGEIND,EQ,29-Nov-2011,"2,555.55","2,540.00","2,581.00","2,530.00","2,581.00","2,571.50","2,557.35",1039,2657084.35,208.0,693.0,66.7
PAGEIND,EQ,28-Nov-2011,"2,516.40","2,540.00","2,560.00","2,530.00","2,560.00","2,555.55","2,548.34",872,2222154.4,244.0,522.0,59.86
PAGEIND,EQ,25-Nov-2011,"2,474.40","2,480.00","2,546.50","2,450.20","2,505.00","2,516.40","2,517.52",2766,6963462.45,564.0,1370.0,49.53
PAGEIND,EQ,24-Nov-2011,"2,465.95","2,465.00","2,490.00","2,405.05","2,483.95","2,474.40","2,450.71",1260,3087899.25,407.0,597.0,47.38
PAGEIND,EQ,23-Nov-2011,"2,491.35","2,625.00","2,625.00","2,400.00","2,474.95","2,465.95","2,450.55",4356,10674586.65,1303.0,2465.0,56.59
PAGEIND,EQ,22-Nov-2011,"2,494.35","2,496.00","2,500.00","2,471.00","2,483.00","2,491.35","2,490.09",6087,15157196.6,1098.0,4199.0,68.98
PAGEIND,EQ,21-Nov-2011,"2,505.35","2,505.35","2,560.00","2,466.00","2,466.00","2,494.35","2,525.00",6095,15389859.4,1298.0,4498.0,73.8
PAGEIND,EQ,18-Nov-2011,"2,525.80","2,510.00","2,529.95","2,474.00","2,509.95","2,505.35","2,498.62",9747,24354068.15,2058.0,5552.0,56.96
PAGEIND,EQ,17-Nov-2011,"2,538.65","2,525.00","2,578.00","2,520.00","2,520.95","2,525.80","2,534.81",3754,9515685.05,670.0,2612.0,69.58
PAGEIND,EQ,16-Nov-2011,"2,583.70","2,583.70","2,599.95","2,525.00","2,535.00","2,538.65","2,537.86",7878,19993259.3,892.0,6241.0,79.22
PAGEIND,EQ,15-Nov-2011,"2,600.45","2,600.45","2,619.00","2,501.45","2,560.05","2,583.70","2,569.33",12948,33267679.2,1575.0,7781.0,60.09
PAGEIND,EQ,14-Nov-2011,"2,645.35","2,660.10","2,679.00","2,587.15","2,600.00","2,600.45","2,633.87",3226,8496863.6,545.0,1988.0,61.62
PAGEIND,EQ,11-Nov-2011,"2,620.90","2,670.00","2,784.00","2,625.00","2,626.50","2,645.35","2,684.75",42544,114220018.45,2888.0,36785.0,86.46
PAGEIND,EQ,09-Nov-2011,"2,654.70","2,668.15","2,689.00","2,368.00","2,602.00","2,620.90","2,621.20",5699,14938211.0,872.0,3177.0,55.75
PAGEIND,EQ,08-Nov-2011,"2,602.95","2,600.00","2,690.00","2,600.00","2,650.25","2,654.70","2,664.97",3948,10521314.65,866.0,2272.0,57.55
PAGEIND,EQ,04-Nov-2011,"2,602.75","2,602.10","2,655.00","2,563.30","2,615.00","2,602.95","2,624.09",5108,13403835.05,752.0,3452.0,67.58
PAGEIND,EQ,03-Nov-2011,"2,566.20","2,599.00","2,626.00","2,560.00","2,613.00","2,602.75","2,588.97",4704,12178523.25,691.0,3617.0,76.89
PAGEIND,EQ,02-Nov-2011,"2,572.25","2,626.00","2,626.00","2,531.00","2,570.00","2,566.20","2,580.17",1745,4502399.25,440.0,1070.0,61.32
PAGEIND,EQ,01-Nov-2011,"2,537.95","2,525.00","2,592.00","2,525.00","2,577.00","2,572.25","2,555.17",2138,5462953.65,730.0,1566.0,73.25
