"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
PAYTM,EQ,28-Dec-2021,"1,344.95","1,350.00","1,364.20","1,345.00","1,348.00","1,353.50","1,356.78",1112292,1509133596.25,29182,776435.0,69.8
PAYTM,EQ,27-Dec-2021,"1,369.55","1,365.00","1,365.35","1,335.30","1,345.30","1,344.95","1,344.73",717268,964532813.7,37672,298912.0,41.67
PAYTM,EQ,24-Dec-2021,"1,348.80","1,348.70","1,381.00","1,331.15","1,368.00","1,369.55","1,354.48",1340599,1815818979.45,49451,661901.0,49.37
PAYTM,EQ,23-Dec-2021,"1,342.20","1,358.45","1,385.00","1,344.00","1,347.20","1,348.80","1,360.81",1268283,1725893153.35,57725,469317.0,37.0
PAYTM,EQ,22-Dec-2021,"1,311.45","1,348.10","1,350.00","1,330.55","1,344.75","1,342.20","1,339.99",966463,1295047598.7,54147,442484.0,45.78
PAYTM,EQ,21-Dec-2021,"1,304.00","1,306.00","1,348.95","1,306.00","1,312.30","1,311.45","1,324.85",995207,1318500620.85,51626,353006.0,35.47
PAYTM,EQ,20-Dec-2021,"1,321.00","1,321.00","1,327.60","1,290.00","1,306.85","1,304.00","1,305.14",1740923,2272141803.05,104177,883919.0,50.77
PAYTM,EQ,17-Dec-2021,"1,399.35","1,411.00","1,411.00","1,307.00","1,331.90","1,321.00","1,349.82",2503637,3379447185.05,146838,1452606.0,58.02
PAYTM,EQ,16-Dec-2021,"1,379.95","1,435.00","1,435.00","1,390.55","1,401.00","1,399.35","1,410.67",2323522,3277719443.15,114567,867011.0,37.31
PAYTM,EQ,15-Dec-2021,"1,496.05","1,421.30","1,429.95","1,296.00","1,381.90","1,379.95","1,367.57",13139593,17969273143.45,624089,4097681.0,31.19
PAYTM,EQ,14-Dec-2021,"1,555.05","1,547.00","1,555.05","1,490.75","1,492.00","1,496.05","1,517.62",1386088,2103560760.85,95597,752380.0,54.28
PAYTM,EQ,13-Dec-2021,"1,567.55","1,578.00","1,578.75","1,546.10","1,552.00","1,555.05","1,558.29",740610,1154082115.6,49649,376428.0,50.83
PAYTM,EQ,10-Dec-2021,"1,593.95","1,605.00","1,609.00","1,563.00","1,564.60","1,567.55","1,581.23",845711,1337262385.45,47835,341313.0,40.36
PAYTM,EQ,09-Dec-2021,"1,553.40","1,550.00","1,644.70","1,525.10","1,592.90","1,593.95","1,593.66",2849040,4540399906.85,200053,556256.0,19.52
PAYTM,EQ,08-Dec-2021,"1,577.50","1,590.25","1,610.00","1,546.25","1,549.80","1,553.40","1,571.04",726491,1141346634.4,51969,301150.0,41.45
PAYTM,EQ,07-Dec-2021,"1,604.45","1,623.35","1,635.00","1,571.00","1,574.00","1,577.50","1,594.35",631249,1006430469.75,51655,269470.0,42.69
PAYTM,EQ,06-Dec-2021,"1,648.35","1,658.00","1,680.05","1,598.70","1,600.00","1,604.45","1,636.22",632800,1035398476.25,45113,296243.0,46.81
PAYTM,EQ,03-Dec-2021,"1,600.85","1,615.00","1,698.00","1,601.00","1,645.00","1,648.35","1,652.29",1322036,2184389021.6,98102,453270.0,34.29
