"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
PERSISTENT,EQ,30-Dec-2011,330.25,329.5,329.5,322.1,329.5,328.45,327.85,4806,1575631.45,169.0,4182.0,87.02
PERSISTENT,EQ,29-Dec-2011,320.2,321.0,332.0,310.5,330.0,330.25,327.24,10496,3434722.15,485.0,8138.0,77.53
PERSISTENT,EQ,28-Dec-2011,325.2,319.0,325.25,313.3,320.05,320.2,322.48,7257,2340257.5,236.0,5569.0,76.74
PERSISTENT,EQ,27-Dec-2011,320.0,320.0,326.45,319.0,323.5,325.2,324.07,8221,2664157.9,260.0,7237.0,88.03
PERSISTENT,EQ,26-Dec-2011,310.3,309.65,322.0,309.0,318.0,320.0,318.64,23755,7569391.25,386.0,22278.0,93.78
PERSISTENT,EQ,23-Dec-2011,298.9,301.0,311.8,296.7,308.1,310.3,308.62,18309,5650515.15,557.0,12873.0,70.31
PERSISTENT,EQ,22-Dec-2011,302.9,302.0,304.5,295.0,297.25,298.9,299.84,11306,3389983.65,336.0,8051.0,71.21
PERSISTENT,EQ,21-Dec-2011,302.15,306.15,308.85,301.6,302.25,302.9,303.47,5563,1688192.1,174.0,4981.0,89.54
PERSISTENT,EQ,20-Dec-2011,301.55,308.9,308.9,298.1,303.0,302.15,301.13,11833,3563274.45,964.0,8363.0,70.68
PERSISTENT,EQ,19-Dec-2011,306.1,300.55,305.0,299.3,305.0,301.55,302.83,49547,15004296.55,450.0,47396.0,95.66
PERSISTENT,EQ,16-Dec-2011,305.45,305.45,308.6,304.5,306.2,306.1,306.01,9058,2771863.45,428.0,8595.0,94.89
PERSISTENT,EQ,15-Dec-2011,304.85,301.0,310.0,301.0,307.5,305.45,305.32,6759,2063659.6,368.0,4164.0,61.61
PERSISTENT,EQ,14-Dec-2011,304.15,296.0,309.0,295.0,301.5,304.85,305.3,64151,19585517.8,827.0,62221.0,96.99
PERSISTENT,EQ,13-Dec-2011,300.8,298.0,308.0,294.0,306.75,304.15,303.17,9402,2850408.5,430.0,6292.0,66.92
PERSISTENT,EQ,12-Dec-2011,305.15,304.0,307.0,300.1,300.15,300.8,304.9,54253,16541879.35,162.0,53413.0,98.45
PERSISTENT,EQ,09-Dec-2011,303.95,301.0,307.0,298.0,305.0,305.15,304.9,79826,24338627.6,461.0,78232.0,98.0
PERSISTENT,EQ,08-Dec-2011,304.15,303.5,308.0,299.0,308.0,303.95,303.76,8013,2434039.3,232.0,6815.0,85.05
PERSISTENT,EQ,07-Dec-2011,308.7,305.1,312.15,303.8,306.0,304.15,304.52,17618,5364991.5,409.0,16246.0,92.21
PERSISTENT,EQ,05-Dec-2011,311.85,311.5,313.95,306.3,307.0,308.7,310.7,3141,975893.75,226.0,2176.0,69.28
PERSISTENT,EQ,02-Dec-2011,317.5,317.5,317.9,311.0,311.1,311.85,313.14,4570,1431029.05,270.0,3943.0,86.28
PERSISTENT,EQ,01-Dec-2011,319.1,321.85,321.95,316.05,317.05,317.5,319.77,25540,8166965.95,289.0,23880.0,93.5
PERSISTENT,EQ,30-Nov-2011,321.25,320.0,322.0,313.0,319.45,319.1,318.79,9714,3096681.1,478.0,7999.0,82.35
PERSISTENT,EQ,29-Nov-2011,326.55,321.0,325.75,316.15,324.0,321.25,324.18,31740,10289445.1,1247.0,26511.0,83.53
PERSISTENT,EQ,28-Nov-2011,322.85,316.0,329.75,302.0,329.75,326.55,321.78,29952,9637878.95,515.0,27957.0,93.34
PERSISTENT,EQ,25-Nov-2011,317.9,323.9,324.9,310.8,324.0,322.85,317.41,4237,1344885.4,323.0,2613.0,61.67
PERSISTENT,EQ,24-Nov-2011,323.1,316.3,319.0,310.65,318.5,317.9,316.84,2647,838676.4,172.0,2028.0,76.62
PERSISTENT,EQ,23-Nov-2011,325.1,321.05,324.7,313.6,324.65,323.1,320.02,5662,1811926.85,300.0,3847.0,67.94
PERSISTENT,EQ,22-Nov-2011,322.1,316.1,330.0,312.65,325.0,325.1,324.71,72973,23695277.85,723.0,69197.0,94.83
PERSISTENT,EQ,21-Nov-2011,317.8,313.2,324.0,311.05,322.1,322.1,321.7,29850,9602617.75,478.0,28107.0,94.16
PERSISTENT,EQ,18-Nov-2011,313.55,311.0,321.0,308.0,320.0,317.8,312.91,11491,3595682.15,241.0,10556.0,91.86
PERSISTENT,EQ,17-Nov-2011,315.45,312.0,315.0,310.15,315.0,313.55,311.31,26388,8214864.6,616.0,25297.0,95.87
PERSISTENT,EQ,16-Nov-2011,314.5,310.5,317.0,310.0,317.0,315.45,312.87,7623,2385001.95,274.0,5518.0,72.39
PERSISTENT,EQ,15-Nov-2011,315.15,315.0,316.9,306.0,316.25,314.5,312.85,6186,1935301.8,222.0,4300.0,69.51
PERSISTENT,EQ,14-Nov-2011,315.15,315.0,316.0,312.0,315.9,315.15,314.92,3265,1028226.55,102.0,2578.0,78.96
PERSISTENT,EQ,11-Nov-2011,315.25,311.05,316.0,310.0,316.0,315.15,313.27,7120,2230505.8,237.0,5149.0,72.32
PERSISTENT,EQ,09-Nov-2011,310.25,319.9,319.9,310.0,318.0,315.25,313.28,5444,1705499.3,241.0,3771.0,69.27
PERSISTENT,EQ,08-Nov-2011,313.25,351.2,351.2,309.4,310.1,310.25,315.76,2870,906222.65,216.0,1910.0,66.55
PERSISTENT,EQ,04-Nov-2011,315.05,311.25,315.75,311.25,313.4,313.25,314.28,3337,1048751.1,116.0,2551.0,76.45
PERSISTENT,EQ,03-Nov-2011,310.5,309.0,318.0,306.0,311.0,315.05,313.44,1966,616230.45,226.0,1437.0,73.09
PERSISTENT,EQ,02-Nov-2011,312.5,315.95,315.95,308.2,310.0,310.5,310.0,2029,628990.9,130.0,1456.0,71.76
PERSISTENT,EQ,01-Nov-2011,319.2,318.85,318.9,303.35,310.25,312.5,309.67,10207,3160764.65,578.0,5247.0,51.41
PERSISTENT,EQ,31-Oct-2011,311.3,312.0,320.7,281.25,319.8,319.2,310.22,10546,3271527.8,460.0,6105.0,57.89
PERSISTENT,EQ,28-Oct-2011,310.65,314.0,316.65,310.0,311.0,311.3,312.42,8200,2561857.05,355.0,5582.0,68.07
PERSISTENT,EQ,26-Oct-2011,312.65,317.35,317.35,308.35,310.45,310.65,312.46,3846,1201706.5,161.0,2651.0,68.93
PERSISTENT,EQ,25-Oct-2011,317.4,309.0,317.5,309.0,311.1,312.65,314.0,3238,1016739.65,215.0,2104.0,64.98
PERSISTENT,EQ,24-Oct-2011,311.65,312.0,319.8,302.05,314.0,317.4,314.94,4525,1425083.7,358.0,3411.0,75.38
PERSISTENT,EQ,24-Oct-2011,311.65,312.0,319.8,302.05,314.0,317.4,314.94,4525,1425083.7,358.0,3411.0,75.38
PERSISTENT,EQ,21-Oct-2011,311.3,309.0,316.0,306.05,316.0,311.65,310.76,4347,1350881.8,284.0,2926.0,67.31
PERSISTENT,EQ,20-Oct-2011,315.2,317.0,318.8,310.0,310.0,311.3,314.86,6028,1897987.05,346.0,2487.0,41.26
PERSISTENT,EQ,19-Oct-2011,315.15,318.0,324.0,314.05,316.0,315.2,317.91,5628,1789182.35,308.0,3163.0,56.2
PERSISTENT,EQ,18-Oct-2011,323.45,319.15,319.15,309.6,314.05,315.15,314.74,10213,3214486.25,462.0,5042.0,49.37
PERSISTENT,EQ,17-Oct-2011,320.1,324.4,332.65,317.5,323.0,323.45,324.97,68146,22145121.55,2552.0,11793.0,17.31
PERSISTENT,EQ,14-Oct-2011,305.75,301.55,325.9,301.3,320.0,320.1,317.29,17825,5655757.55,781.0,9058.0,50.82
PERSISTENT,EQ,13-Oct-2011,303.95,304.0,307.8,301.1,305.0,305.75,305.17,3488,1064419.7,184.0,2174.0,62.33
PERSISTENT,EQ,12-Oct-2011,295.25,299.8,305.9,296.0,303.0,303.95,301.01,7184,2162469.1,376.0,3954.0,55.04
PERSISTENT,EQ,11-Oct-2011,300.0,300.9,303.7,293.05,294.95,295.25,298.81,9441,2821021.9,632.0,7871.0,83.37
PERSISTENT,EQ,10-Oct-2011,300.0,300.0,304.5,299.95,300.0,300.0,300.22,9900,2972180.55,645.0,8614.0,87.01
PERSISTENT,EQ,07-Oct-2011,300.05,286.55,309.0,286.55,300.0,300.0,300.39,12276,3687546.2,844.0,10160.0,82.76
PERSISTENT,EQ,05-Oct-2011,299.95,301.0,314.8,299.1,301.9,300.05,300.34,15314,4599375.95,443.0,13341.0,87.12
PERSISTENT,EQ,04-Oct-2011,300.1,300.0,302.0,295.05,302.0,299.95,299.74,12970,3887604.65,837.0,12332.0,95.08
PERSISTENT,EQ,03-Oct-2011,305.0,305.0,305.0,299.1,302.9,300.1,300.35,7700,2312715.45,652.0,7064.0,91.74
PERSISTENT,EQ,30-Sep-2011,306.2,311.95,311.95,304.0,305.5,305.0,305.03,12595,3841850.15,860.0,11764.0,93.4
PERSISTENT,EQ,29-Sep-2011,305.0,309.0,312.0,305.1,305.1,306.2,308.86,4850,1497960.85,306.0,3137.0,64.68
PERSISTENT,EQ,28-Sep-2011,313.15,316.8,316.8,304.0,305.0,305.0,310.17,22931,7112480.85,1256.0,15601.0,68.03
PERSISTENT,EQ,27-Sep-2011,300.35,296.15,316.0,295.2,314.0,313.15,307.77,26189,8060190.8,518.0,21914.0,83.68
PERSISTENT,EQ,26-Sep-2011,300.7,295.5,304.9,295.45,301.5,300.35,299.83,9701,2908633.9,357.0,8771.0,90.41
PERSISTENT,EQ,23-Sep-2011,301.15,297.0,304.0,297.0,300.1,300.7,299.61,5345,1601440.75,164.0,4463.0,83.5
PERSISTENT,EQ,22-Sep-2011,302.9,301.0,302.3,300.0,302.0,301.15,300.84,6300,1895262.0,485.0,5167.0,82.02
PERSISTENT,EQ,21-Sep-2011,303.0,303.0,305.0,300.0,304.9,302.9,302.7,2583,781867.5,178.0,1343.0,51.99
