"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
PETRONET,EQ,30-Dec-2011,159.7,160.0,160.9,153.55,156.5,155.8,156.26,3130767,489226036.65,62027.0,2139893.0,68.35
PETRONET,EQ,29-Dec-2011,160.0,158.65,160.9,158.65,160.4,159.7,159.75,1006284,160750499.2,32076.0,617347.0,61.35
PETRONET,EQ,28-Dec-2011,161.25,160.25,161.8,158.5,159.8,160.0,160.11,863110,138196104.35,10255.0,430902.0,49.92
PETRONET,EQ,27-Dec-2011,161.6,161.9,162.3,159.6,160.8,161.25,160.61,795898,127827973.5,9467.0,468149.0,58.82
PETRONET,EQ,26-Dec-2011,161.2,159.2,162.4,159.2,161.1,161.6,161.58,298816,48283191.7,3927.0,67465.0,22.58
PETRONET,EQ,23-Dec-2011,161.1,162.4,162.75,160.05,161.6,161.2,161.73,588227,95136582.75,7632.0,288841.0,49.1
PETRONET,EQ,22-Dec-2011,160.0,159.5,162.4,157.05,162.2,161.1,160.01,1463365,234155208.1,17355.0,827623.0,56.56
PETRONET,EQ,21-Dec-2011,160.55,162.7,163.9,159.1,159.9,160.0,160.36,1663057,266690782.45,14089.0,1038862.0,62.47
PETRONET,EQ,20-Dec-2011,160.35,162.0,164.0,160.05,160.45,160.55,162.5,963501,156572233.85,12000.0,259840.0,26.97
PETRONET,EQ,19-Dec-2011,160.3,157.35,161.5,157.35,160.5,160.35,159.42,1591841,253767029.85,20052.0,949508.0,59.65
PETRONET,EQ,16-Dec-2011,161.2,161.95,164.2,159.3,160.15,160.3,162.1,1301871,211038674.35,14402.0,572654.0,43.99
PETRONET,EQ,15-Dec-2011,158.95,157.0,161.9,156.55,161.15,161.2,159.92,1463893,234099520.4,17755.0,679409.0,46.41
PETRONET,EQ,14-Dec-2011,157.8,158.8,161.0,156.5,159.25,158.95,159.19,2013453,320519893.7,27105.0,1113678.0,55.31
PETRONET,EQ,13-Dec-2011,153.1,153.6,158.8,152.15,158.3,157.8,156.2,1569199,245106405.0,18675.0,599220.0,38.19
PETRONET,EQ,12-Dec-2011,158.9,159.6,160.8,152.0,152.3,153.1,155.46,1388295,215821858.05,14716.0,702507.0,50.6
PETRONET,EQ,09-Dec-2011,156.25,156.0,159.5,153.35,158.35,158.9,157.06,1389118,218178936.15,15774.0,461068.0,33.19
PETRONET,EQ,08-Dec-2011,159.85,159.9,159.9,155.8,156.15,156.25,156.77,3158367,495148397.35,15912.0,2197076.0,69.56
PETRONET,EQ,07-Dec-2011,167.5,168.0,168.0,158.65,159.05,159.85,161.71,6263665,1012920853.6,35382.0,4836447.0,77.21
PETRONET,EQ,05-Dec-2011,164.75,165.9,168.95,164.2,167.95,167.5,167.54,995546,166796219.2,13332.0,231268.0,23.23
PETRONET,EQ,02-Dec-2011,162.15,162.5,165.5,160.65,165.45,164.75,163.87,454664,74505297.15,5137.0,114597.0,25.2
PETRONET,EQ,01-Dec-2011,164.9,168.0,168.4,161.2,161.85,162.15,164.43,1116052,183517798.8,15100.0,586900.0,52.59
PETRONET,EQ,30-Nov-2011,164.65,135.0,165.8,135.0,163.95,164.9,164.13,713874,117165413.25,6809.0,159825.0,22.39
PETRONET,EQ,29-Nov-2011,163.35,163.5,167.35,162.1,164.6,164.65,165.01,1357362,223972302.0,16010.0,403759.0,29.75
PETRONET,EQ,28-Nov-2011,154.75,156.7,163.9,156.0,163.6,163.35,160.75,1364688,219372331.65,11867.0,525486.0,38.51
PETRONET,EQ,25-Nov-2011,156.7,155.55,158.25,154.2,154.35,154.75,155.48,1116396,173576622.15,9176.0,429381.0,38.46
PETRONET,EQ,24-Nov-2011,155.45,155.5,157.85,153.15,157.4,156.7,155.11,1044259,161975491.45,10117.0,486329.0,46.57
PETRONET,EQ,23-Nov-2011,156.65,155.9,156.0,153.2,155.75,155.45,155.06,1061063,164526455.15,10839.0,560490.0,52.82
PETRONET,EQ,22-Nov-2011,155.95,157.5,158.95,152.55,156.2,156.65,155.96,1901763,296590137.15,18132.0,1112341.0,58.49
PETRONET,EQ,21-Nov-2011,158.7,159.0,159.35,154.85,155.9,155.95,156.3,1114760,174241670.85,14788.0,521217.0,46.76
PETRONET,EQ,18-Nov-2011,160.05,159.95,162.5,156.8,159.0,158.7,159.18,1212191,192953719.3,13892.0,439645.0,36.27
PETRONET,EQ,17-Nov-2011,162.95,162.5,163.5,159.15,160.6,160.05,161.04,1141160,183775924.85,13454.0,510754.0,44.76
PETRONET,EQ,16-Nov-2011,166.75,166.0,166.65,161.1,162.35,162.95,163.65,1311609,214639601.35,16376.0,550015.0,41.93
PETRONET,EQ,15-Nov-2011,168.8,167.1,169.85,166.0,166.05,166.75,168.17,973680,163747535.4,13273.0,329610.0,33.85
PETRONET,EQ,14-Nov-2011,168.15,169.0,174.25,167.5,168.95,168.8,171.32,1897770,325120587.7,19174.0,544614.0,28.7
PETRONET,EQ,11-Nov-2011,168.4,168.1,169.8,164.6,168.25,168.15,167.69,1089271,182663256.75,15291.0,510107.0,46.83
PETRONET,EQ,09-Nov-2011,171.9,173.35,173.8,168.0,168.1,168.4,171.07,1072211,183422222.25,12180.0,318920.0,29.74
PETRONET,EQ,08-Nov-2011,170.8,173.2,174.5,171.25,171.6,171.9,172.9,1709622,295598471.05,18253.0,673851.0,39.42
PETRONET,EQ,04-Nov-2011,166.2,166.8,171.4,166.8,170.9,170.8,169.38,2252369,381511816.5,24378.0,905238.0,40.19
PETRONET,EQ,03-Nov-2011,162.85,164.95,167.65,161.3,166.2,166.2,165.44,1629961,269656916.55,15772.0,625484.0,38.37
PETRONET,EQ,02-Nov-2011,162.75,163.15,164.25,161.2,162.55,162.85,163.02,1049913,171157187.45,8078.0,537059.0,51.15
PETRONET,EQ,01-Nov-2011,161.25,161.7,163.45,161.25,162.6,162.75,162.64,714570,116215166.4,8101.0,260280.0,36.42
PETRONET,EQ,31-Oct-2011,164.55,165.1,165.7,160.5,162.0,161.25,162.7,1308154,212843049.0,11988.0,544885.0,41.65
PETRONET,EQ,28-Oct-2011,162.8,164.35,166.2,163.0,164.5,164.55,164.64,1094851,180259835.65,13749.0,519077.0,47.41
PETRONET,EQ,26-Oct-2011,161.1,165.0,165.0,162.05,162.7,162.8,162.78,276431,44996731.3,3223.0,113716.0,41.14
PETRONET,EQ,25-Oct-2011,162.5,162.0,163.6,156.35,161.25,161.1,161.4,1726901,278728423.35,16945.0,849627.0,49.2
PETRONET,EQ,24-Oct-2011,164.05,165.45,168.0,162.0,162.25,162.5,165.38,1946377,321898546.4,17238.0,806921.0,41.46
PETRONET,EQ,24-Oct-2011,164.05,165.45,168.0,162.0,162.25,162.5,165.38,1946377,321898546.4,17238.0,806921.0,41.46
PETRONET,EQ,21-Oct-2011,164.2,164.45,166.15,163.35,163.9,164.05,164.56,1519060,249973714.15,18521.0,687470.0,45.26
PETRONET,EQ,20-Oct-2011,165.5,163.5,164.9,160.25,164.05,164.2,163.1,1716347,279929229.3,22152.0,539946.0,31.46
PETRONET,EQ,19-Oct-2011,161.45,162.0,167.25,162.0,165.15,165.5,165.14,4683501,773435265.15,47227.0,2007798.0,42.87
PETRONET,EQ,18-Oct-2011,163.9,163.9,168.6,158.0,160.85,161.45,163.73,11400434,1866640836.45,110467.0,1654085.0,14.51
PETRONET,EQ,17-Oct-2011,156.0,156.5,164.9,156.5,164.05,163.9,162.07,5451856,883585929.5,47116.0,1905716.0,34.96
PETRONET,EQ,14-Oct-2011,156.05,156.0,157.75,153.95,156.5,156.0,155.83,1322576,206098295.95,13211.0,548461.0,41.47
PETRONET,EQ,13-Oct-2011,159.75,160.8,161.7,155.2,156.0,156.05,158.27,1505307,238243769.45,16611.0,509272.0,33.83
PETRONET,EQ,12-Oct-2011,157.5,158.65,161.0,158.0,160.0,159.75,159.61,1463475,233588451.3,17533.0,571801.0,39.07
PETRONET,EQ,11-Oct-2011,154.45,155.0,158.8,155.0,157.2,157.5,157.59,1996915,314701007.85,27365.0,1118876.0,56.03
PETRONET,EQ,10-Oct-2011,154.6,152.95,156.0,151.35,154.5,154.45,153.86,2537878,390485047.8,26539.0,1227595.0,48.37
PETRONET,EQ,07-Oct-2011,157.8,160.0,161.9,150.55,154.7,154.6,155.61,2673443,416013075.75,32431.0,1029349.0,38.5
PETRONET,EQ,05-Oct-2011,160.85,161.9,163.05,156.65,157.8,157.8,160.07,1402338,224477963.55,11337.0,629225.0,44.87
PETRONET,EQ,04-Oct-2011,160.7,160.0,165.35,158.15,160.1,160.85,161.67,2378868,384595114.6,21705.0,859902.0,36.15
PETRONET,EQ,03-Oct-2011,159.9,158.3,162.9,155.0,161.5,160.7,159.43,2000204,318886885.65,22432.0,411649.0,20.58
PETRONET,EQ,30-Sep-2011,157.95,157.2,161.9,155.55,159.85,159.9,159.62,1658218,264686385.55,17905.0,499910.0,30.15
PETRONET,EQ,29-Sep-2011,156.0,152.0,158.9,151.9,158.3,157.95,156.33,2134980,333770082.1,19002.0,652672.0,30.57
PETRONET,EQ,28-Sep-2011,161.95,163.7,163.75,153.7,156.2,156.0,156.51,2733900,427876133.65,28768.0,1277888.0,46.74
PETRONET,EQ,27-Sep-2011,155.2,158.2,163.7,158.0,162.25,161.95,160.99,2182998,351439434.0,20792.0,708771.0,32.47
PETRONET,EQ,26-Sep-2011,165.0,165.1,165.65,153.2,155.2,155.2,156.91,2826882,443560861.85,31392.0,998997.0,35.34
PETRONET,EQ,23-Sep-2011,166.85,165.2,166.9,157.0,164.65,165.0,163.24,3517950,574280895.55,33260.0,1075295.0,30.57
