"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
PHOENIXLTD,EQ,30-Dec-2011,160.95,161.5,167.5,157.9,165.0,166.35,164.06,14838,2434255.95,1825.0,11461.0,77.24
PHOENIXLTD,EQ,29-Dec-2011,162.35,165.0,165.0,160.05,160.6,160.95,162.32,3335,541349.45,439.0,1575.0,47.23
PHOENIXLTD,EQ,28-Dec-2011,165.8,165.0,165.0,162.0,162.05,162.35,162.68,393,63935.2,47.0,293.0,74.55
PHOENIXLTD,EQ,27-Dec-2011,165.6,164.0,166.95,164.0,166.0,165.8,165.23,160,26436.7,54.0,30.0,18.75
PHOENIXLTD,EQ,26-Dec-2011,164.0,165.0,167.85,164.0,164.55,165.6,165.11,931,153718.65,95.0,532.0,57.14
PHOENIXLTD,EQ,23-Dec-2011,156.85,169.0,169.0,155.5,166.9,164.0,162.18,13221,2144162.75,996.0,10158.0,76.83
PHOENIXLTD,EQ,22-Dec-2011,153.7,154.95,161.15,153.0,158.0,156.85,155.08,16341,2534223.8,1583.0,12107.0,74.09
PHOENIXLTD,EQ,21-Dec-2011,152.55,151.0,157.45,150.8,153.5,153.7,153.65,74592,11461023.35,1946.0,69117.0,92.66
PHOENIXLTD,EQ,20-Dec-2011,160.55,163.5,163.5,150.0,153.55,152.55,153.78,13746,2113861.35,1393.0,10665.0,77.59
PHOENIXLTD,EQ,19-Dec-2011,164.0,162.0,162.8,160.0,160.7,160.55,160.71,5186,833466.15,366.0,3807.0,73.41
PHOENIXLTD,EQ,16-Dec-2011,165.2,162.0,168.0,161.4,162.4,164.0,164.47,23448,3856590.95,1773.0,19762.0,84.28
PHOENIXLTD,EQ,15-Dec-2011,169.65,177.0,177.0,162.15,164.9,165.2,165.26,55515,9174516.95,562.0,52994.0,95.46
PHOENIXLTD,EQ,14-Dec-2011,173.0,170.4,174.0,167.05,170.0,169.65,169.9,18180,3088718.85,786.0,14934.0,82.15
PHOENIXLTD,EQ,13-Dec-2011,177.5,176.0,177.0,172.5,173.0,173.0,173.9,6367,1107245.05,211.0,5759.0,90.45
PHOENIXLTD,EQ,12-Dec-2011,182.4,182.5,184.0,175.15,177.5,177.5,181.19,9497,1720734.3,280.0,7170.0,75.5
PHOENIXLTD,EQ,09-Dec-2011,183.3,182.9,187.0,178.0,181.85,182.4,183.15,9680,1772874.7,337.0,3173.0,32.78
PHOENIXLTD,EQ,08-Dec-2011,189.65,189.5,189.6,183.0,183.8,183.3,185.14,15922,2947846.95,339.0,7922.0,49.76
PHOENIXLTD,EQ,07-Dec-2011,192.0,191.45,197.45,188.3,188.55,189.65,190.26,48769,9278837.1,1615.0,39780.0,81.57
PHOENIXLTD,EQ,05-Dec-2011,194.0,192.0,194.95,189.6,191.45,192.0,190.76,15441,2945456.1,284.0,12241.0,79.28
PHOENIXLTD,EQ,02-Dec-2011,195.0,198.95,198.95,191.0,195.0,194.0,192.98,13422,2590148.3,346.0,10656.0,79.39
PHOENIXLTD,EQ,01-Dec-2011,188.0,190.0,197.9,190.0,193.1,195.0,194.13,18425,3576846.95,1125.0,14300.0,77.61
PHOENIXLTD,EQ,30-Nov-2011,188.4,188.5,191.0,186.6,188.5,188.0,187.39,41841,7840662.85,257.0,40018.0,95.64
PHOENIXLTD,EQ,29-Nov-2011,196.05,191.4,197.45,187.3,189.0,188.4,190.21,14996,2852440.0,458.0,10197.0,68.0
PHOENIXLTD,EQ,28-Nov-2011,198.5,199.1,209.95,194.2,195.7,196.05,201.97,133086,26879532.35,2422.0,84574.0,63.55
PHOENIXLTD,EQ,25-Nov-2011,186.0,195.0,205.85,190.3,198.0,198.5,201.68,156291,31520437.45,6310.0,116602.0,74.61
PHOENIXLTD,EQ,24-Nov-2011,188.8,185.0,188.05,182.0,187.0,186.0,186.36,11656,2172159.8,1214.0,7882.0,67.62
PHOENIXLTD,EQ,23-Nov-2011,196.3,206.7,209.8,185.05,187.25,188.8,193.44,32072,6203938.1,2853.0,17235.0,53.74
PHOENIXLTD,EQ,22-Nov-2011,189.25,189.25,200.45,185.35,193.15,196.3,193.52,8772,1697555.1,1221.0,6864.0,78.25
PHOENIXLTD,EQ,21-Nov-2011,191.4,196.5,197.85,182.3,191.0,189.25,190.43,9014,1716529.0,1756.0,6160.0,68.34
PHOENIXLTD,EQ,18-Nov-2011,193.55,196.0,200.0,185.3,190.2,191.4,189.48,15320,2902841.35,715.0,13792.0,90.03
PHOENIXLTD,EQ,17-Nov-2011,193.85,195.5,198.15,192.25,192.6,193.55,195.94,3429,671864.8,375.0,2463.0,71.83
PHOENIXLTD,EQ,16-Nov-2011,200.8,198.0,199.0,191.7,192.25,193.85,194.48,2932,570210.5,430.0,1890.0,64.46
PHOENIXLTD,EQ,15-Nov-2011,207.7,214.0,214.0,198.1,199.45,200.8,203.93,223274,45532234.2,16044.0,196298.0,87.92
PHOENIXLTD,EQ,14-Nov-2011,206.7,209.7,212.0,201.05,208.0,207.7,207.52,23111,4796024.5,2949.0,16885.0,73.06
PHOENIXLTD,EQ,11-Nov-2011,205.5,235.0,235.0,202.0,206.25,206.7,205.99,72494,14933053.15,15594.0,62231.0,85.84
PHOENIXLTD,EQ,09-Nov-2011,201.55,205.0,207.0,202.0,206.0,205.5,205.13,8566,1757132.0,1214.0,5073.0,59.22
PHOENIXLTD,EQ,08-Nov-2011,202.1,201.6,205.95,198.0,201.2,201.55,200.73,51458,10329075.7,16027.0,45977.0,89.35
PHOENIXLTD,EQ,04-Nov-2011,202.45,206.0,206.0,200.5,204.0,202.1,202.03,11695,2362734.35,266.0,10757.0,91.98
PHOENIXLTD,EQ,03-Nov-2011,202.3,201.0,204.5,198.5,201.8,202.45,202.52,5997,1214515.65,610.0,4041.0,67.38
PHOENIXLTD,EQ,02-Nov-2011,201.6,202.5,207.05,200.3,203.05,202.3,203.85,4667,951354.3,601.0,2845.0,60.96
PHOENIXLTD,EQ,01-Nov-2011,201.1,200.0,205.7,200.0,202.5,201.6,201.62,2526,509295.65,192.0,1766.0,69.91
PHOENIXLTD,EQ,31-Oct-2011,199.55,198.25,207.0,198.25,201.5,201.1,201.23,88621,17833378.8,862.0,86494.0,97.6
PHOENIXLTD,EQ,28-Oct-2011,194.2,193.35,201.85,193.3,200.0,199.55,198.69,50196,9973561.2,444.0,47153.0,93.94
PHOENIXLTD,EQ,26-Oct-2011,191.95,194.9,196.0,191.05,196.0,194.2,193.27,466,90064.65,25.0,325.0,69.74
PHOENIXLTD,EQ,25-Oct-2011,192.2,192.0,193.6,190.4,191.0,191.95,192.01,6005,1152994.85,404.0,5691.0,94.77
PHOENIXLTD,EQ,24-Oct-2011,185.25,187.6,196.0,184.05,193.0,192.2,190.23,9342,1777148.45,887.0,6456.0,69.11
PHOENIXLTD,EQ,24-Oct-2011,185.25,187.6,196.0,184.05,193.0,192.2,190.23,9342,1777148.45,887.0,6456.0,69.11
PHOENIXLTD,EQ,21-Oct-2011,187.05,172.7,186.7,172.7,185.1,185.25,185.13,9691,1794101.15,1136.0,5830.0,60.16
PHOENIXLTD,EQ,20-Oct-2011,194.45,192.8,192.8,184.0,187.0,187.05,187.42,33691,6314524.15,1449.0,28336.0,84.11
PHOENIXLTD,EQ,19-Oct-2011,195.05,196.0,209.8,189.2,193.0,194.45,197.88,63310,12527690.35,2489.0,34281.0,54.15
PHOENIXLTD,EQ,18-Oct-2011,198.9,197.0,197.0,193.3,195.0,195.05,194.98,10454,2038342.1,506.0,9708.0,92.86
