"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
POLYMED,EQ,30-Dec-2011,202.5,211.7,229.0,206.0,211.25,217.75,218.99,308,67448.0,11,104.0,33.77
POLYMED,EQ,29-Dec-2011,198.6,199.7,215.0,199.0,202.5,202.5,205.2,68,13953.7,6,68.0,100.0
POLYMED,EQ,28-Dec-2011,216.0,195.0,198.6,195.0,198.6,198.6,196.11,23,4510.6,4,22.0,95.65
POLYMED,EQ,27-Dec-2011,222.9,217.0,220.0,215.2,216.0,216.0,217.29,222,48237.8,18,220.0,99.1
POLYMED,EQ,26-Dec-2011,211.55,223.0,224.0,211.0,222.9,222.9,221.75,76,16853.0,6,66.0,86.84
POLYMED,EQ,23-Dec-2011,208.0,216.7,229.0,209.0,209.0,211.55,215.54,158,34056.1,13,130.0,82.28
POLYMED,EQ,22-Dec-2011,200.0,209.9,218.3,190.0,218.3,208.0,202.7,763,154659.6,39,643.0,84.27
POLYMED,EQ,21-Dec-2011,205.6,200.0,210.0,181.1,200.0,200.0,196.76,165,32465.3,8,163.0,98.79
POLYMED,EQ,20-Dec-2011,203.75,204.05,210.0,196.0,196.0,205.6,204.03,254,51823.9,16,249.0,98.03
POLYMED,EQ,19-Dec-2011,217.4,236.95,236.95,196.0,210.0,203.75,207.58,330,68502.0,35,237.0,71.82
POLYMED,EQ,16-Dec-2011,224.55,239.0,239.0,213.4,213.4,217.4,224.36,155,34775.7,8,105.0,67.74
POLYMED,EQ,15-Dec-2011,236.95,225.1,225.1,220.0,220.0,224.55,224.92,925,208054.45,23,875.0,94.59
POLYMED,EQ,14-Dec-2011,235.9,236.95,236.95,225.0,236.95,236.95,233.32,228,53195.85,20,198.0,86.84
POLYMED,EQ,13-Dec-2011,252.55,239.85,239.85,230.1,237.5,235.9,238.06,61,14521.5,9,56.0,91.8
POLYMED,EQ,12-Dec-2011,260.75,262.0,262.0,235.0,253.5,252.55,250.02,425,106259.1,40,280.0,65.88
POLYMED,EQ,09-Dec-2011,287.25,287.25,287.25,250.2,266.0,260.75,264.38,523,138270.5,84,307.0,58.7
POLYMED,EQ,08-Dec-2011,266.05,269.0,290.0,261.05,284.65,287.25,276.18,298,82301.85,54,239.0,80.2
POLYMED,EQ,07-Dec-2011,269.9,268.0,274.0,261.0,266.05,266.05,268.62,201,53991.7,18,85.0,42.29
POLYMED,EQ,28-Dec-2012,417.3,424.0,425.0,420.0,420.0,420.0,424.93,449,190794.0,8,446.0,99.33
POLYMED,EQ,27-Dec-2012,415.05,423.9,438.5,415.0,417.3,417.3,424.24,301,127695.65,29,265.0,88.04
POLYMED,EQ,26-Dec-2012,425.85,420.0,425.0,412.0,415.05,415.05,414.49,52,21553.55,16,48.0,92.31
POLYMED,EQ,24-Dec-2012,420.0,424.95,427.0,411.15,424.0,425.85,420.92,376,158265.5,51,293.0,77.93
POLYMED,EQ,21-Dec-2012,416.75,425.0,429.0,420.0,420.0,420.0,424.21,1904,807705.1,106,1677.0,88.08
POLYMED,EQ,20-Dec-2012,425.7,425.0,429.85,411.1,415.05,416.75,418.17,687,287284.25,48,352.0,51.24
POLYMED,EQ,19-Dec-2012,415.45,417.0,430.0,407.0,430.0,425.7,422.3,507,214108.5,93,355.0,70.02
POLYMED,EQ,18-Dec-2012,410.15,410.0,419.0,380.0,419.0,415.45,401.04,5937,2380998.4,518,3356.0,56.53
POLYMED,EQ,17-Dec-2012,406.0,419.0,419.0,400.05,414.95,410.15,412.33,272,112154.2,71,39.0,14.34
POLYMED,EQ,14-Dec-2012,414.05,420.0,422.85,405.0,405.0,406.0,409.34,790,323376.85,45,541.0,68.48
