"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
REDINGTON,EQ,30-Dec-2011,79.8,79.0,82.15,79.0,81.0,81.65,81.03,141358,11454197.15,6533.0,66022.0,46.71
REDINGTON,EQ,29-Dec-2011,77.25,77.25,80.1,74.95,80.0,79.8,79.58,1160734,92374450.15,14619.0,949063.0,81.76
REDINGTON,EQ,28-Dec-2011,74.65,75.2,77.9,72.55,77.7,77.25,75.17,2054960,154462459.05,22712.0,1278452.0,62.21
REDINGTON,EQ,27-Dec-2011,71.45,72.5,76.85,70.8,73.0,74.65,72.95,2792563,203718876.9,24578.0,2264189.0,81.08
REDINGTON,EQ,26-Dec-2011,70.05,71.0,73.9,70.05,72.0,71.45,71.33,910005,64910974.1,14241.0,651518.0,71.59
REDINGTON,EQ,23-Dec-2011,70.5,71.2,72.0,69.5,70.2,70.05,70.12,176141,12350206.3,3324.0,150308.0,85.33
REDINGTON,EQ,22-Dec-2011,72.2,71.9,71.9,69.1,70.15,70.5,70.59,219031,15462385.4,1194.0,188063.0,85.86
REDINGTON,EQ,21-Dec-2011,71.8,72.8,76.95,71.0,71.85,72.2,72.96,33408,2437480.25,1232.0,10686.0,31.99
REDINGTON,EQ,20-Dec-2011,77.5,79.1,80.8,65.6,74.0,71.8,76.41,1215226,92860006.1,12254.0,939053.0,77.27
REDINGTON,EQ,19-Dec-2011,74.65,74.0,80.45,71.6,76.95,77.5,74.1,423582,31389223.45,11657.0,384041.0,90.67
REDINGTON,EQ,16-Dec-2011,75.3,76.3,77.2,71.75,72.6,74.65,74.97,64116,4806926.15,3429.0,46354.0,72.3
REDINGTON,EQ,15-Dec-2011,76.0,77.0,80.0,74.3,76.5,75.3,76.98,666654,51316773.45,2228.0,633875.0,95.08
REDINGTON,EQ,14-Dec-2011,75.95,76.9,78.0,74.05,78.0,76.0,76.29,549677,41933618.35,1133.0,537992.0,97.87
REDINGTON,EQ,13-Dec-2011,78.2,77.5,77.5,74.7,76.0,75.95,76.31,160871,12276075.4,926.0,154344.0,95.94
REDINGTON,EQ,12-Dec-2011,82.25,83.2,83.2,76.2,77.7,78.2,79.45,35949,2856187.4,1129.0,15329.0,42.64
REDINGTON,EQ,09-Dec-2011,81.55,82.0,82.7,79.0,82.2,82.25,81.1,9145,741703.75,288.0,3714.0,40.61
REDINGTON,EQ,08-Dec-2011,83.3,82.5,83.3,81.1,82.0,81.55,82.95,208525,17296215.6,587.0,204244.0,97.95
REDINGTON,EQ,07-Dec-2011,80.0,81.8,85.2,79.75,82.9,83.3,82.74,211972,17539129.2,3690.0,176606.0,83.32
REDINGTON,EQ,05-Dec-2011,79.3,79.0,80.9,79.0,80.1,80.0,79.97,68706,5494412.15,862.0,58966.0,85.82
