"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
RELIANCE,EQ,30-Dec-2011,711.90,713.00,720.55,689.00,693.10,692.95,703.06,6662330,4684037272.35,168592.0,2317483.0,34.78
RELIANCE,EQ,29-Dec-2011,739.05,733.65,739.00,707.20,709.70,711.90,720.10,5449524,3924180528.1,107457.0,2101882.0,38.57
RELIANCE,EQ,28-Dec-2011,753.05,757.70,758.50,735.35,736.10,739.05,743.80,2829068,2104268441.85,79333.0,819451.0,28.97
RELIANCE,EQ,27-Dec-2011,761.00,766.00,768.70,745.35,754.05,753.05,757.23,3074308,2327961267.85,62515.0,793411.0,25.81
RELIANCE,EQ,26-Dec-2011,746.40,747.05,764.80,745.55,759.30,761.00,757.75,2376469,1800774722.25,57259.0,498900.0,20.99
RELIANCE,EQ,23-Dec-2011,754.55,760.00,769.75,742.40,745.50,746.40,757.91,3511075,2661081257.05,81212.0,868928.0,24.75
RELIANCE,EQ,22-Dec-2011,748.00,741.35,760.30,733.00,758.30,754.55,744.42,4473719,3330314213.4,93790.0,1795630.0,40.14
RELIANCE,EQ,21-Dec-2011,713.45,727.00,753.75,722.70,753.05,748.00,733.89,4563405,3349022526.5,105027.0,2102943.0,46.08
RELIANCE,EQ,20-Dec-2011,735.30,741.70,741.70,709.20,711.75,713.45,724.03,5550563,4018786162.2,154595.0,2348730.0,42.32
RELIANCE,EQ,19-Dec-2011,721.85,719.20,739.90,715.15,736.00,735.30,726.75,4714116,3426000346.2,111416.0,1953018.0,41.43
RELIANCE,EQ,16-Dec-2011,750.15,749.00,844.60,716.05,720.00,721.85,741.45,5828713,4321721691.0,130928.0,1943797.0,33.35
RELIANCE,EQ,15-Dec-2011,741.90,731.90,754.50,723.50,750.85,750.15,741.04,6611139,4899098285.25,135503.0,2736620.0,41.39
RELIANCE,EQ,14-Dec-2011,742.30,738.00,753.90,733.40,739.70,741.90,745.66,5304706,3955503044.8,105074.0,1866481.0,35.19
RELIANCE,EQ,13-Dec-2011,727.50,723.90,746.00,721.00,743.65,742.30,734.72,5228468,3841451760.0,132811.0,1895012.0,36.24
RELIANCE,EQ,12-Dec-2011,755.70,760.55,762.00,724.00,726.80,727.50,740.66,5097034,3775172443.5,115531.0,2029684.0,39.82
RELIANCE,EQ,09-Dec-2011,778.85,769.90,769.90,752.70,753.40,755.70,760.14,5044876,3834835072.85,114842.0,2270158.0,45.00
RELIANCE,EQ,08-Dec-2011,809.80,802.00,807.70,772.10,777.05,778.85,784.38,4442697,3484760625.6,109467.0,1881423.0,42.35
RELIANCE,EQ,07-Dec-2011,806.75,807.00,819.50,803.20,804.10,809.80,812.64,3514150,2855726931.6,94146.0,1494520.0,42.53
RELIANCE,EQ,05-Dec-2011,812.05,808.35,812.20,798.35,808.35,806.75,805.48,3160834,2545989624.45,78190.0,1298648.0,41.09
RELIANCE,EQ,02-Dec-2011,799.00,797.00,815.00,786.55,813.25,812.05,801.17,4479880,3589130210.1,97387.0,1908629.0,42.60
RELIANCE,EQ,01-Dec-2011,778.25,799.00,810.75,795.20,798.75,799.00,802.46,4714967,3783552799.15,111809.0,2150970.0,45.62
RELIANCE,EQ,30-Nov-2011,765.00,756.70,783.30,753.10,783.25,778.25,768.64,4569146,3512016413.4,106020.0,1758653.0,38.49
RELIANCE,EQ,29-Nov-2011,783.80,782.00,782.00,759.15,761.10,765.00,766.74,4803440,3682977071.35,112512.0,1900259.0,39.56
RELIANCE,EQ,28-Nov-2011,753.80,765.00,785.80,762.55,784.25,783.80,775.38,2522069,1955558026.05,68490.0,862242.0,34.19
RELIANCE,EQ,25-Nov-2011,773.15,769.70,771.25,751.00,751.70,753.80,761.33,3699725,2816712588.55,106949.0,1426502.0,38.56
