"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ORIENTREF,EQ,28-Dec-2012,37.75,37.35,38.25,37.35,38.0,37.9,37.92,19573,742293.55,88,13916.0,71.10
ORIENTREF,EQ,27-Dec-2012,38.1,38.7,38.7,37.6,37.6,37.75,38.13,44734,1705491.05,276,29429.0,65.79
ORIENTREF,EQ,26-Dec-2012,38.8,35.7,38.75,35.55,38.0,38.1,38.18,53735,2051599.75,220,46090.0,85.77
ORIENTREF,EQ,24-Dec-2012,38.25,37.1,38.95,37.1,38.6,38.8,38.52,72714,2801106.3,203,54306.0,74.68
ORIENTREF,EQ,21-Dec-2012,38.8,38.5,38.7,38.0,38.2,38.25,38.32,21531,825036.5,56,17988.0,83.54
ORIENTREF,EQ,20-Dec-2012,38.05,39.25,39.65,37.65,38.4,38.8,38.89,19619,762984.95,119,11577.0,59.01
ORIENTREF,EQ,19-Dec-2012,38.35,39.0,39.0,38.0,38.7,38.05,38.12,82546,3146621.75,232,66161.0,80.15
ORIENTREF,EQ,18-Dec-2012,38.2,38.5,38.8,38.0,38.7,38.35,38.12,64416,2455788.7,193,62064.0,96.35
ORIENTREF,EQ,17-Dec-2012,38.95,40.2,40.25,37.5,38.25,38.2,38.6,142037,5482076.75,264,125745.0,88.53
ORIENTREF,EQ,14-Dec-2012,39.15,39.65,39.7,38.75,39.2,38.95,39.26,20788,816170.5,76,15228.0,73.25
ORIENTREF,EQ,13-Dec-2012,39.95,40.0,40.5,39.0,39.15,39.15,39.44,46689,1841493.95,161,40813.0,87.41
ORIENTREF,EQ,12-Dec-2012,40.2,40.45,40.45,39.85,40.0,39.95,40.12,28751,1153557.85,66,27002.0,93.92
ORIENTREF,EQ,11-Dec-2012,40.8,40.5,40.65,39.75,40.0,40.2,40.21,46392,1865563.65,133,39753.0,85.69
ORIENTREF,EQ,10-Dec-2012,40.5,40.5,41.0,40.35,40.95,40.8,40.9,133823,5472695.35,270,126806.0,94.76
ORIENTREF,EQ,07-Dec-2012,40.85,41.0,41.0,40.2,40.55,40.5,40.86,184264,7528149.15,319,173917.0,94.38
