"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SBICARD,EQ,28-Dec-2020,835.2,840.0,844.2,837.3,839.9,840.0,840.21,469675,394624417.9,15240,239315.0,50.95
SBICARD,EQ,24-Dec-2020,829.4,832.0,839.4,830.5,835.15,835.2,836.0,664515,555532724.2,27820,314333.0,47.30
SBICARD,EQ,23-Dec-2020,822.3,828.0,840.5,820.0,826.0,829.4,832.18,951485,791803912.85,38937,463652.0,48.73
SBICARD,EQ,22-Dec-2020,813.7,815.0,827.35,800.0,821.0,822.3,810.38,1304570,1057194787.15,58716,509861.0,39.08
SBICARD,EQ,21-Dec-2020,840.35,835.0,846.1,799.0,808.65,813.7,827.68,1499314,1240956310.1,86557,795788.0,53.08
SBICARD,EQ,18-Dec-2020,840.3,844.55,850.0,834.1,840.1,840.35,840.84,867946,729803916.9,37986,308760.0,35.57
SBICARD,EQ,17-Dec-2020,827.2,829.0,842.5,824.15,841.7,840.3,836.95,1461961,1223589106.5,51774,670960.0,45.89
SBICARD,EQ,16-Dec-2020,820.85,825.0,832.5,821.1,825.2,827.2,827.73,825128,682983158.35,24365,314096.0,38.07
SBICARD,EQ,15-Dec-2020,814.9,821.0,834.5,814.0,819.5,820.85,824.19,1517601,1250793827.85,38434,371015.0,24.45
SBICARD,EQ,14-Dec-2020,823.2,827.0,835.0,812.05,815.85,814.9,818.15,953777,780328046.1,39071,482847.0,50.62
SBICARD,EQ,11-Dec-2020,831.75,834.5,844.9,818.3,820.0,823.2,831.08,857936,713017068.9,36370,388257.0,45.25
SBICARD,EQ,10-Dec-2020,845.6,844.5,844.5,827.15,830.0,831.75,834.06,634969,529604421.7,23685,257299.0,40.52
SBICARD,EQ,09-Dec-2020,855.65,857.0,862.0,841.0,843.4,845.6,852.22,707807,603204802.7,24721,346179.0,48.91
SBICARD,EQ,08-Dec-2020,846.9,845.85,859.3,841.1,855.0,855.65,852.0,1475632,1257244326.75,35961,676070.0,45.82
SBICARD,EQ,07-Dec-2020,858.85,855.0,864.0,844.15,847.0,846.9,849.71,1040877,884442715.15,36563,423340.0,40.67
SBICARD,EQ,04-Dec-2020,838.65,849.0,861.0,840.25,857.0,858.85,853.59,3230931,2757894049.1,94195,1152337.0,35.67
SBICARD,EQ,03-Dec-2020,796.95,800.95,841.85,798.0,840.15,838.65,827.78,4820372,3990186173.35,136400,2160222.0,44.81
SBICARD,EQ,02-Dec-2020,799.95,803.7,805.0,795.0,797.0,796.95,799.24,832610,665453210.65,32392,463388.0,55.65
SBICARD,EQ,01-Dec-2020,799.3,800.05,807.0,796.95,799.8,799.95,801.11,951069,761908760.1,40949,516950.0,54.35
SBICARD,EQ,27-Nov-2020,809.25,814.0,814.6,792.0,798.7,799.3,805.72,1016666,819151815.45,40851,487843.0,47.98
SBICARD,EQ,26-Nov-2020,806.1,809.0,815.7,806.45,809.15,809.25,811.29,731624,593559182.65,34913,379521.0,51.87
SBICARD,EQ,25-Nov-2020,806.05,811.95,818.0,804.05,807.35,806.1,810.25,960946,778607356.4,29621,418890.0,43.59
SBICARD,EQ,24-Nov-2020,815.05,819.0,819.0,805.0,805.95,806.05,809.01,761690,616212477.55,28023,375494.0,49.30
SBICARD,EQ,23-Nov-2020,806.9,810.0,821.05,806.45,815.15,815.05,814.75,1412782,1151062996.0,42102,810948.0,57.40
SBICARD,EQ,20-Nov-2020,806.85,807.0,814.2,795.05,809.0,806.9,803.4,1286646,1033687374.15,43810,554744.0,43.12
SBICARD,EQ,19-Nov-2020,814.35,812.0,832.0,801.5,806.5,806.85,814.91,2422368,1974020802.8,79727,901121.0,37.20
SBICARD,EQ,18-Nov-2020,782.95,784.4,818.5,779.6,814.0,814.35,800.41,3183192,2547854601.35,91505,1336192.0,41.98
SBICARD,EQ,17-Nov-2020,789.55,795.0,795.0,780.3,784.2,782.95,784.73,1312729,1030132373.5,53033,736803.0,56.13
SBICARD,EQ,14-Nov-2020,774.05,780.8,791.85,780.0,791.0,789.55,787.74,449477,354071418.2,22866,229103.0,50.97
SBICARD,EQ,13-Nov-2020,781.15,782.9,787.9,770.15,774.15,774.05,778.38,3057925,2380230050.2,129025,1876207.0,61.36
SBICARD,EQ,12-Nov-2020,805.75,807.95,809.0,780.25,781.1,781.15,788.83,3771352,2974956597.7,165563,2612910.0,69.28
SBICARD,EQ,11-Nov-2020,839.7,840.0,842.0,801.1,805.4,805.75,810.49,2926323,2371745843.65,119543,1718296.0,58.72
SBICARD,EQ,10-Nov-2020,840.45,848.8,860.0,836.55,840.0,839.7,849.55,1198077,1017825032.6,54386,575937.0,48.07
SBICARD,EQ,09-Nov-2020,847.5,853.0,863.95,834.05,837.8,840.45,852.99,1458095,1243736167.5,75384,891783.0,61.16
SBICARD,EQ,06-Nov-2020,827.1,829.95,855.0,827.5,845.1,847.5,845.08,1627683,1375520639.25,51617,874539.0,53.73
SBICARD,EQ,05-Nov-2020,820.2,825.0,843.65,825.0,827.4,827.1,832.83,1030075,857876176.15,39649,452166.0,43.90
SBICARD,EQ,04-Nov-2020,813.65,815.0,824.8,810.3,818.0,820.2,816.72,864460,706023999.05,36841,440049.0,50.90
SBICARD,EQ,03-Nov-2020,807.05,811.0,819.4,805.0,814.4,813.65,814.11,684155,556978003.9,27373,324845.0,47.48
SBICARD,EQ,02-Nov-2020,799.75,799.0,814.6,793.2,809.0,807.05,807.01,887924,716566947.35,32996,404319.0,45.54
SBICARD,EQ,30-Oct-2020,811.9,810.95,817.0,796.5,798.0,799.75,804.24,782010,628925555.45,33691,298530.0,38.17
SBICARD,EQ,29-Oct-2020,808.7,802.0,814.7,796.0,812.0,811.9,809.24,834937,675660827.35,36546,327761.0,39.26
SBICARD,EQ,28-Oct-2020,814.2,818.65,819.8,807.0,808.8,808.7,812.06,1174804,954014865.45,35979,650880.0,55.40
SBICARD,EQ,27-Oct-2020,793.95,796.0,820.0,795.05,815.0,814.2,808.67,1830258,1480072433.8,60907,681329.0,37.23
SBICARD,EQ,26-Oct-2020,807.25,807.15,818.0,790.0,794.7,793.95,802.0,2209702,1772180070.35,92449,821557.0,37.18
SBICARD,EQ,23-Oct-2020,851.9,790.0,827.85,766.1,805.0,807.25,801.1,11939340,9564607162.0,338794,3075020.0,25.76
SBICARD,EQ,22-Oct-2020,895.3,899.0,902.0,828.0,829.0,851.9,863.35,2426405,2094844932.65,86152,1115617.0,45.98
SBICARD,EQ,21-Oct-2020,898.3,901.0,908.75,878.0,895.0,895.3,896.36,961002,861401006.5,47815,298277.0,31.04
SBICARD,EQ,20-Oct-2020,883.2,883.95,901.8,873.0,897.55,898.3,891.05,1285192,1145167352.25,57712,441558.0,34.36
SBICARD,EQ,19-Oct-2020,879.6,884.35,888.8,875.3,882.1,883.2,881.15,895509,789075486.05,43286,412621.0,46.08
SBICARD,EQ,16-Oct-2020,900.2,897.9,904.4,876.0,879.9,879.6,884.4,1568240,1386952191.35,69812,663468.0,42.31
SBICARD,EQ,15-Oct-2020,892.15,892.25,918.75,887.75,890.7,900.2,908.7,3799142,3452266422.8,143997,1347422.0,35.47
SBICARD,EQ,14-Oct-2020,856.35,860.0,895.5,860.0,891.0,892.15,884.64,5345936,4729208095.95,191583,1800469.0,33.68
SBICARD,EQ,13-Oct-2020,845.05,843.1,861.1,840.1,855.25,856.35,852.09,1367217,1164989345.95,67177,746334.0,54.59
SBICARD,EQ,12-Oct-2020,850.65,850.1,855.0,839.0,846.0,845.05,846.7,672699,569572518.15,54207,297293.0,44.19
SBICARD,EQ,09-Oct-2020,847.3,850.0,852.8,841.0,848.6,850.65,848.46,900601,764127414.1,43118,489836.0,54.39
SBICARD,EQ,08-Oct-2020,843.5,848.0,852.75,841.3,847.0,847.3,845.48,777073,657000224.15,38189,524002.0,67.43
SBICARD,EQ,07-Oct-2020,842.15,845.0,848.0,833.0,842.0,843.5,841.63,834051,701960155.15,34283,540166.0,64.76
SBICARD,EQ,06-Oct-2020,845.85,849.45,850.0,838.45,842.0,842.15,844.03,796688,672432320.55,43467,518415.0,65.07
SBICARD,EQ,05-Oct-2020,838.9,839.0,848.45,838.0,846.9,845.85,842.83,864679,728777233.95,43484,543653.0,62.87
SBICARD,EQ,01-Oct-2020,847.6,858.0,858.0,833.7,838.0,838.9,844.38,746238,630109952.65,53280,377865.0,50.64
SBICARD,EQ,30-Sep-2020,849.7,849.8,851.0,842.0,845.55,847.6,846.61,796469,674301995.6,38047,391794.0,49.19
SBICARD,EQ,29-Sep-2020,841.4,845.1,854.85,830.65,845.0,849.7,845.85,1322936,1119001278.9,49834,401305.0,30.33
SBICARD,EQ,28-Sep-2020,812.05,818.75,848.5,813.3,840.65,841.4,827.71,1056368,874365882.7,44410,364618.0,34.52
SBICARD,EQ,25-Sep-2020,816.1,813.1,824.25,806.9,812.45,812.05,812.51,761952,619093616.6,48236,369759.0,48.53
SBICARD,EQ,24-Sep-2020,821.05,811.3,820.8,805.0,810.0,816.1,812.21,1161120,943070812.8,41721,700361.0,60.32
SBICARD,EQ,23-Sep-2020,813.0,819.0,826.7,811.15,821.4,821.05,820.97,1051964,863630273.4,61177,518101.0,49.25
SBICARD,EQ,22-Sep-2020,818.15,820.0,828.0,774.05,813.0,813.0,804.41,1361609,1095285250.7,82606,477238.0,35.05
SBICARD,EQ,21-Sep-2020,849.4,855.0,857.0,811.0,824.05,818.15,841.02,1464507,1231685589.2,76492,679812.0,46.42
SBICARD,EQ,18-Sep-2020,851.05,856.0,863.8,826.55,855.0,849.4,850.08,8126328,6907989044.6,76812,5856049.0,72.06
SBICARD,EQ,17-Sep-2020,851.55,846.9,858.0,844.0,851.1,851.05,850.87,706512,601149163.6,49657,349432.0,49.46
SBICARD,EQ,16-Sep-2020,858.6,863.55,865.0,850.0,852.7,851.55,855.08,1082791,925868964.2,56442,691563.0,63.87
SBICARD,EQ,15-Sep-2020,855.85,859.0,865.5,856.5,856.8,858.6,860.54,1049684,903299127.2,84911,570985.0,54.40
SBICARD,EQ,14-Sep-2020,849.4,858.0,868.0,842.7,856.95,855.85,856.33,2306741,1975333405.7,113477,1175782.0,50.97
SBICARD,EQ,11-Sep-2020,819.95,819.0,855.8,819.0,849.7,849.4,839.72,2722066,2285771697.65,107385,1353898.0,49.74
SBICARD,EQ,10-Sep-2020,809.15,814.0,826.0,812.05,819.0,819.95,820.91,1336624,1097250869.95,53768,901637.0,67.46
SBICARD,EQ,09-Sep-2020,818.9,812.05,813.95,805.0,809.7,809.15,809.81,801709,649235771.5,63905,456942.0,57.00
SBICARD,EQ,08-Sep-2020,808.7,811.0,824.6,807.15,819.05,818.9,815.45,1527405,1245517033.25,46999,919876.0,60.22
SBICARD,EQ,07-Sep-2020,816.45,820.0,823.65,805.0,808.0,808.7,810.41,836452,677866005.1,54667,443265.0,52.99
SBICARD,EQ,04-Sep-2020,827.8,811.0,827.5,810.0,817.8,816.45,819.97,895656,734410066.25,44101,363091.0,40.54
SBICARD,EQ,03-Sep-2020,814.1,815.0,835.0,814.95,827.0,827.8,828.69,1202202,996250190.25,54351,610683.0,50.80
SBICARD,EQ,02-Sep-2020,806.7,802.0,819.0,801.9,810.0,814.1,813.8,864414,703456433.55,45594,434427.0,50.26
SBICARD,EQ,01-Sep-2020,807.8,804.1,820.85,796.3,804.6,806.7,809.35,1457465,1179603764.8,79277,698497.0,47.93
