"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SRTRANSFIN,EQ,30-Dec-2011,417.80,418.20,435.35,416.65,421.25,420.85,425.34,1639321,697274409.25,13525.0,1380325.0,84.20
SRTRANSFIN,EQ,29-Dec-2011,427.65,425.95,428.05,417.20,417.35,417.80,419.28,1235899,518181592.85,35958.0,967190.0,78.26
SRTRANSFIN,EQ,28-Dec-2011,435.90,441.85,441.85,426.30,428.00,427.65,429.53,544399,233838175.65,13569.0,404117.0,74.23
SRTRANSFIN,EQ,27-Dec-2011,438.50,445.50,447.60,432.20,433.20,435.90,436.78,859119,375247031.35,24675.0,583240.0,67.89
SRTRANSFIN,EQ,26-Dec-2011,444.95,445.50,448.85,437.85,437.95,438.50,440.08,281120,123714798.65,16803.0,144078.0,51.25
SRTRANSFIN,EQ,23-Dec-2011,447.50,450.00,450.00,440.70,445.00,444.95,444.51,612521,272269351.5,36713.0,416374.0,67.98
SRTRANSFIN,EQ,22-Dec-2011,461.35,464.90,464.90,441.00,445.95,447.50,449.94,2084473,937884523.95,41234.0,1698000.0,81.46
SRTRANSFIN,EQ,21-Dec-2011,467.75,479.95,480.00,451.00,460.05,461.35,463.15,1657494,767664946.3,29479.0,1354208.0,81.70
SRTRANSFIN,EQ,20-Dec-2011,499.10,492.70,501.90,455.20,463.00,467.75,474.30,503886,238995507.0,21992.0,280189.0,55.61
SRTRANSFIN,EQ,19-Dec-2011,517.45,506.75,511.00,492.10,498.90,499.10,499.62,265206,132501777.75,14147.0,154653.0,58.31
SRTRANSFIN,EQ,16-Dec-2011,520.90,524.50,525.90,510.50,513.00,517.45,518.09,559294,289763639.65,30316.0,306766.0,54.85
SRTRANSFIN,EQ,15-Dec-2011,516.85,505.05,526.00,505.05,523.90,520.90,520.78,476697,248255399.25,35698.0,309117.0,64.85
SRTRANSFIN,EQ,14-Dec-2011,524.35,526.05,528.85,508.20,512.25,516.85,515.29,952062,490583872.9,21775.0,781675.0,82.10
SRTRANSFIN,EQ,13-Dec-2011,525.60,525.70,530.00,518.95,525.00,524.35,524.12,273377,143282621.55,20027.0,156562.0,57.27
SRTRANSFIN,EQ,12-Dec-2011,530.10,532.50,544.40,523.00,527.05,525.60,528.65,308021,162835025.4,23852.0,170994.0,55.51
SRTRANSFIN,EQ,09-Dec-2011,551.85,551.00,559.10,528.25,528.25,530.10,533.87,758045,404699749.8,10192.0,597036.0,78.76
SRTRANSFIN,EQ,08-Dec-2011,570.00,571.00,571.00,540.00,556.80,551.85,553.29,248085,137263453.55,12629.0,116396.0,46.92
SRTRANSFIN,EQ,07-Dec-2011,570.30,573.95,583.00,565.40,570.00,570.00,571.57,598203,341915881.2,24189.0,394150.0,65.89
SRTRANSFIN,EQ,05-Dec-2011,541.75,539.95,576.75,535.00,569.90,570.30,560.79,450386,252571446.05,18925.0,181423.0,40.28
SRTRANSFIN,EQ,02-Dec-2011,521.05,520.00,548.60,511.70,540.60,541.75,533.30,399684,213152768.1,23351.0,213753.0,53.48
SRTRANSFIN,EQ,01-Dec-2011,499.95,519.00,548.00,510.00,523.05,521.05,521.02,368965,192239966.4,12097.0,235425.0,63.81
SRTRANSFIN,EQ,30-Nov-2011,502.40,506.10,508.00,495.95,506.50,499.95,501.58,727483,364891551.3,20437.0,515203.0,70.82
SRTRANSFIN,EQ,29-Nov-2011,505.75,508.00,511.00,500.80,503.00,502.40,507.03,939666,476436413.0,10518.0,826949.0,88.00
SRTRANSFIN,EQ,28-Nov-2011,504.05,508.55,518.00,502.80,505.50,505.75,510.33,398364,203297388.5,7931.0,273910.0,68.76
SRTRANSFIN,EQ,25-Nov-2011,511.95,503.00,521.95,500.15,503.00,504.05,512.04,286079,146484855.9,7295.0,182490.0,63.79
SRTRANSFIN,EQ,24-Nov-2011,500.60,500.05,517.80,499.60,511.00,511.95,506.25,606914,307251740.3,15005.0,387112.0,63.78
SRTRANSFIN,EQ,23-Nov-2011,506.95,490.10,506.25,490.10,498.95,500.60,501.05,677056,339236760.45,22007.0,449468.0,66.39
SRTRANSFIN,EQ,22-Nov-2011,504.95,509.00,514.00,496.00,506.00,506.95,504.94,602352,304149344.15,19334.0,392288.0,65.13
SRTRANSFIN,EQ,21-Nov-2011,524.50,522.60,522.60,501.05,508.00,504.95,506.20,368106,186336479.6,16254.0,217817.0,59.17
SRTRANSFIN,EQ,18-Nov-2011,535.80,531.90,533.70,520.00,521.00,524.50,524.86,256683,134721695.3,9457.0,169117.0,65.89
SRTRANSFIN,EQ,17-Nov-2011,547.55,533.00,548.75,526.00,533.00,535.80,534.76,547554,292812060.75,17810.0,324139.0,59.20
SRTRANSFIN,EQ,16-Nov-2011,551.80,553.85,553.85,509.30,546.15,547.55,538.16,908963,489165077.75,23737.0,523586.0,57.60
SRTRANSFIN,EQ,15-Nov-2011,553.90,553.30,562.40,548.75,551.00,551.80,556.99,509234,283637712.35,14747.0,359554.0,70.61
SRTRANSFIN,EQ,14-Nov-2011,554.65,560.00,565.80,547.00,554.00,553.90,555.21,696913,386935901.4,10967.0,551148.0,79.08
SRTRANSFIN,EQ,11-Nov-2011,575.20,573.00,578.15,525.60,554.40,554.65,555.52,812840,451546340.8,23288.0,538117.0,66.20
SRTRANSFIN,EQ,09-Nov-2011,587.90,592.10,595.00,574.00,578.55,575.20,582.29,510988,297542930.9,20083.0,315658.0,61.77
SRTRANSFIN,EQ,08-Nov-2011,604.65,605.00,609.70,585.50,587.50,587.90,590.76,418591,247287116.05,24187.0,278872.0,66.62
SRTRANSFIN,EQ,04-Nov-2011,592.05,599.05,609.15,598.55,604.20,604.65,605.30,547706,331526353.75,19361.0,415808.0,75.92
SRTRANSFIN,EQ,03-Nov-2011,597.20,594.55,604.45,588.25,593.15,592.05,593.17,202634,120196556.95,9442.0,118312.0,58.39
SRTRANSFIN,EQ,02-Nov-2011,607.90,601.80,609.00,595.15,595.15,597.20,601.52,162281,97615013.9,8548.0,68108.0,41.97
SRTRANSFIN,EQ,01-Nov-2011,613.50,602.25,621.00,602.25,609.40,607.90,613.07,185747,113875238.85,8905.0,99170.0,53.39
SRTRANSFIN,EQ,31-Oct-2011,617.35,615.25,615.25,600.70,612.25,613.50,611.86,150596,92143859.1,7860.0,76602.0,50.87
SRTRANSFIN,EQ,28-Oct-2011,598.80,606.00,619.85,600.90,614.00,617.35,614.82,846891,520689237.4,14283.0,707171.0,83.50
SRTRANSFIN,EQ,26-Oct-2011,598.25,606.90,606.90,596.25,597.20,598.80,599.46,17723,10624277.05,985.0,8618.0,48.63
SRTRANSFIN,EQ,25-Oct-2011,582.35,583.75,600.90,575.00,599.00,598.25,596.20,608804,362966166.7,16957.0,382129.0,62.77
SRTRANSFIN,EQ,24-Oct-2011,606.00,609.00,612.60,580.00,580.50,582.35,594.95,289604,172300442.45,17992.0,177283.0,61.22
