"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SOBHA,EQ,30-Dec-2011,197.2,198.0,202.25,188.55,192.6,191.3,196.2,109857,21554459.1,5978.0,24199.0,22.03
SOBHA,EQ,29-Dec-2011,189.4,179.5,199.4,179.5,196.9,197.2,192.03,610238,117184314.7,7091.0,517881.0,84.87
SOBHA,EQ,28-Dec-2011,195.75,194.75,195.6,185.0,190.95,189.4,190.33,111127,21150322.15,4312.0,58592.0,52.73
SOBHA,EQ,27-Dec-2011,202.4,202.0,204.95,195.0,195.5,195.75,198.39,32855,6518076.3,2019.0,10351.0,31.51
SOBHA,EQ,26-Dec-2011,199.7,200.0,204.65,200.0,201.1,202.4,203.09,21699,4406913.35,1114.0,5624.0,25.92
SOBHA,EQ,23-Dec-2011,203.85,204.0,205.1,199.0,201.0,199.7,202.01,133947,27058385.65,3187.0,85387.0,63.75
SOBHA,EQ,22-Dec-2011,208.5,205.0,209.0,193.7,204.4,203.85,203.27,233466,47455616.05,6263.0,121739.0,52.14
SOBHA,EQ,21-Dec-2011,214.05,220.0,220.0,204.05,207.0,208.5,211.39,367743,77738719.5,7148.0,304406.0,82.78
SOBHA,EQ,20-Dec-2011,218.9,223.0,223.0,212.0,214.5,214.05,214.57,114953,24665891.45,7730.0,77283.0,67.23
SOBHA,EQ,19-Dec-2011,227.85,225.0,226.0,216.3,219.0,218.9,218.9,130397,28544478.25,3377.0,85105.0,65.27
SOBHA,EQ,16-Dec-2011,225.5,221.05,234.85,221.05,229.5,227.85,229.05,319229,73119151.65,3182.0,276901.0,86.74
SOBHA,EQ,15-Dec-2011,218.75,218.05,227.0,217.0,224.0,225.5,221.75,98159,21766323.7,2530.0,45356.0,46.21
SOBHA,EQ,14-Dec-2011,223.85,226.2,228.8,217.15,221.65,218.75,221.82,53434,11852648.9,2431.0,20513.0,38.39
SOBHA,EQ,13-Dec-2011,225.25,225.1,229.05,217.6,225.0,223.85,224.71,30463,6845344.15,2579.0,9296.0,30.52
SOBHA,EQ,12-Dec-2011,229.9,234.0,237.95,224.0,224.0,225.25,228.62,37601,8596173.85,2813.0,11697.0,31.11
SOBHA,EQ,09-Dec-2011,229.1,232.0,232.0,220.2,229.95,229.9,226.71,50740,11503382.2,4013.0,18762.0,36.98
SOBHA,EQ,08-Dec-2011,233.85,235.45,237.9,227.15,229.9,229.1,231.68,43308,10033741.5,2815.0,12352.0,28.52
SOBHA,EQ,07-Dec-2011,238.95,238.0,239.45,232.25,232.3,233.85,235.94,41333,9751942.3,3388.0,9812.0,23.74
SOBHA,EQ,05-Dec-2011,237.8,238.0,241.95,234.0,234.25,238.95,238.84,498786,119128947.3,1587.0,484257.0,97.09
SOBHA,EQ,02-Dec-2011,233.3,237.6,240.95,234.6,239.9,237.8,237.87,45339,10784863.75,3976.0,10972.0,24.2
SOBHA,EQ,01-Dec-2011,235.25,239.9,247.9,228.35,233.15,233.3,240.49,109277,26280173.45,4446.0,49927.0,45.69
SOBHA,EQ,30-Nov-2011,239.35,238.0,240.45,230.0,236.5,235.25,234.33,64315,15070791.4,3228.0,18581.0,28.89
SOBHA,EQ,29-Nov-2011,233.55,233.25,241.5,231.25,238.15,239.35,236.6,93888,22214206.25,1920.0,51951.0,55.33
SOBHA,EQ,28-Nov-2011,231.25,235.8,236.95,230.2,233.0,233.55,233.92,68099,15929968.6,2190.0,47388.0,69.59
SOBHA,EQ,25-Nov-2011,222.55,219.1,234.0,216.3,231.55,231.25,228.68,73890,16896999.0,2847.0,19829.0,26.84
SOBHA,EQ,24-Nov-2011,215.35,215.35,227.55,204.0,220.3,222.55,213.77,147571,31545816.7,4737.0,47845.0,32.42
SOBHA,EQ,23-Nov-2011,235.55,232.5,232.5,213.0,215.95,215.35,223.46,106375,23770409.2,3083.0,38293.0,36.0
SOBHA,EQ,22-Nov-2011,232.4,231.05,238.65,228.0,234.95,235.55,235.08,82676,19435668.3,4326.0,39128.0,47.33
SOBHA,EQ,21-Nov-2011,230.95,236.45,236.5,229.2,233.0,232.4,232.94,83299,19403585.05,11716.0,43626.0,52.37
SOBHA,EQ,18-Nov-2011,229.4,227.85,238.0,221.05,233.95,230.95,228.24,236208,53911123.8,11535.0,111290.0,47.12
SOBHA,EQ,17-Nov-2011,216.1,216.4,235.0,215.05,226.65,229.4,229.06,247361,56659591.95,9280.0,144821.0,58.55
SOBHA,EQ,16-Nov-2011,220.6,219.7,220.85,215.05,216.95,216.1,216.84,46227,10023755.55,1581.0,18972.0,41.04
