"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SOLARINDS,EQ,30-Dec-2011,751.3,746.05,770.05,746.05,770.05,763.9,758.07,886,671653.2,531.0,502.0,56.66
SOLARINDS,EQ,29-Dec-2011,761.65,750.1,760.0,750.05,750.05,751.3,752.2,198,148935.7,22.0,153.0,77.27
SOLARINDS,EQ,28-Dec-2011,762.45,765.0,765.0,750.0,763.85,761.65,761.02,11,8371.2,5.0,7.0,63.64
SOLARINDS,EQ,27-Dec-2011,762.35,763.0,765.0,750.1,751.0,762.45,762.44,239,182223.85,17.0,200.0,83.68
SOLARINDS,EQ,26-Dec-2011,758.55,772.0,772.0,745.1,765.0,762.35,762.31,108,82329.05,20.0,99.0,91.67
SOLARINDS,EQ,23-Dec-2011,765.1,764.95,768.0,755.05,757.0,758.55,761.89,1207,919605.0,178.0,628.0,52.03
SOLARINDS,EQ,22-Dec-2011,762.9,756.0,767.0,755.0,755.0,765.1,765.45,641,490655.4,34.0,413.0,64.43
SOLARINDS,EQ,21-Dec-2011,749.7,750.0,769.0,750.0,760.0,762.9,761.97,2408,1834835.4,67.0,1450.0,60.22
SOLARINDS,EQ,20-Dec-2011,739.5,743.95,754.0,727.6,754.0,749.7,746.26,1472,1098498.5,58.0,1000.0,67.93
SOLARINDS,EQ,19-Dec-2011,752.3,745.0,745.0,725.05,731.15,739.5,738.99,799,590450.9,53.0,518.0,64.83
SOLARINDS,EQ,16-Dec-2011,752.55,762.8,762.8,741.5,741.55,752.3,752.25,2162,1626369.25,103.0,1343.0,62.12
SOLARINDS,EQ,15-Dec-2011,755.7,750.0,759.95,743.5,759.5,752.55,752.25,1750,1316442.3,87.0,1094.0,62.51
SOLARINDS,EQ,14-Dec-2011,768.8,756.4,769.0,750.1,759.95,755.7,762.84,3290,2509732.45,132.0,2507.0,76.2
SOLARINDS,EQ,13-Dec-2011,763.3,760.0,775.0,760.0,770.0,768.8,767.1,8751,6712881.3,139.0,4775.0,54.57
SOLARINDS,EQ,12-Dec-2011,771.35,798.0,798.0,756.0,765.0,763.3,768.45,5452,4189606.25,207.0,2477.0,45.43
SOLARINDS,EQ,09-Dec-2011,758.85,755.0,784.0,746.2,779.95,771.35,766.72,1157,887096.55,113.0,631.0,54.54
SOLARINDS,EQ,08-Dec-2011,754.9,750.0,763.95,745.25,750.0,758.85,758.17,630,477645.0,41.0,555.0,88.1
SOLARINDS,EQ,07-Dec-2011,755.9,755.9,771.5,750.0,754.95,754.9,760.65,8988,6836701.15,290.0,4869.0,54.17
SOLARINDS,EQ,05-Dec-2011,754.25,762.8,763.0,745.5,760.0,755.9,754.3,6611,4986695.5,104.0,4726.0,71.49
SOLARINDS,EQ,02-Dec-2011,741.4,744.0,761.5,731.25,750.0,754.25,753.75,3954,2980344.2,196.0,2045.0,51.72
SOLARINDS,EQ,01-Dec-2011,728.8,732.65,748.45,731.05,740.0,741.4,740.97,4011,2972041.2,55.0,2969.0,74.02
SOLARINDS,EQ,30-Nov-2011,732.75,739.0,740.0,720.0,720.0,728.8,733.06,1960,1436802.9,59.0,1791.0,91.38
SOLARINDS,EQ,29-Nov-2011,737.05,720.25,748.35,720.25,735.0,732.75,740.68,2278,1687270.85,74.0,1205.0,52.9
SOLARINDS,EQ,28-Nov-2011,719.9,726.05,750.0,726.0,730.0,737.05,737.43,4872,3592754.65,236.0,2630.0,53.98
SOLARINDS,EQ,25-Nov-2011,714.3,711.0,734.0,700.7,720.0,719.9,720.08,1970,1418552.55,106.0,1101.0,55.89
SOLARINDS,EQ,24-Nov-2011,708.7,720.1,725.0,685.0,725.0,714.3,709.22,8574,6080839.15,629.0,4331.0,50.51
