"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SONACOMS,EQ,28-Dec-2021,704.55,708.5,732.0,705.5,731.0,728.85,719.6,1299478,935104956.75,35555,416453.0,32.05
SONACOMS,EQ,27-Dec-2021,712.75,712.0,716.0,694.4,703.0,704.55,704.38,1256299,884907853.85,36412,418335.0,33.3
SONACOMS,EQ,24-Dec-2021,698.5,703.75,717.8,680.15,715.0,712.75,697.8,2108002,1470973624.75,53446,729910.0,34.63
SONACOMS,EQ,23-Dec-2021,696.1,702.9,711.0,691.9,699.0,698.5,701.79,1653715,1160561926.15,50003,649024.0,39.25
SONACOMS,EQ,22-Dec-2021,709.3,714.8,723.0,694.0,695.4,696.1,707.51,1580443,1118172330.05,47137,761404.0,48.18
SONACOMS,EQ,21-Dec-2021,699.25,714.0,728.75,704.2,709.85,709.3,716.09,1682321,1204696458.2,64149,638530.0,37.96
SONACOMS,EQ,20-Dec-2021,755.85,753.0,755.3,690.0,693.0,699.25,709.81,3720125,2640570460.1,152573,1634401.0,43.93
SONACOMS,EQ,17-Dec-2021,779.5,778.6,798.9,741.25,773.05,755.85,760.07,12307302,9354426207.15,118684,7386709.0,60.02
SONACOMS,EQ,16-Dec-2021,796.7,806.9,807.25,776.1,778.5,779.5,783.02,1694604,1326907871.6,52861,591888.0,34.93
SONACOMS,EQ,15-Dec-2021,799.6,805.7,809.95,790.7,799.75,796.7,797.98,1914028,1527359343.65,60175,812841.0,42.47
SONACOMS,EQ,14-Dec-2021,822.7,822.4,839.9,795.0,801.0,799.6,811.19,3330102,2701341809.95,136171,1532666.0,46.02
SONACOMS,EQ,13-Dec-2021,789.3,797.7,829.5,795.4,822.95,822.7,816.17,4051746,3306906686.7,94803,1377596.0,34.0
SONACOMS,EQ,10-Dec-2021,776.0,777.95,792.0,775.25,789.15,789.3,785.56,1666681,1309275893.75,47698,647006.0,38.82
SONACOMS,EQ,09-Dec-2021,771.4,782.0,817.9,772.6,774.8,776.0,795.11,5381019,4278507809.9,156320,1530126.0,28.44
SONACOMS,EQ,08-Dec-2021,760.55,772.0,778.0,763.75,775.0,771.4,769.73,1162024,894446865.05,37959,503787.0,43.35
SONACOMS,EQ,07-Dec-2021,751.75,759.1,778.0,755.2,765.0,760.55,767.84,2180750,1674468921.3,80464,1149198.0,52.7
SONACOMS,EQ,06-Dec-2021,766.4,771.4,771.95,748.65,752.6,751.75,760.0,1219012,926451469.55,39629,458897.0,37.64
SONACOMS,EQ,03-Dec-2021,758.95,767.3,812.5,763.4,764.95,766.4,784.31,3977053,3119233661.15,137957,1308110.0,32.89
SONACOMS,EQ,02-Dec-2021,744.7,748.8,767.0,746.05,759.05,758.95,758.67,1741210,1321012428.75,58444,948755.0,54.49
SONACOMS,EQ,01-Dec-2021,748.3,758.65,766.0,741.25,743.0,744.7,750.26,1408465,1056712856.25,44944,753331.0,53.49
SONACOMS,EQ,30-Nov-2021,743.5,750.0,770.95,736.55,749.75,748.3,753.38,1737253,1308809334.85,52532,727182.0,41.86
SONACOMS,EQ,29-Nov-2021,729.3,725.0,747.8,676.2,742.0,743.5,721.87,2865447,2068467663.95,114749,1160784.0,40.51
SONACOMS,EQ,26-Nov-2021,759.95,745.0,768.5,725.05,727.0,729.3,744.46,2200440,1638150223.2,71284,1089237.0,49.5
SONACOMS,EQ,25-Nov-2021,741.85,747.9,775.0,745.0,760.0,759.95,760.58,2012494,1530663910.8,74115,930208.0,46.22
SONACOMS,EQ,24-Nov-2021,738.7,748.1,769.4,734.05,743.0,741.85,755.51,2527904,1909862413.25,90619,1163520.0,46.03
SONACOMS,EQ,23-Nov-2021,696.35,690.0,749.0,687.9,741.9,738.7,731.19,3179965,2325166725.1,93166,1315823.0,41.38
SONACOMS,EQ,22-Nov-2021,710.0,716.4,723.8,681.35,697.5,696.35,706.91,2997923,2119268303.1,113013,1435109.0,47.87
SONACOMS,EQ,18-Nov-2021,710.9,713.7,719.95,690.0,708.15,710.0,705.39,2185044,1541316199.6,75517,1096447.0,50.18
SONACOMS,EQ,17-Nov-2021,712.6,708.4,726.0,707.6,712.0,710.9,714.34,1717766,1227068208.5,57895,852649.0,49.64
SONACOMS,EQ,16-Nov-2021,690.3,695.8,720.9,692.5,708.05,712.6,706.9,2855058,2018227466.4,81541,1272965.0,44.59
SONACOMS,EQ,15-Nov-2021,679.95,685.1,700.0,684.0,692.4,690.3,691.17,1495935,1033943351.55,45325,687139.0,45.93
SONACOMS,EQ,12-Nov-2021,695.0,701.0,703.1,670.2,680.95,679.95,680.84,1816218,1236555663.9,61619,793860.0,43.71
SONACOMS,EQ,11-Nov-2021,686.65,687.0,713.4,687.0,695.3,695.0,701.17,2305663,1616667325.0,75856,977049.0,42.38
SONACOMS,EQ,10-Nov-2021,684.95,680.0,701.0,676.3,686.85,686.65,689.47,1784031,1230040290.6,44467,610161.0,34.2
SONACOMS,EQ,09-Nov-2021,666.3,668.0,697.55,661.4,684.0,684.95,682.96,2961288,2022443022.9,72310,1066016.0,36.0
SONACOMS,EQ,08-Nov-2021,665.7,669.0,679.75,656.65,667.8,666.3,668.1,1739351,1162055320.0,53117,699924.0,40.24
SONACOMS,EQ,04-Nov-2021,643.55,650.2,668.75,649.6,664.0,665.7,662.52,1101448,729726575.9,38960,514189.0,46.68
SONACOMS,EQ,03-Nov-2021,649.35,654.0,655.45,635.65,643.8,643.55,645.67,1127716,728137110.4,29841,550601.0,48.82
SONACOMS,EQ,02-Nov-2021,648.4,653.0,669.2,648.4,649.3,649.35,654.73,1857969,1216465545.5,44035,796313.0,42.86
SONACOMS,EQ,01-Nov-2021,647.7,653.7,669.8,645.2,648.9,648.4,654.68,1838861,1203862823.25,56157,940114.0,51.12
SONACOMS,EQ,29-Oct-2021,668.4,664.0,678.1,637.2,645.15,647.7,655.96,2563167,1681331979.85,82894,1059618.0,41.34
SONACOMS,EQ,28-Oct-2021,615.05,618.0,705.4,618.0,665.0,668.4,679.17,7525179,5110866771.0,139740,2916360.0,38.75
SONACOMS,EQ,27-Oct-2021,639.3,643.0,647.9,612.0,617.0,615.05,627.33,1718860,1078284735.05,58022,987949.0,57.48
SONACOMS,EQ,26-Oct-2021,604.0,608.0,654.05,608.0,639.95,639.3,634.39,3210594,2036779283.1,80752,1249017.0,38.9
SONACOMS,EQ,25-Oct-2021,616.1,618.0,626.9,586.0,603.5,604.0,607.49,1874816,1138937877.45,51191,770318.0,41.09
SONACOMS,EQ,22-Oct-2021,625.15,629.75,666.45,611.25,613.4,616.1,635.63,2566541,1631361463.95,68549,1169534.0,45.57
SONACOMS,EQ,21-Oct-2021,643.35,643.2,653.4,601.0,622.9,625.15,625.72,2746143,1718307944.1,84432,1484114.0,54.04
SONACOMS,EQ,20-Oct-2021,697.6,691.9,694.0,630.0,642.05,643.35,649.49,4178371,2713797482.3,156836,2296088.0,54.95
SONACOMS,EQ,19-Oct-2021,765.65,771.4,773.3,674.0,696.25,697.6,734.91,1716466,1261455553.4,65263,974872.0,56.8
SONACOMS,EQ,18-Oct-2021,755.15,762.0,805.95,755.0,766.0,765.65,777.29,2396092,1862456723.9,70394,900521.0,37.58
SONACOMS,EQ,14-Oct-2021,741.4,747.7,813.0,718.35,758.5,755.15,773.11,5972558,4617461739.05,164522,1439564.0,24.1
SONACOMS,EQ,13-Oct-2021,651.0,670.0,749.0,670.0,740.0,741.4,724.08,7037231,5095495545.7,137115,1601313.0,22.75
SONACOMS,EQ,12-Oct-2021,651.8,651.0,660.0,635.0,655.0,651.0,644.87,1197495,772230609.75,33727,414523.0,34.62
SONACOMS,EQ,11-Oct-2021,630.95,632.8,665.95,628.4,651.0,651.8,650.8,1912860,1244895358.95,44045,627830.0,32.82
SONACOMS,EQ,08-Oct-2021,652.95,657.6,660.0,627.05,629.85,630.95,638.72,2400741,1533408524.7,80840,959346.0,39.96
SONACOMS,EQ,07-Oct-2021,581.05,585.0,689.0,584.0,653.0,652.95,641.49,8928123,5727283167.0,173079,2229000.0,24.97
SONACOMS,EQ,06-Oct-2021,585.25,588.0,591.5,573.0,580.0,581.05,581.39,1145894,666214288.8,25198,485910.0,42.4
SONACOMS,EQ,05-Oct-2021,575.2,575.6,589.85,555.0,585.0,585.25,579.92,2312586,1341123778.3,42557,784245.0,33.91
SONACOMS,EQ,04-Oct-2021,562.55,564.1,581.8,564.05,574.3,575.2,574.69,1332619,765839071.35,33117,539667.0,40.5
SONACOMS,EQ,01-Oct-2021,555.85,551.0,571.85,549.2,560.65,562.55,562.36,1605653,902953938.05,40577,654621.0,40.77
