"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
STARHEALTH,EQ,28-Dec-2021,796.2,800.0,800.0,792.0,792.05,793.85,797.41,507997,405082981.2,5743,454971.0,89.56
STARHEALTH,EQ,27-Dec-2021,787.55,784.0,801.9,784.0,791.05,796.2,797.62,420859,335684379.45,5519,377386.0,89.67
STARHEALTH,EQ,24-Dec-2021,799.1,799.15,802.55,784.65,790.0,787.55,795.83,190376,151506039.2,11241,136439.0,71.67
STARHEALTH,EQ,23-Dec-2021,799.9,803.0,805.0,797.55,799.0,799.1,801.28,188042,150673539.8,12255,119709.0,63.66
STARHEALTH,EQ,22-Dec-2021,798.25,798.25,810.2,794.2,799.95,799.9,802.49,220739,177140340.75,13374,135861.0,61.55
STARHEALTH,EQ,21-Dec-2021,796.7,797.0,809.7,795.35,797.8,798.25,800.72,284499,227804905.0,14770,209785.0,73.74
STARHEALTH,EQ,20-Dec-2021,819.35,803.5,819.35,786.35,797.6,796.7,798.05,349122,278618023.0,21393,220224.0,63.08
STARHEALTH,EQ,17-Dec-2021,833.95,829.5,847.0,801.65,813.0,819.35,829.47,451968,374892721.65,26215,237336.0,52.51
STARHEALTH,EQ,16-Dec-2021,807.85,805.0,848.6,795.0,830.5,833.95,826.1,1029500,850472288.45,57745,353115.0,34.3
STARHEALTH,EQ,15-Dec-2021,861.5,862.95,866.55,801.05,802.0,807.85,823.56,860199,708421715.2,45334,476913.0,55.44
STARHEALTH,EQ,14-Dec-2021,897.05,890.1,903.95,852.35,860.0,861.5,873.87,925078,808397399.75,35570,547985.0,59.24
STARHEALTH,EQ,13-Dec-2021,906.85,901.0,924.6,887.35,888.05,897.05,904.01,2037074,1841540425.05,61794,953676.0,46.82
STARHEALTH,EQ,10-Dec-2021,900.0,845.0,940.0,828.0,901.0,906.85,897.29,13464811,12081880002.85,438486,4688283.0,34.82
STARHEALTH,EQ,28-Dec-2022,574.65,580.0,580.0,570.1,574.0,575.25,574.59,102859,59101897.3,5788,55011.0,53.48
STARHEALTH,EQ,27-Dec-2022,569.65,569.65,612.0,567.15,574.8,574.65,575.2,303157,174376024.3,9975,193983.0,63.99
STARHEALTH,EQ,26-Dec-2022,561.15,569.9,575.5,562.8,572.0,569.65,569.23,58540,33322950.95,4995,24902.0,42.54
STARHEALTH,EQ,23-Dec-2022,574.2,575.0,583.8,558.9,561.5,561.15,574.34,354384,203536572.55,18761,142770.0,40.29
STARHEALTH,EQ,22-Dec-2022,572.65,572.65,578.0,556.0,575.0,574.2,568.8,200717,114168717.0,19400,87764.0,43.73
