"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SUMICHEM,EQ,28-Dec-2020,293.50,295.8,298.0,292.55,295.3,294.55,295.63,204455,60442575.6,4150,104365.0,51.05
SUMICHEM,EQ,24-Dec-2020,293.60,295.0,298.6,291.05,294.8,293.5,293.97,220817,64914457.9,3899,121218.0,54.90
SUMICHEM,EQ,23-Dec-2020,292.05,294.85,301.25,290.95,294.0,293.6,295.84,328747,97257445.05,8958,148447.0,45.16
SUMICHEM,EQ,22-Dec-2020,293.35,293.5,297.5,279.0,293.3,292.05,285.72,434471,124137398.25,8349,194970.0,44.88
SUMICHEM,EQ,21-Dec-2020,304.05,304.5,304.5,290.1,297.0,293.35,297.22,588445,174897555.95,10377,368001.0,62.54
SUMICHEM,EQ,18-Dec-2020,306.90,308.1,309.7,300.0,304.05,304.05,305.02,404308,123322162.5,10371,233904.0,57.85
SUMICHEM,EQ,17-Dec-2020,300.50,302.2,309.0,300.6,308.05,306.9,305.89,545558,166882973.95,9418,293061.0,53.72
SUMICHEM,EQ,16-Dec-2020,300.05,301.7,307.3,299.55,300.45,300.5,302.42,404030,122185469.45,9690,194064.0,48.03
SUMICHEM,EQ,15-Dec-2020,301.30,302.95,303.85,295.5,300.45,300.05,299.86,379066,113667340.95,6295,179083.0,47.24
SUMICHEM,EQ,14-Dec-2020,304.60,305.1,307.9,299.75,301.0,301.3,302.86,330697,100155153.05,7318,153165.0,46.32
SUMICHEM,EQ,11-Dec-2020,309.70,311.7,312.8,303.3,304.5,304.6,307.52,381090,117193899.6,6114,182389.0,47.86
SUMICHEM,EQ,10-Dec-2020,305.70,305.0,313.9,298.2,310.65,309.7,308.37,781595,241017706.55,12674,315970.0,40.43
SUMICHEM,EQ,09-Dec-2020,308.50,310.0,314.5,304.5,304.8,305.7,307.57,490857,150975098.3,8455,248224.0,50.57
SUMICHEM,EQ,08-Dec-2020,317.95,320.0,321.4,305.1,308.15,308.5,311.36,1084557,337683437.9,17569,476759.0,43.96
SUMICHEM,EQ,07-Dec-2020,306.55,312.0,321.9,310.0,318.0,317.95,316.61,2880838,912101483.95,36547,1258060.0,43.67
SUMICHEM,EQ,04-Dec-2020,292.10,293.9,309.75,293.0,308.3,306.55,302.98,3059932,927103224.3,24690,1768388.0,57.79
SUMICHEM,EQ,03-Dec-2020,286.85,289.0,296.3,288.0,292.05,292.1,293.32,713438,209265246.1,11335,382362.0,53.59
SUMICHEM,EQ,02-Dec-2020,288.40,288.4,289.95,283.5,285.7,286.85,286.32,411789,117904135.25,11657,211557.0,51.38
SUMICHEM,EQ,01-Dec-2020,282.85,285.0,289.0,283.25,288.0,288.4,286.98,501695,143978088.75,10916,295823.0,58.96
SUMICHEM,EQ,27-Nov-2020,279.80,279.95,283.5,279.65,281.95,282.85,282.29,643781,181729750.3,3598,443956.0,68.96
SUMICHEM,EQ,26-Nov-2020,282.25,283.6,283.7,274.3,279.6,279.8,280.01,178643,50021414.9,4602,94138.0,52.70
SUMICHEM,EQ,25-Nov-2020,280.90,282.0,287.9,281.0,282.6,282.25,283.06,518665,146812750.7,4962,380146.0,73.29
SUMICHEM,EQ,24-Nov-2020,281.45,284.15,284.15,278.4,281.5,280.9,281.2,242001,68049915.4,5595,165528.0,68.40
SUMICHEM,EQ,23-Nov-2020,281.65,285.0,285.0,278.5,282.5,281.45,281.55,234741,66091850.55,4303,127019.0,54.11
SUMICHEM,EQ,20-Nov-2020,281.80,282.0,284.85,279.1,280.5,281.65,282.03,173929,49053737.65,4591,84143.0,48.38
SUMICHEM,EQ,19-Nov-2020,277.65,278.8,289.6,277.1,281.0,281.8,284.59,409668,116589363.95,8970,188483.0,46.01
SUMICHEM,EQ,18-Nov-2020,277.45,277.0,280.0,275.05,278.3,277.65,278.08,210637,58574919.95,6974,139774.0,66.36
SUMICHEM,EQ,17-Nov-2020,276.00,279.0,279.95,273.4,276.25,277.45,276.75,251862,69702542.85,7864,146922.0,58.33
SUMICHEM,EQ,14-Nov-2020,271.20,275.8,276.8,272.7,276.0,276.0,275.08,80615,22175226.05,2016,56765.0,70.41
SUMICHEM,EQ,13-Nov-2020,271.45,271.6,275.15,269.45,271.65,271.2,272.01,166628,45323651.05,5277,75052.0,45.04
SUMICHEM,EQ,12-Nov-2020,270.50,271.1,276.2,269.5,271.75,271.45,271.96,260695,70899269.45,5733,87100.0,33.41
SUMICHEM,EQ,11-Nov-2020,271.65,270.1,273.85,269.55,271.3,270.5,271.13,150903,40914279.0,8302,73310.0,48.58
SUMICHEM,EQ,10-Nov-2020,276.50,277.05,278.15,270.0,271.5,271.65,273.76,229870,62928638.4,7905,117043.0,50.92
SUMICHEM,EQ,09-Nov-2020,280.10,281.0,284.5,275.05,276.65,276.5,278.2,222100,61788158.35,7988,128016.0,57.64
SUMICHEM,EQ,06-Nov-2020,285.55,287.7,289.5,279.0,280.0,280.1,282.05,369014,104081298.25,9007,212833.0,57.68
SUMICHEM,EQ,05-Nov-2020,274.90,278.0,289.4,276.4,285.1,285.55,283.7,1092717,309998352.45,14717,286417.0,26.21
SUMICHEM,EQ,04-Nov-2020,271.60,272.65,275.95,272.65,274.1,274.9,274.66,210583,57837984.65,3334,139168.0,66.09
SUMICHEM,EQ,03-Nov-2020,268.65,270.0,272.9,265.55,271.45,271.6,269.91,308820,83352234.4,6955,193047.0,62.51
SUMICHEM,EQ,02-Nov-2020,267.20,269.75,272.5,267.25,268.3,268.65,269.61,264948,71433941.55,4361,144937.0,54.70
SUMICHEM,EQ,30-Oct-2020,267.60,268.1,272.95,265.0,266.95,267.2,268.04,198898,53312718.2,6510,107915.0,54.26
SUMICHEM,EQ,29-Oct-2020,270.25,269.9,273.7,266.05,267.45,267.6,269.74,196510,53007589.75,5005,120501.0,61.32
SUMICHEM,EQ,28-Oct-2020,275.10,275.5,277.2,270.0,270.0,270.25,272.1,152297,41440093.35,5294,101024.0,66.33
SUMICHEM,EQ,27-Oct-2020,275.60,275.6,277.2,271.0,276.0,275.1,274.42,204603,56147152.7,5069,119065.0,58.19
SUMICHEM,EQ,26-Oct-2020,279.80,280.9,281.4,275.0,275.45,275.6,276.75,199651,55253697.8,4680,79500.0,39.82
SUMICHEM,EQ,23-Oct-2020,275.60,276.2,281.4,275.4,280.0,279.8,278.78,215640,60116562.15,6268,110182.0,51.10
SUMICHEM,EQ,22-Oct-2020,276.25,276.8,278.5,275.0,276.0,275.6,275.49,153751,42357470.9,4671,78954.0,51.35
SUMICHEM,EQ,21-Oct-2020,279.75,280.85,284.0,275.0,275.85,276.25,277.95,241949,67250632.85,5789,107139.0,44.28
SUMICHEM,EQ,20-Oct-2020,280.05,280.7,283.7,278.1,280.3,279.75,281.15,167214,47012958.55,3496,93815.0,56.10
SUMICHEM,EQ,19-Oct-2020,277.75,278.6,282.7,277.9,280.3,280.05,280.16,144519,40488619.0,4022,69311.0,47.96
SUMICHEM,EQ,16-Oct-2020,276.40,278.0,279.85,275.0,277.95,277.75,276.52,221957,61375528.35,5851,110432.0,49.75
SUMICHEM,EQ,15-Oct-2020,283.40,283.7,284.0,275.0,276.0,276.4,278.25,211789,58930105.35,4805,100493.0,47.45
SUMICHEM,EQ,14-Oct-2020,276.60,276.9,284.7,276.5,282.45,283.4,281.79,356612,100491155.55,5314,157953.0,44.29
SUMICHEM,EQ,13-Oct-2020,277.65,278.75,280.6,275.55,277.85,276.6,277.41,269621,74796109.1,5977,137207.0,50.89
SUMICHEM,EQ,12-Oct-2020,283.25,284.8,286.0,275.0,279.5,277.65,279.98,670011,187591298.3,7881,428225.0,63.91
