"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SUNPHARMA,EQ,30-Dec-2011,496.60,492.3,500.0,491.95,496.2,497.65,496.58,417023,207086504.3,13365.0,202742.0,48.62
SUNPHARMA,EQ,29-Dec-2011,499.25,500.6,500.7,492.2,497.45,496.6,496.39,614680,305123380.4,24228.0,302786.0,49.26
SUNPHARMA,EQ,28-Dec-2011,499.25,502.95,502.95,495.0,499.1,499.25,499.04,494221,246635920.7,21443.0,292878.0,59.26
SUNPHARMA,EQ,27-Dec-2011,501.15,504.45,509.7,496.8,497.55,499.25,501.52,700114,351124454.75,33074.0,393237.0,56.17
SUNPHARMA,EQ,26-Dec-2011,498.75,489.0,503.8,489.0,501.0,501.15,500.57,390799,195621106.85,15667.0,182191.0,46.62
SUNPHARMA,EQ,23-Dec-2011,496.15,501.9,501.9,495.0,499.0,498.75,498.51,579631,288950530.15,19291.0,375797.0,64.83
SUNPHARMA,EQ,22-Dec-2011,499.35,500.0,500.0,494.45,498.2,496.15,497.2,1058991,526530117.45,29748.0,681353.0,64.34
SUNPHARMA,EQ,21-Dec-2011,500.00,506.55,507.1,492.3,499.0,499.35,499.33,1239195,618762809.2,41959.0,888437.0,71.69
SUNPHARMA,EQ,20-Dec-2011,508.25,513.7,513.7,497.8,501.05,500.0,503.49,1215637,612059481.4,33836.0,807474.0,66.42
SUNPHARMA,EQ,19-Dec-2011,514.10,512.35,515.4,499.0,504.35,508.25,506.57,636908,322636129.95,27662.0,342153.0,53.72
SUNPHARMA,EQ,16-Dec-2011,522.70,518.1,526.05,504.0,514.9,514.1,517.82,750080,388408606.15,27806.0,309657.0,41.28
SUNPHARMA,EQ,15-Dec-2011,521.40,515.2,525.0,515.2,523.0,522.7,522.29,1063581,555496375.1,38163.0,669802.0,62.98
SUNPHARMA,EQ,14-Dec-2011,512.30,509.5,529.0,509.5,520.25,521.4,522.86,1588739,830689343.9,60116.0,1024069.0,64.46
SUNPHARMA,EQ,13-Dec-2011,504.85,505.0,515.0,501.0,512.0,512.3,511.25,472718,241676411.3,20438.0,221407.0,46.84
SUNPHARMA,EQ,12-Dec-2011,512.90,516.05,520.65,502.1,505.8,504.85,510.35,588355,300266411.15,15925.0,237324.0,40.34
SUNPHARMA,EQ,09-Dec-2011,519.35,512.2,518.9,507.2,512.0,512.9,514.84,578091,297626103.75,20299.0,233092.0,40.32
SUNPHARMA,EQ,08-Dec-2011,511.40,510.0,523.0,505.0,521.0,519.35,513.77,1197972,615482773.35,28296.0,659946.0,55.09
SUNPHARMA,EQ,07-Dec-2011,524.60,522.3,529.95,508.05,510.2,511.4,517.92,1270407,657963060.4,54612.0,788051.0,62.03
SUNPHARMA,EQ,05-Dec-2011,533.15,534.55,539.95,522.1,525.0,524.6,527.44,605969,319609933.6,16786.0,268293.0,44.28
SUNPHARMA,EQ,02-Dec-2011,522.70,524.3,538.0,518.8,533.05,533.15,527.76,721697,380883905.85,19827.0,373534.0,51.76
SUNPHARMA,EQ,01-Dec-2011,525.50,531.0,534.95,518.15,519.0,522.7,528.06,809816,427632291.5,23150.0,457389.0,56.48
SUNPHARMA,EQ,30-Nov-2011,509.35,508.1,529.5,508.1,523.0,525.5,518.91,1319707,684805845.0,29776.0,712740.0,54.01
