"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SUPREMEIND,EQ,30-Dec-2011,172.55,178.9,178.9,173.0,177.0,176.1,175.87,19424,3416123.2,540.0,14158.0,72.89
SUPREMEIND,EQ,29-Dec-2011,166.0,165.0,175.9,163.25,175.9,172.55,169.49,10127,1716417.0,479.0,5537.0,54.68
SUPREMEIND,EQ,28-Dec-2011,164.75,163.75,167.0,163.75,166.0,166.0,165.95,5635,935149.6,70.0,5032.0,89.3
SUPREMEIND,EQ,27-Dec-2011,165.4,164.0,169.25,163.6,165.5,164.75,165.43,2550,421835.65,118.0,1958.0,76.78
SUPREMEIND,EQ,26-Dec-2011,163.0,161.0,168.0,160.0,167.5,165.4,163.91,8624,1413570.2,252.0,6209.0,72.0
SUPREMEIND,EQ,23-Dec-2011,164.4,163.05,167.0,162.0,162.0,163.0,164.45,3162,520000.15,149.0,831.0,26.28
SUPREMEIND,EQ,22-Dec-2011,166.05,166.9,166.9,160.4,166.0,164.4,162.04,25867,4191376.15,325.0,19212.0,74.27
SUPREMEIND,EQ,21-Dec-2011,166.8,163.1,167.0,140.95,167.0,166.05,165.72,27015,4476993.45,477.0,21918.0,81.13
SUPREMEIND,EQ,20-Dec-2011,169.7,170.0,171.0,162.05,162.05,166.8,167.38,79323,13277442.95,802.0,71094.0,89.63
SUPREMEIND,EQ,19-Dec-2011,175.4,175.0,175.45,166.6,167.2,169.7,169.47,9737,1650144.35,308.0,5637.0,57.89
SUPREMEIND,EQ,16-Dec-2011,172.5,171.9,177.55,171.75,177.0,175.4,174.53,13733,2396792.2,221.0,10538.0,76.73
SUPREMEIND,EQ,15-Dec-2011,173.35,172.0,172.95,171.0,172.6,172.5,172.14,10160,1748901.75,205.0,9539.0,93.89
SUPREMEIND,EQ,14-Dec-2011,173.0,171.45,173.95,170.0,173.0,173.35,172.13,5768,992861.65,168.0,3907.0,67.74
SUPREMEIND,EQ,13-Dec-2011,175.9,173.0,174.85,169.7,174.3,173.0,171.84,110063,18913557.15,1862.0,89611.0,81.42
SUPREMEIND,EQ,12-Dec-2011,176.5,179.0,179.0,167.3,178.0,175.9,173.97,12929,2249321.3,505.0,6870.0,53.14
SUPREMEIND,EQ,09-Dec-2011,175.1,174.0,178.75,174.0,175.65,176.5,176.31,5129,904304.4,204.0,3471.0,67.67
SUPREMEIND,EQ,08-Dec-2011,177.1,177.9,177.9,174.95,175.0,175.1,175.04,19573,3425972.55,304.0,18212.0,93.05
SUPREMEIND,EQ,07-Dec-2011,178.0,178.0,178.95,175.0,176.05,177.1,177.09,9339,1653862.85,192.0,6837.0,73.21
SUPREMEIND,EQ,05-Dec-2011,178.4,180.0,180.0,176.15,178.0,178.0,177.39,16539,2933802.2,194.0,15219.0,92.02
SUPREMEIND,EQ,02-Dec-2011,178.0,178.0,180.0,177.0,177.0,178.4,178.41,7877,1405346.55,210.0,6617.0,84.0
SUPREMEIND,EQ,01-Dec-2011,175.5,177.0,179.75,176.0,179.4,178.0,177.73,16200,2879201.4,439.0,12556.0,77.51
SUPREMEIND,EQ,30-Nov-2011,177.35,175.15,176.65,174.5,175.0,175.5,175.05,123310,21585208.2,676.0,114887.0,93.17
SUPREMEIND,EQ,29-Nov-2011,177.7,177.7,178.85,176.1,177.0,177.35,176.99,7510,1329178.4,90.0,6544.0,87.14
SUPREMEIND,EQ,28-Nov-2011,174.05,176.0,179.9,173.65,177.0,177.7,176.99,156801,27752728.05,214.0,154263.0,98.38
SUPREMEIND,EQ,25-Nov-2011,171.2,170.2,175.3,169.1,175.0,174.05,173.18,4880,845133.95,193.0,2415.0,49.49
SUPREMEIND,EQ,24-Nov-2011,172.75,175.0,175.0,167.15,169.55,171.2,170.16,16474,2803206.7,359.0,11046.0,67.05
SUPREMEIND,EQ,23-Nov-2011,175.7,173.3,175.0,164.0,175.0,172.75,170.73,114832,19605444.9,1004.0,94394.0,82.2
SUPREMEIND,EQ,22-Nov-2011,178.0,176.2,178.0,172.25,177.9,175.7,174.02,54592,9499923.3,828.0,46937.0,85.98
SUPREMEIND,EQ,21-Nov-2011,180.15,181.0,182.0,175.15,175.6,178.0,178.35,30493,5438425.2,496.0,27285.0,89.48
SUPREMEIND,EQ,18-Nov-2011,183.0,181.5,181.5,174.95,179.95,180.15,179.15,35279,6320167.5,594.0,28753.0,81.5
SUPREMEIND,EQ,17-Nov-2011,183.35,182.2,184.0,180.5,183.0,183.0,182.84,17026,3113021.15,263.0,15265.0,89.66
SUPREMEIND,EQ,16-Nov-2011,184.55,183.25,185.9,176.15,185.9,183.35,180.26,96151,17331775.55,691.0,88321.0,91.86
SUPREMEIND,EQ,15-Nov-2011,189.6,189.2,189.45,183.15,185.45,184.55,185.95,11109,2065675.8,335.0,6334.0,57.02
SUPREMEIND,EQ,14-Nov-2011,192.25,191.25,193.0,186.25,190.0,189.6,189.47,14921,2827125.5,389.0,10347.0,69.35
SUPREMEIND,EQ,11-Nov-2011,193.85,191.5,195.0,188.05,194.2,192.25,190.9,20662,3944396.15,533.0,14263.0,69.03
SUPREMEIND,EQ,09-Nov-2011,193.3,191.2,195.8,183.95,195.5,193.85,192.62,20863,4018528.45,462.0,11755.0,56.34
SUPREMEIND,EQ,08-Nov-2011,193.05,193.15,195.2,187.0,195.2,193.3,192.03,21586,4145095.5,550.0,15555.0,72.06
