"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SYNGENE,EQ,30-Dec-2015,405.4,406.95,412.0,405.9,409.5,409.25,409.29,148640,60836837.8,5826,97649.0,65.69
SYNGENE,EQ,29-Dec-2015,396.4,397.0,412.8,396.4,405.3,405.4,406.29,666173,270657787.45,16695,404764.0,60.76
SYNGENE,EQ,28-Dec-2015,394.9,395.0,400.05,392.5,395.6,396.4,397.86,103545,41196512.8,2679,63434.0,61.26
SYNGENE,EQ,24-Dec-2015,390.1,391.95,400.25,391.4,394.05,394.9,397.07,136852,54339777.15,5269,57442.0,41.97
SYNGENE,EQ,23-Dec-2015,389.7,387.05,402.0,387.05,389.65,390.1,396.93,277333,110081848.7,6068,164766.0,59.41
SYNGENE,EQ,22-Dec-2015,388.85,390.5,391.0,387.0,388.95,389.7,389.78,86299,33637634.1,1966,72444.0,83.95
SYNGENE,EQ,21-Dec-2015,385.95,385.0,392.0,383.1,390.0,388.85,389.38,152757,59480261.4,3381,103439.0,67.71
SYNGENE,EQ,18-Dec-2015,380.15,379.0,388.0,375.55,385.5,385.95,384.91,206759,79583384.5,4148,132598.0,64.13
SYNGENE,EQ,17-Dec-2015,376.25,379.95,382.0,371.15,379.95,380.15,379.02,256876,97360344.2,3792,202572.0,78.86
SYNGENE,EQ,16-Dec-2015,360.2,360.1,379.4,360.0,375.0,376.25,371.63,191304,71093792.5,6528,102231.0,53.44
SYNGENE,EQ,15-Dec-2015,358.65,361.8,363.0,359.0,360.0,360.2,360.05,319643,115086871.65,1172,311545.0,97.47
SYNGENE,EQ,14-Dec-2015,358.25,359.9,364.0,354.85,359.0,358.65,360.04,25650,9235089.3,1093,15112.0,58.92
SYNGENE,EQ,11-Dec-2015,363.8,363.8,366.5,357.0,357.5,358.25,360.92,33741,12177774.85,1157,21127.0,62.62
SYNGENE,EQ,10-Dec-2015,355.1,360.0,365.4,353.0,363.1,363.8,360.49,56676,20430936.2,1560,37145.0,65.54
SYNGENE,EQ,09-Dec-2015,364.3,359.0,362.5,352.0,358.0,355.1,359.2,387590,139223974.05,3747,374228.0,96.55
SYNGENE,EQ,08-Dec-2015,370.25,365.0,376.0,355.0,358.0,364.3,367.25,135768,49860482.2,5489,107179.0,78.94
SYNGENE,EQ,07-Dec-2015,365.5,363.55,372.0,363.55,370.1,370.25,367.89,231640,85217273.1,3017,198607.0,85.74
SYNGENE,EQ,04-Dec-2015,364.8,364.7,373.95,362.55,367.0,365.5,366.71,409988,150345103.7,4477,358855.0,87.53
SYNGENE,EQ,03-Dec-2015,361.1,361.1,398.0,361.1,365.3,364.8,375.47,565452,212311977.55,12329,278381.0,49.23
SYNGENE,EQ,02-Dec-2015,357.35,358.0,363.0,358.0,361.5,361.1,359.93,63027,22685342.35,2149,47092.0,74.72
SYNGENE,EQ,01-Dec-2015,356.05,358.8,363.6,356.0,359.5,357.35,357.23,58713,20974206.2,1839,45556.0,77.59
SYNGENE,EQ,30-Nov-2015,360.5,364.0,364.0,353.75,356.1,356.05,356.73,44817,15987532.45,1799,36481.0,81.4
SYNGENE,EQ,27-Nov-2015,362.1,363.0,365.0,360.0,361.0,360.5,361.31,25601,9249780.4,820,16698.0,65.22
SYNGENE,EQ,26-Nov-2015,364.8,368.6,368.6,360.2,362.0,362.1,364.51,59637,21737999.35,2196,50199.0,84.17
SYNGENE,EQ,24-Nov-2015,365.7,366.0,369.0,361.1,365.1,364.8,366.33,119142,43644973.2,2473,106637.0,89.5
SYNGENE,EQ,23-Nov-2015,373.5,370.05,376.0,363.0,367.0,365.7,369.28,103717,38300745.9,2548,73210.0,70.59
SYNGENE,EQ,20-Nov-2015,367.1,369.85,377.95,366.2,374.0,373.5,374.18,79387,29704814.9,3881,42300.0,53.28
SYNGENE,EQ,19-Nov-2015,361.45,365.0,369.8,364.0,369.0,367.1,367.38,40815,14994475.95,1799,27010.0,66.18
SYNGENE,EQ,18-Nov-2015,364.15,362.55,369.6,360.05,362.05,361.45,365.04,50822,18551875.15,2181,28817.0,56.7
SYNGENE,EQ,17-Nov-2015,363.8,366.0,367.0,362.0,364.45,364.15,364.32,29385,10705622.15,1368,21925.0,74.61
SYNGENE,EQ,16-Nov-2015,364.0,364.75,365.0,360.55,364.7,363.8,363.25,28115,10212903.15,1069,17184.0,61.12
SYNGENE,EQ,13-Nov-2015,364.85,363.0,369.85,358.25,366.0,364.0,362.62,69321,25137214.85,1538,44652.0,64.41
SYNGENE,EQ,11-Nov-2015,358.95,364.0,368.9,361.1,364.95,364.85,365.12,26194,9564072.85,868,20805.0,79.43
SYNGENE,EQ,10-Nov-2015,362.25,361.95,367.9,358.0,359.0,358.95,362.91,52204,18945324.2,2539,36451.0,69.82
SYNGENE,EQ,09-Nov-2015,354.0,350.0,365.75,338.0,363.0,362.25,358.59,61083,21903518.3,2809,35996.0,58.93
SYNGENE,EQ,06-Nov-2015,351.35,354.7,356.4,346.0,353.0,354.0,351.38,43599,15319647.55,1919,25689.0,58.92
