"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SYRMA,EQ,28-Dec-2022,273.3,273.2,276.0,268.0,273.5,273.5,272.22,192557,52418285.95,6001,71864.0,37.32
SYRMA,EQ,27-Dec-2022,267.75,269.35,278.0,269.35,273.25,273.3,274.13,289935,79479839.15,10829,91335.0,31.5
SYRMA,EQ,26-Dec-2022,254.15,255.25,271.15,255.0,268.9,267.75,265.86,395719,105204455.45,14503,155929.0,39.4
SYRMA,EQ,23-Dec-2022,268.0,264.5,268.4,249.15,254.95,254.15,258.45,940384,243045819.45,27192,491657.0,52.28
SYRMA,EQ,22-Dec-2022,276.95,277.9,280.0,263.5,268.0,268.0,269.35,594673,160174529.25,20665,263560.0,44.32
SYRMA,EQ,21-Dec-2022,283.1,283.65,288.2,275.05,276.6,276.95,282.17,547863,154588108.5,15687,208480.0,38.05
SYRMA,EQ,20-Dec-2022,281.6,283.0,284.2,278.45,282.0,283.1,281.16,255727,71899998.6,6004,105015.0,41.07
SYRMA,EQ,19-Dec-2022,284.4,285.8,285.95,280.55,282.0,281.6,282.43,251717,71093485.2,6162,125798.0,49.98
SYRMA,EQ,16-Dec-2022,292.8,291.9,293.6,283.5,284.9,284.4,286.85,402334,115408515.35,8833,166238.0,41.32
SYRMA,EQ,15-Dec-2022,297.0,298.35,301.0,290.9,292.4,292.8,296.19,593139,175679763.75,13903,204806.0,34.53
SYRMA,EQ,14-Dec-2022,285.8,286.1,308.0,286.1,297.4,297.0,299.83,2012107,603289148.9,37296,761661.0,37.85
SYRMA,EQ,13-Dec-2022,283.45,284.0,293.75,281.8,285.25,285.8,287.13,513303,147387220.55,11452,216424.0,42.16
SYRMA,EQ,12-Dec-2022,280.25,279.9,285.0,276.3,283.95,283.45,280.41,349818,98092423.0,7827,155979.0,44.59
SYRMA,EQ,09-Dec-2022,283.35,281.25,285.2,277.7,280.0,280.25,282.29,304037,85825398.7,6485,172269.0,56.66
SYRMA,EQ,08-Dec-2022,278.5,279.9,286.0,277.55,283.0,283.35,282.71,353518,99942122.85,7246,192723.0,54.52
SYRMA,EQ,07-Dec-2022,279.3,279.75,283.95,275.0,279.0,278.5,278.59,292919,81605064.5,6938,129310.0,44.15
SYRMA,EQ,06-Dec-2022,279.25,279.5,280.4,276.25,278.5,279.3,278.05,271878,75596991.05,5515,137700.0,50.65
SYRMA,EQ,05-Dec-2022,282.4,282.7,284.55,278.8,279.8,279.25,281.06,291609,81960183.9,5829,173458.0,59.48
SYRMA,EQ,02-Dec-2022,284.7,284.7,285.0,279.5,282.9,282.4,282.1,342158,96521679.05,8783,165593.0,48.4
SYRMA,EQ,01-Dec-2022,281.4,282.9,287.6,282.3,284.9,284.7,284.46,390147,110982708.65,11719,208388.0,53.41
SYRMA,EQ,30-Nov-2022,286.25,285.1,286.1,280.5,280.75,281.4,281.68,385831,108681197.5,10145,217281.0,56.32
SYRMA,EQ,29-Nov-2022,284.75,284.0,289.0,282.3,284.75,286.25,285.02,289105,82400210.3,5590,134081.0,46.38
SYRMA,EQ,28-Nov-2022,282.55,284.0,289.4,281.55,284.95,284.75,285.03,488700,139295967.4,10132,248111.0,50.77
SYRMA,EQ,25-Nov-2022,282.7,284.15,285.4,278.0,281.0,282.55,281.11,562366,158086736.2,11722,345424.0,61.42
SYRMA,EQ,24-Nov-2022,284.7,285.0,286.3,282.1,283.0,282.7,283.19,369729,104704401.45,6097,225468.0,60.98
SYRMA,EQ,23-Nov-2022,287.5,288.45,289.85,282.5,283.3,284.7,285.36,369393,105409447.25,8045,188489.0,51.03
SYRMA,EQ,22-Nov-2022,301.25,307.8,307.8,285.15,287.5,287.5,290.36,1724629,500756297.25,25637,1106431.0,64.15
SYRMA,EQ,21-Nov-2022,292.7,292.85,302.5,291.15,301.05,301.25,298.1,555283,165529078.9,9566,309416.0,55.72
SYRMA,EQ,18-Nov-2022,300.15,302.4,306.0,282.1,292.9,292.7,294.27,724776,213279371.05,16315,291112.0,40.17
SYRMA,EQ,17-Nov-2022,310.35,310.0,310.0,297.4,299.0,300.15,303.37,771828,234153054.85,17900,396609.0,51.39
SYRMA,EQ,16-Nov-2022,305.8,309.0,317.55,302.15,309.2,310.35,310.45,2452899,761503731.9,36152,931291.0,37.97
SYRMA,EQ,15-Nov-2022,278.2,300.0,309.0,288.6,304.5,305.8,300.08,3613436,1084310636.5,60822,1133102.0,31.36
SYRMA,EQ,14-Nov-2022,286.55,289.8,289.8,277.0,277.4,278.2,281.15,400970,112733383.45,8602,248900.0,62.07
SYRMA,EQ,11-Nov-2022,285.85,289.95,298.15,285.75,287.0,286.55,292.09,756714,221028754.5,16043,304272.0,40.21
SYRMA,EQ,10-Nov-2022,288.85,289.65,289.65,283.65,287.05,285.85,285.89,194794,55690092.05,5381,96088.0,49.33
SYRMA,EQ,09-Nov-2022,288.35,289.95,294.0,284.45,289.1,288.85,288.39,273028,78738274.45,7696,106637.0,39.06
SYRMA,EQ,07-Nov-2022,285.4,289.0,296.5,286.4,288.0,288.35,292.2,507607,148320510.0,12779,205095.0,40.4
SYRMA,EQ,04-Nov-2022,284.2,285.7,289.6,283.05,286.8,285.4,285.88,264036,75481704.9,6853,101831.0,38.57
SYRMA,EQ,03-Nov-2022,285.4,284.5,288.7,282.5,283.85,284.2,284.96,217089,61862174.6,6685,94045.0,43.32
SYRMA,EQ,02-Nov-2022,285.2,282.35,289.6,282.2,284.25,285.4,285.22,266298,75954681.65,8578,95009.0,35.68
SYRMA,EQ,01-Nov-2022,274.75,278.45,295.0,278.45,283.7,285.2,286.96,903885,259381577.95,19756,355552.0,39.34
SYRMA,EQ,31-Oct-2022,277.75,276.55,279.35,271.1,272.2,274.75,273.91,304743,83471441.7,9561,154862.0,50.82
SYRMA,EQ,28-Oct-2022,275.75,277.45,280.0,272.9,276.1,277.75,275.06,281734,77493566.35,7805,155307.0,55.13
SYRMA,EQ,27-Oct-2022,278.85,280.0,280.7,274.25,275.3,275.75,276.14,167308,46200063.8,5323,75679.0,45.23
SYRMA,EQ,25-Oct-2022,273.25,274.1,280.0,271.4,278.8,278.85,276.2,279243,77127558.6,7300,119210.0,42.69
SYRMA,EQ,24-Oct-2022,273.25,275.0,275.9,272.5,273.4,273.25,273.53,117471,32132311.8,2933,85823.0,73.06
SYRMA,EQ,21-Oct-2022,278.2,280.9,281.65,268.5,272.55,273.25,272.87,359130,97995224.2,8906,197713.0,55.05
SYRMA,EQ,20-Oct-2022,281.45,280.0,281.0,276.8,278.0,278.2,278.3,191623,53329395.7,5009,85683.0,44.71
SYRMA,EQ,19-Oct-2022,279.85,282.0,284.4,279.9,281.85,281.45,282.05,262682,74089736.4,5709,132016.0,50.26
SYRMA,EQ,18-Oct-2022,283.0,285.1,291.85,279.0,280.75,279.85,284.2,557666,158490440.65,9933,295289.0,52.95
SYRMA,EQ,17-Oct-2022,287.6,289.9,289.9,281.8,283.0,283.0,284.98,317836,90575735.8,6204,174596.0,54.93
SYRMA,EQ,14-Oct-2022,285.15,291.15,296.95,285.5,287.0,287.6,291.46,293417,85520087.7,8023,118049.0,40.23
SYRMA,EQ,13-Oct-2022,293.0,292.55,292.55,283.05,285.75,285.15,286.67,215455,61765192.65,6939,109660.0,50.9
SYRMA,EQ,12-Oct-2022,291.55,293.0,295.55,288.05,292.55,293.0,292.0,224818,65647239.75,4653,107242.0,47.7
SYRMA,EQ,11-Oct-2022,297.3,300.0,302.0,290.1,291.05,291.55,297.03,471211,139962997.75,10523,267839.0,56.84
SYRMA,EQ,10-Oct-2022,301.5,297.0,302.6,295.5,296.0,297.3,299.01,292804,87551553.7,7059,127625.0,43.59
SYRMA,EQ,07-Oct-2022,303.2,304.65,310.25,300.35,302.0,301.5,305.13,703871,214773863.05,13330,272941.0,38.78
SYRMA,EQ,06-Oct-2022,294.2,295.5,305.85,295.15,303.5,303.2,300.69,1724316,518490593.75,28016,1206673.0,69.98
SYRMA,EQ,04-Oct-2022,289.6,295.8,299.3,290.55,294.95,294.2,294.3,472956,139191273.2,11324,183241.0,38.74
SYRMA,EQ,03-Oct-2022,282.2,282.0,300.9,280.2,287.0,289.6,293.21,1094337,320873724.1,22193,404704.0,36.98
SYRMA,EQ,30-Sep-2022,278.55,280.0,285.95,276.05,281.3,282.2,280.87,377671,106074782.9,9866,165410.0,43.8
SYRMA,EQ,29-Sep-2022,274.8,278.0,286.0,275.85,280.5,278.55,279.57,628845,175805893.35,15208,251427.0,39.98
SYRMA,EQ,28-Sep-2022,274.25,270.0,276.0,269.7,274.0,274.8,274.42,330342,90654086.6,6136,132593.0,40.14
SYRMA,EQ,27-Sep-2022,272.7,279.0,282.0,272.2,275.0,274.25,275.93,876305,241795706.95,11286,509419.0,58.13
SYRMA,EQ,26-Sep-2022,288.7,287.5,287.5,270.9,272.5,272.7,275.76,778954,214805531.3,17640,407683.0,52.34
SYRMA,EQ,23-Sep-2022,297.0,298.0,299.9,286.5,289.0,288.7,291.33,527352,153634672.85,14770,299418.0,56.78
SYRMA,EQ,22-Sep-2022,301.0,300.0,304.7,293.35,298.0,297.0,298.48,589415,175931080.4,10409,289508.0,49.12
SYRMA,EQ,21-Sep-2022,304.25,306.0,311.9,300.0,301.2,301.0,307.08,1467410,450606235.95,22405,623503.0,42.49
SYRMA,EQ,20-Sep-2022,291.45,291.45,306.8,291.0,303.8,304.25,299.8,1551226,465055997.75,22595,665683.0,42.91
SYRMA,EQ,19-Sep-2022,287.25,289.0,295.5,288.1,292.0,291.45,291.95,503976,147135100.3,8070,236436.0,46.91
SYRMA,EQ,16-Sep-2022,295.65,296.0,299.7,285.0,288.9,287.25,292.13,895009,261461144.35,17950,439131.0,49.06
SYRMA,EQ,15-Sep-2022,296.65,299.75,302.0,295.0,295.5,295.65,297.54,696342,207191246.95,15232,304867.0,43.78
SYRMA,EQ,14-Sep-2022,302.8,297.0,304.0,295.0,297.0,296.65,299.58,828216,248113641.4,12908,419871.0,50.7
SYRMA,EQ,13-Sep-2022,300.75,302.6,309.0,300.5,303.0,302.8,304.5,1412597,430130549.25,19160,587218.0,41.57
SYRMA,EQ,12-Sep-2022,303.7,304.5,307.95,300.0,300.8,300.75,302.95,1008692,305584271.2,15470,449695.0,44.58
SYRMA,EQ,09-Sep-2022,305.25,308.0,312.0,302.75,303.45,303.7,307.09,1348278,414048428.85,19852,470751.0,34.91
SYRMA,EQ,08-Sep-2022,298.6,304.0,317.6,301.0,304.95,305.25,310.44,3704362,1149975218.25,50398,1040118.0,28.08
SYRMA,EQ,07-Sep-2022,292.45,290.05,304.0,290.05,298.0,298.6,298.54,2129454,635723864.7,29642,646252.0,30.35
SYRMA,EQ,06-Sep-2022,297.95,297.95,301.7,285.65,294.0,292.45,291.69,3059543,892436484.5,45426,1311266.0,42.86
SYRMA,EQ,05-Sep-2022,308.6,309.7,311.15,296.2,297.1,297.95,302.48,2385633,721614097.1,39740,1053889.0,44.18
SYRMA,EQ,02-Sep-2022,310.55,314.85,317.75,307.15,307.8,308.6,311.78,3200134,997748187.7,43420,980925.0,30.65
SYRMA,EQ,01-Sep-2022,309.75,307.0,322.75,302.55,311.0,310.55,314.7,6675246,2100709375.6,83464,1592228.0,23.85
SYRMA,EQ,30-Aug-2022,326.25,328.75,334.9,297.45,309.9,309.75,312.86,14738635,4611102918.15,203576,4294423.0,29.14
SYRMA,EQ,29-Aug-2022,310.5,309.0,342.8,302.1,325.3,326.25,326.95,26916230,8800387929.35,328909,4861655.0,18.06
SYRMA,EQ,26-Aug-2022,220.0,260.0,312.0,256.4,312.0,310.5,290.25,59961608,17403716683.6,586719,20075819.0,33.48
SYRMA,EQ,28-Dec-2023,657.2,657.95,664.9,652.1,660.85,660.45,659.67,481083,317355051.05,12261,325847.0,67.73
SYRMA,EQ,27-Dec-2023,664.4,669.4,670.0,652.1,660.8,657.2,661.83,1042932,690245004.7,16177,838221.0,80.37
SYRMA,EQ,26-Dec-2023,670.8,674.9,674.95,660.45,665.0,664.4,668.3,566556,378626928.35,22905,371082.0,65.50
SYRMA,EQ,22-Dec-2023,673.9,679.5,682.0,666.6,669.0,670.8,673.46,540490,363997324.25,23104,283793.0,52.51
SYRMA,EQ,21-Dec-2023,672.65,669.65,685.0,646.0,672.9,673.9,672.27,1220227,820319069.95,33859,693180.0,56.81
SYRMA,EQ,20-Dec-2023,676.8,685.6,702.0,669.4,670.0,672.65,681.65,1356638,924755063.75,42276,686803.0,50.63
SYRMA,EQ,19-Dec-2023,670.45,674.6,705.2,672.5,680.0,676.8,689.62,1503774,1037030852.75,46224,645344.0,42.91
SYRMA,EQ,18-Dec-2023,669.95,667.85,678.5,657.6,672.0,670.45,669.2,1167247,781118643.45,22024,842923.0,72.21
SYRMA,EQ,15-Dec-2023,660.7,665.95,679.95,661.45,668.0,669.95,670.59,928300,622510070.95,26597,591184.0,63.68
SYRMA,EQ,14-Dec-2023,650.2,653.45,669.0,650.0,660.5,660.7,660.06,873812,576771599.95,27447,423743.0,48.49
SYRMA,EQ,13-Dec-2023,640.4,640.4,660.2,633.3,648.0,650.2,649.57,928768,603304095.65,34126,445600.0,47.98
SYRMA,EQ,12-Dec-2023,630.8,636.0,642.9,620.4,638.0,640.4,635.24,802370,509699998.55,39417,409710.0,51.06
SYRMA,EQ,11-Dec-2023,619.85,620.9,644.95,608.1,633.0,630.8,629.07,920663,579158277.1,37979,409522.0,44.48
SYRMA,EQ,08-Dec-2023,607.95,622.0,626.3,611.1,620.0,619.85,618.25,1165269,720425475.65,29492,782082.0,67.12
SYRMA,EQ,07-Dec-2023,590.3,593.1,611.7,592.95,609.9,607.95,604.18,1032327,623714683.65,35472,372413.0,36.08
SYRMA,EQ,06-Dec-2023,568.3,570.0,593.0,562.2,591.0,590.3,581.96,789238,459302106.95,22254,330290.0,41.85
SYRMA,EQ,05-Dec-2023,574.1,566.05,575.0,560.55,572.0,568.3,565.93,700578,396480015.9,21591,400373.0,57.15
SYRMA,EQ,04-Dec-2023,567.65,579.8,579.8,568.35,574.65,574.1,573.87,538847,309226432.15,16575,338210.0,62.77
SYRMA,EQ,01-Dec-2023,565.6,572.95,577.85,561.25,568.5,567.65,571.45,647005,369729057.8,23200,364056.0,56.27
SYRMA,EQ,30-Nov-2023,548.7,549.7,575.0,543.0,572.4,565.6,558.84,963072,538200465.55,23271,550552.0,57.17
SYRMA,EQ,29-Nov-2023,558.55,563.95,565.7,540.55,547.0,548.7,550.05,1032050,567676936.7,26172,542913.0,52.61
SYRMA,EQ,28-Nov-2023,559.85,570.0,579.0,554.7,562.7,558.55,562.55,888049,499575212.85,22476,393967.0,44.36
SYRMA,EQ,24-Nov-2023,550.7,550.95,561.65,550.95,557.25,559.85,556.63,746673,415621847.8,11211,487215.0,65.25
SYRMA,EQ,23-Nov-2023,545.55,546.4,557.9,540.9,553.0,550.7,551.56,788542,434929175.55,19654,327536.0,41.54
SYRMA,EQ,22-Nov-2023,545.6,545.25,548.9,538.45,543.8,545.55,543.91,242158,131712181.5,9023,92190.0,38.07
SYRMA,EQ,21-Nov-2023,538.15,541.35,550.0,538.4,546.9,545.6,545.37,562815,306943955.35,15897,291988.0,51.88
SYRMA,EQ,20-Nov-2023,535.6,547.6,555.0,536.0,538.95,538.15,543.09,1431539,777454245.25,29521,693960.0,48.48
SYRMA,EQ,17-Nov-2023,530.75,531.7,539.55,524.15,536.4,535.6,530.85,439601,233360233.1,17621,180073.0,40.96
SYRMA,EQ,16-Nov-2023,523.65,526.15,534.0,522.8,531.1,530.75,527.68,491310,259255960.7,17903,216904.0,44.15
SYRMA,EQ,15-Nov-2023,534.2,538.95,541.65,521.1,524.6,523.65,529.18,534767,282988160.1,19247,268436.0,50.20
SYRMA,EQ,13-Nov-2023,537.85,540.0,540.0,532.2,534.7,534.2,535.35,217101,116225760.15,9717,95311.0,43.90
SYRMA,EQ,12-Nov-2023,531.65,538.0,539.4,535.0,538.0,537.85,537.45,179503,96473980.4,5268,105797.0,58.94
SYRMA,EQ,10-Nov-2023,531.35,531.0,534.95,526.2,531.9,531.65,531.49,348650,185303349.0,12992,131214.0,37.63
SYRMA,EQ,09-Nov-2023,523.15,523.1,536.65,518.25,532.0,531.35,527.57,740074,390440211.8,19823,300082.0,40.55
SYRMA,EQ,08-Nov-2023,526.5,526.95,529.25,516.5,518.0,523.15,524.69,582749,305761660.65,16540,292208.0,50.14
SYRMA,EQ,07-Nov-2023,526.85,530.0,532.95,521.5,527.0,526.5,527.0,872130,459613760.0,22647,344379.0,39.49
SYRMA,EQ,06-Nov-2023,510.0,515.0,530.0,492.8,527.45,526.85,517.19,2612108,1350967950.75,62448,856565.0,32.79
SYRMA,EQ,03-Nov-2023,524.5,528.0,532.0,484.95,509.1,510.0,508.75,5697090,2898367334.45,127839,1359197.0,23.86
SYRMA,EQ,02-Nov-2023,597.65,558.0,577.95,520.15,526.0,524.5,547.28,4075786,2230583422.45,113825,1450314.0,35.58
SYRMA,EQ,01-Nov-2023,618.35,621.0,628.75,591.05,604.0,597.65,608.43,667807,406312414.8,29727,262705.0,39.34
SYRMA,EQ,31-Oct-2023,608.15,611.95,637.5,611.5,621.5,618.35,625.01,917296,573322263.35,38958,327213.0,35.67
SYRMA,EQ,30-Oct-2023,600.45,603.8,614.9,590.15,609.0,608.15,602.29,476756,287145652.5,19450,159123.0,33.38
SYRMA,EQ,27-Oct-2023,578.75,591.0,605.0,583.65,601.35,600.45,595.71,611753,364424427.05,23155,221757.0,36.25
SYRMA,EQ,26-Oct-2023,593.2,593.0,593.0,562.2,579.9,578.75,574.76,1232882,708615460.05,60816,643443.0,52.19
SYRMA,EQ,25-Oct-2023,612.7,624.65,624.65,576.15,594.2,593.2,593.26,1582620,938901320.15,56421,655540.0,41.42
SYRMA,EQ,23-Oct-2023,656.6,656.95,661.85,604.0,613.95,612.7,630.92,1222844,771520753.45,38291,548529.0,44.86
