"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
TRIL,EQ,30-Dec-2011,129.25,132.95,135.0,129.0,132.2,131.5,132.75,2253,299093.6,227.0,1547.0,68.66
TRIL,EQ,29-Dec-2011,131.45,129.15,132.9,127.0,130.0,129.25,130.28,4193,546278.55,200.0,3380.0,80.61
TRIL,EQ,28-Dec-2011,138.35,140.0,141.5,129.35,129.5,131.45,132.85,3467,460602.95,145.0,2964.0,85.49
TRIL,EQ,27-Dec-2011,138.0,136.35,139.55,135.6,138.6,138.35,138.27,2174,300600.05,144.0,1454.0,66.88
TRIL,EQ,26-Dec-2011,135.45,136.15,138.9,131.2,137.95,138.0,136.59,5020,685671.3,274.0,2799.0,55.76
TRIL,EQ,23-Dec-2011,133.7,137.5,140.0,134.5,135.9,135.45,136.1,8305,1130312.9,229.0,4831.0,58.17
TRIL,EQ,22-Dec-2011,141.05,144.0,144.0,131.6,131.6,133.7,136.24,6699,912641.45,350.0,4873.0,72.74
TRIL,EQ,21-Dec-2011,143.1,154.8,154.8,138.1,140.0,141.05,144.08,4453,641602.2,182.0,3050.0,68.49
TRIL,EQ,20-Dec-2011,150.95,151.1,153.95,141.1,141.15,143.1,145.86,5156,752074.55,234.0,3803.0,73.76
TRIL,EQ,19-Dec-2011,157.2,167.85,167.85,149.35,151.0,150.95,151.54,1851,280492.9,160.0,1503.0,81.2
TRIL,EQ,16-Dec-2011,161.65,162.0,163.7,157.0,157.0,157.2,160.54,1100,176592.7,120.0,786.0,71.45
TRIL,EQ,15-Dec-2011,167.55,163.0,167.8,160.2,161.0,161.65,162.74,1593,259237.65,114.0,986.0,61.9
TRIL,EQ,14-Dec-2011,166.55,169.9,179.45,164.0,167.0,167.55,167.56,1424,238599.8,128.0,833.0,58.5
TRIL,EQ,13-Dec-2011,167.25,165.0,169.9,162.5,166.0,166.55,165.67,337,55831.15,43.0,240.0,71.22
TRIL,EQ,12-Dec-2011,168.55,167.0,172.0,166.8,166.8,167.25,168.18,2082,350154.45,54.0,1743.0,83.72
TRIL,EQ,09-Dec-2011,170.85,165.2,169.95,164.2,168.95,168.55,167.73,1446,242537.9,110.0,890.0,61.55
TRIL,EQ,08-Dec-2011,177.3,178.0,178.0,170.0,170.0,170.85,172.14,935,160948.25,109.0,694.0,74.22
TRIL,EQ,07-Dec-2011,173.7,170.0,179.8,167.0,177.1,177.3,175.66,2678,470430.35,163.0,1886.0,70.43
TRIL,EQ,05-Dec-2011,171.8,168.2,177.0,164.2,173.75,173.7,172.78,2714,468934.55,144.0,1982.0,73.03
TRIL,EQ,02-Dec-2011,171.2,166.0,175.45,166.0,171.7,171.8,171.31,3204,548861.95,150.0,1770.0,55.24
TRIL,EQ,01-Dec-2011,168.05,174.8,175.75,170.45,171.2,171.2,172.79,1236,213563.9,78.0,842.0,68.12
TRIL,EQ,30-Nov-2011,172.7,175.0,175.0,168.0,168.0,168.05,169.52,1470,249194.1,187.0,1009.0,68.64
TRIL,EQ,29-Nov-2011,174.1,177.0,177.0,171.35,172.6,172.7,172.81,2124,367047.65,83.0,1541.0,72.55
TRIL,EQ,28-Nov-2011,171.45,171.2,177.8,171.2,173.3,174.1,173.77,1732,300976.1,132.0,933.0,53.87
TRIL,EQ,25-Nov-2011,166.8,163.0,174.05,162.1,168.0,171.45,170.13,2130,362379.45,174.0,1101.0,51.69
TRIL,EQ,24-Nov-2011,169.1,166.2,168.75,163.0,166.5,166.8,164.93,3257,537179.35,174.0,2554.0,78.42
TRIL,EQ,23-Nov-2011,177.7,175.0,178.0,166.2,169.0,169.1,172.82,4689,810367.05,288.0,3770.0,80.4
TRIL,EQ,22-Nov-2011,184.1,184.6,189.5,176.1,176.1,177.7,180.38,1615,291312.45,146.0,1187.0,73.5
TRIL,EQ,21-Nov-2011,185.05,185.05,189.9,183.0,184.5,184.1,184.39,1302,240080.5,75.0,1021.0,78.42
TRIL,EQ,18-Nov-2011,195.35,190.1,194.9,182.0,185.1,185.05,185.84,6056,1125464.4,265.0,4621.0,76.3
TRIL,EQ,17-Nov-2011,199.7,199.9,203.95,192.15,193.55,195.35,199.93,39286,7854594.15,245.0,37536.0,95.55
TRIL,EQ,16-Nov-2011,197.85,200.75,200.95,192.0,198.0,199.7,198.23,6119,1212995.85,276.0,4748.0,77.59
TRIL,EQ,15-Nov-2011,206.9,205.65,205.65,195.0,195.25,197.85,200.11,4946,989765.1,245.0,3891.0,78.67
TRIL,EQ,14-Nov-2011,213.1,212.0,215.5,200.35,203.3,206.9,209.37,9570,2003712.5,284.0,7861.0,82.14
TRIL,EQ,11-Nov-2011,218.7,216.05,216.7,212.05,212.5,213.1,213.94,4087,874358.75,310.0,2634.0,64.45
TRIL,EQ,09-Nov-2011,220.65,218.6,224.0,216.6,216.6,218.7,220.12,11037,2429484.45,390.0,4296.0,38.92
TRIL,EQ,08-Nov-2011,220.0,220.75,221.2,218.1,218.65,220.65,220.2,642,141368.3,82.0,381.0,59.35
TRIL,EQ,04-Nov-2011,220.05,220.2,224.8,219.2,220.5,220.0,220.9,3816,842967.15,119.0,2936.0,76.94
TRIL,EQ,03-Nov-2011,219.4,221.0,221.7,220.0,220.0,220.05,220.2,428,94244.05,16.0,391.0,91.36
TRIL,EQ,02-Nov-2011,221.95,221.0,221.45,218.05,218.05,219.4,219.81,1475,324214.25,92.0,742.0,50.31
TRIL,EQ,01-Nov-2011,225.45,222.05,225.4,221.0,222.9,221.95,222.99,963,214737.6,69.0,749.0,77.78
TRIL,EQ,31-Oct-2011,222.85,224.4,227.5,221.55,224.0,225.45,224.63,2141,480940.9,151.0,919.0,42.92
TRIL,EQ,28-Oct-2011,221.85,220.0,225.9,220.0,223.0,222.85,223.84,2724,609749.1,182.0,2099.0,77.06
TRIL,EQ,26-Oct-2011,219.25,221.9,223.95,220.65,222.9,221.85,222.1,438,97280.65,40.0,280.0,63.93
TRIL,EQ,25-Oct-2011,223.45,220.15,225.7,216.05,219.2,219.25,219.33,1735,380537.2,99.0,1095.0,63.11
TRIL,EQ,24-Oct-2011,220.8,218.2,226.0,218.2,224.95,223.45,221.89,3118,691856.15,173.0,1994.0,63.95
TRIL,EQ,24-Oct-2011,220.8,218.2,226.0,218.2,224.95,223.45,221.89,3118,691856.15,173.0,1994.0,63.95
TRIL,EQ,21-Oct-2011,219.65,218.0,226.0,217.0,220.35,220.8,223.01,4011,894473.85,282.0,1970.0,49.11
TRIL,EQ,20-Oct-2011,218.55,218.15,223.0,218.15,220.25,219.65,219.68,449,98634.95,27.0,345.0,76.84
TRIL,EQ,19-Oct-2011,218.9,217.6,222.0,217.6,219.3,218.55,219.64,1091,239626.5,45.0,902.0,82.68
TRIL,EQ,18-Oct-2011,220.9,218.1,221.0,217.0,218.1,218.9,218.66,1224,267635.15,69.0,783.0,63.97
TRIL,EQ,17-Oct-2011,221.4,217.4,224.85,217.4,223.0,220.9,220.48,3097,682820.25,69.0,2358.0,76.14
TRIL,EQ,14-Oct-2011,217.95,216.55,223.0,216.55,222.95,221.4,219.74,2211,485834.1,127.0,1881.0,85.07
TRIL,EQ,13-Oct-2011,217.6,219.9,221.95,217.8,219.0,217.95,219.39,2608,572162.6,116.0,1941.0,74.42
TRIL,EQ,12-Oct-2011,220.7,220.0,225.95,215.2,217.05,217.6,220.49,3059,674483.1,162.0,2178.0,71.2
TRIL,EQ,11-Oct-2011,220.4,219.3,221.6,219.2,221.0,220.7,220.38,490,107984.65,43.0,342.0,69.8
TRIL,EQ,10-Oct-2011,218.9,220.9,221.0,217.5,220.0,220.4,219.22,3059,670598.25,104.0,2263.0,73.98
TRIL,EQ,07-Oct-2011,216.65,218.55,221.9,217.2,220.1,218.9,219.75,5675,1247094.5,141.0,5247.0,92.46
TRIL,EQ,05-Oct-2011,219.9,220.0,220.0,213.6,218.0,216.65,216.08,5275,1139807.15,195.0,4023.0,76.27
TRIL,EQ,04-Oct-2011,219.05,218.05,221.95,217.0,221.95,219.9,219.51,3568,783212.25,270.0,1871.0,52.44
TRIL,EQ,03-Oct-2011,218.85,219.95,221.45,216.0,216.0,219.05,219.58,4078,895429.35,266.0,2210.0,54.19
