"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
TIINDIA,EQ,29-Dec-2017,271.35,274.65,274.75,267.6,269.0,269.55,269.94,53814,14526385.05,859,45168.0,83.93
TIINDIA,EQ,28-Dec-2017,270.8,272.45,274.0,269.95,272.0,271.35,271.68,21342,5798244.6,870,17873.0,83.75
TIINDIA,EQ,27-Dec-2017,273.45,273.9,276.0,270.0,270.25,270.8,272.39,40298,10976668.2,1335,31073.0,77.11
TIINDIA,EQ,26-Dec-2017,270.05,270.3,275.05,267.0,274.5,273.45,273.86,105722,28952778.85,3234,100022.0,94.61
TIINDIA,EQ,22-Dec-2017,264.5,268.2,272.85,266.0,270.3,270.05,270.03,56045,15133714.55,1732,48260.0,86.11
TIINDIA,EQ,21-Dec-2017,263.95,265.75,269.85,263.2,265.0,264.5,266.09,43533,11583746.7,1008,33369.0,76.65
TIINDIA,EQ,20-Dec-2017,264.6,263.05,269.9,262.05,263.0,263.95,265.89,42921,11412342.7,1948,34974.0,81.48
TIINDIA,EQ,19-Dec-2017,265.15,267.75,270.9,260.5,263.95,264.6,264.22,57890,15295450.25,858,49274.0,85.12
TIINDIA,EQ,18-Dec-2017,263.1,268.0,275.0,255.0,264.95,265.15,265.19,516880,137069467.55,1348,25478.0,4.93
TIINDIA,EQ,15-Dec-2017,259.95,262.95,265.75,259.75,263.0,263.1,259.88,446942,116149570.95,552,439872.0,98.42
TIINDIA,EQ,14-Dec-2017,259.8,262.4,262.4,257.0,260.0,259.95,258.51,17643,4560816.1,488,13540.0,76.74
TIINDIA,EQ,13-Dec-2017,257.9,250.5,263.95,250.5,261.05,259.8,257.99,13344,3442646.7,433,8840.0,66.25
TIINDIA,EQ,12-Dec-2017,270.4,273.95,273.95,256.25,257.0,257.9,261.49,59252,15493680.45,1456,48994.0,82.69
TIINDIA,EQ,11-Dec-2017,259.2,271.0,283.35,269.0,270.05,270.4,275.55,92879,25592715.15,2323,42591.0,45.86
TIINDIA,EQ,08-Dec-2017,251.8,259.9,261.0,252.15,261.0,259.2,257.54,38260,9853598.75,1328,18552.0,48.49
TIINDIA,EQ,07-Dec-2017,252.55,254.95,254.95,242.05,250.0,251.8,250.25,20875,5224001.35,640,15582.0,74.64
TIINDIA,EQ,06-Dec-2017,257.1,257.1,257.1,215.7,253.0,252.55,250.3,190976,47801352.3,1039,184093.0,96.40
TIINDIA,EQ,05-Dec-2017,258.9,253.05,258.95,251.05,258.7,257.1,254.16,14675,3729825.45,495,11528.0,78.56
TIINDIA,EQ,04-Dec-2017,255.75,255.75,262.0,253.0,260.0,258.9,258.07,33722,8702565.0,497,27952.0,82.89
TIINDIA,EQ,01-Dec-2017,258.9,259.0,264.45,255.0,257.95,255.75,259.84,24233,6296789.15,783,20151.0,83.16
TIINDIA,EQ,30-Nov-2017,260.85,263.0,263.0,256.0,259.0,258.9,259.25,71198,18458084.25,1898,49152.0,69.04
TIINDIA,EQ,29-Nov-2017,264.95,264.95,267.0,259.3,259.3,260.85,262.66,35770,9395312.1,1142,30961.0,86.56
TIINDIA,EQ,28-Nov-2017,269.8,271.0,271.7,262.4,264.0,264.95,266.47,220652,58796776.7,784,218133.0,98.86
TIINDIA,EQ,27-Nov-2017,269.6,274.5,274.5,266.3,268.25,269.8,269.4,29991,8079555.95,928,27893.0,93.00
TIINDIA,EQ,24-Nov-2017,265.7,268.5,271.0,265.0,269.05,269.6,269.17,34189,9202794.75,426,29437.0,86.10
TIINDIA,EQ,23-Nov-2017,264.8,268.95,270.0,262.5,265.1,265.7,265.95,26151,6954917.1,723,19520.0,74.64
TIINDIA,EQ,22-Nov-2017,269.1,269.1,270.0,262.0,264.55,264.8,265.48,25553,6783923.05,1517,20717.0,81.07
TIINDIA,EQ,21-Nov-2017,275.25,274.85,278.2,265.65,270.0,269.1,273.59,133093,36412822.45,1205,121851.0,91.55
TIINDIA,EQ,20-Nov-2017,279.45,280.0,283.0,275.0,275.05,275.25,277.9,59105,16425339.35,578,53831.0,91.08
TIINDIA,EQ,17-Nov-2017,290.5,299.95,299.95,277.25,277.25,279.45,287.05,91870,26371401.25,1648,82749.0,90.07
TIINDIA,EQ,16-Nov-2017,293.5,304.0,308.9,284.0,291.0,290.5,293.77,54867,16118468.6,1683,30251.0,55.14
TIINDIA,EQ,28-Dec-2018,332.15,330.45,344.95,330.45,340.7,341.75,341.42,16709,5704782.95,1411,9237.0,55.28
TIINDIA,EQ,27-Dec-2018,325.9,326.85,339.6,326.85,332.05,332.15,332.31,63771,21191855.45,2138,55940.0,87.72
TIINDIA,EQ,26-Dec-2018,334.15,332.0,335.1,320.35,325.0,325.9,326.63,7854,2565335.75,579,4825.0,61.43
TIINDIA,EQ,24-Dec-2018,324.95,327.95,336.0,321.65,333.6,334.15,329.57,10398,3426909.05,534,7386.0,71.03
TIINDIA,EQ,21-Dec-2018,325.15,326.0,327.0,323.7,325.0,324.95,325.05,15194,4938820.4,238,13952.0,91.83
TIINDIA,EQ,20-Dec-2018,329.3,329.8,329.8,324.95,325.0,325.15,325.78,7808,2543699.55,307,6627.0,84.87
TIINDIA,EQ,19-Dec-2018,325.3,323.15,331.9,323.15,330.0,329.3,329.07,10562,3475634.4,715,7543.0,71.42
TIINDIA,EQ,18-Dec-2018,325.3,328.75,333.3,322.0,325.0,325.3,326.59,10548,3444822.25,557,5608.0,53.17
TIINDIA,EQ,17-Dec-2018,328.7,328.7,334.7,324.95,327.5,325.3,328.17,16432,5392568.4,1644,9150.0,55.68
TIINDIA,EQ,14-Dec-2018,336.85,339.5,342.45,325.0,326.8,328.7,333.39,25643,8549023.95,1333,16439.0,64.11
TIINDIA,EQ,13-Dec-2018,339.95,347.0,348.45,332.0,337.85,336.85,341.14,30786,10502306.5,1849,15453.0,50.19
TIINDIA,EQ,12-Dec-2018,326.55,330.95,344.65,327.05,343.0,339.95,339.18,52327,17748516.75,2040,34761.0,66.43
TIINDIA,EQ,11-Dec-2018,325.7,322.0,332.65,319.95,330.0,326.55,326.26,14634,4774434.5,830,8298.0,56.7
TIINDIA,EQ,10-Dec-2018,333.75,334.0,337.0,323.25,327.0,325.7,329.03,49119,16161807.85,3673,22957.0,46.74
TIINDIA,EQ,07-Dec-2018,321.25,315.0,336.65,315.0,330.0,333.75,331.61,95965,31823232.8,3495,54175.0,56.45
TIINDIA,EQ,06-Dec-2018,315.75,316.0,324.0,315.0,321.75,321.25,319.75,84780,27108068.55,1993,78890.0,93.05
TIINDIA,EQ,05-Dec-2018,315.8,316.0,319.0,312.55,316.5,315.75,315.94,24826,7843513.65,1932,18843.0,75.9
TIINDIA,EQ,04-Dec-2018,305.5,303.45,317.55,303.45,317.0,315.8,311.59,39615,12343669.5,2794,31893.0,80.51
TIINDIA,EQ,03-Dec-2018,300.15,300.35,308.9,294.05,308.0,305.5,302.65,36963,11186925.85,2293,26088.0,70.58
TIINDIA,EQ,30-Nov-2018,299.55,302.0,302.0,292.85,298.15,300.15,297.91,28768,8570358.85,3751,13836.0,48.1
TIINDIA,EQ,29-Nov-2018,297.1,296.15,305.15,291.95,298.0,299.55,298.94,35246,10536438.55,2580,21006.0,59.6
TIINDIA,EQ,28-Nov-2018,290.3,288.1,301.8,281.7,301.0,297.1,295.48,43587,12879272.4,1908,32239.0,73.96
TIINDIA,EQ,27-Nov-2018,281.7,282.0,292.5,272.2,292.5,290.3,278.79,74478,20764017.45,1329,61516.0,82.6
TIINDIA,EQ,26-Nov-2018,287.55,291.95,293.4,280.3,282.0,281.7,282.89,8766,2479785.5,510,6358.0,72.53
TIINDIA,EQ,22-Nov-2018,292.35,291.45,292.8,286.0,286.9,287.55,288.52,17894,5162818.2,727,14707.0,82.19
TIINDIA,EQ,21-Nov-2018,293.0,293.0,297.45,290.15,291.2,292.35,294.25,8921,2625021.45,512,4878.0,54.68
TIINDIA,EQ,20-Nov-2018,295.65,291.3,298.0,291.3,293.5,293.0,295.1,200266,59099126.0,2096,185383.0,92.57
TIINDIA,EQ,19-Nov-2018,295.6,294.1,300.9,292.6,296.7,295.65,295.87,18269,5405327.9,1538,12992.0,71.12
TIINDIA,EQ,16-Nov-2018,288.1,294.4,297.0,285.05,292.15,295.6,291.88,22678,6619172.55,2352,17713.0,78.11
TIINDIA,EQ,15-Nov-2018,290.65,291.85,293.9,284.75,286.05,288.1,289.72,12168,3525270.5,696,9103.0,74.81
TIINDIA,EQ,14-Nov-2018,296.8,298.05,298.1,290.1,290.1,290.65,293.13,13213,3873075.05,772,10434.0,78.97
TIINDIA,EQ,13-Nov-2018,297.7,296.05,299.0,293.05,295.2,296.8,296.56,14122,4188007.65,1304,9918.0,70.23
TIINDIA,EQ,12-Nov-2018,299.9,305.85,305.9,292.95,295.15,297.7,298.08,14676,4374559.6,1920,8877.0,60.49
TIINDIA,EQ,09-Nov-2018,299.3,293.0,301.95,293.0,300.0,299.9,299.2,27608,8260380.7,1622,23831.0,86.32
TIINDIA,EQ,07-Nov-2018,297.05,301.0,301.0,298.05,299.45,299.3,299.47,2155,645363.6,100,1558.0,72.3
TIINDIA,EQ,06-Nov-2018,298.05,299.35,299.35,291.35,299.0,297.05,295.86,8113,2400350.35,525,5101.0,62.87
TIINDIA,EQ,05-Nov-2018,294.25,295.0,300.0,294.0,295.5,298.05,297.04,26589,7898076.9,1370,13102.0,49.28
TIINDIA,EQ,02-Nov-2018,297.75,297.75,306.0,287.95,292.25,294.25,296.33,18043,5346767.2,664,11156.0,61.83
TIINDIA,EQ,01-Nov-2018,292.75,292.05,299.0,292.05,297.0,297.75,297.48,7662,2279305.0,376,5905.0,77.07
TIINDIA,EQ,31-Oct-2018,291.35,296.95,296.95,287.95,295.0,292.75,291.26,21247,6188403.3,899,13845.0,65.16
TIINDIA,EQ,30-Oct-2018,299.35,293.25,298.1,288.3,288.3,291.35,293.56,14525,4263963.5,881,8775.0,60.41
TIINDIA,EQ,29-Oct-2018,292.8,293.05,300.0,289.15,296.25,299.35,297.28,29337,8721352.1,704,17253.0,58.81
TIINDIA,EQ,26-Oct-2018,297.55,293.05,300.0,291.9,291.9,292.8,294.83,12897,3802415.25,697,6423.0,49.8
TIINDIA,EQ,25-Oct-2018,293.4,290.0,301.0,285.5,298.0,297.55,294.74,37804,11142427.95,1239,25701.0,67.98
TIINDIA,EQ,24-Oct-2018,294.55,295.6,300.6,285.0,291.0,293.4,290.31,63301,18376734.95,2062,31879.0,50.36
TIINDIA,EQ,23-Oct-2018,300.35,302.0,306.0,291.05,294.7,294.55,299.94,51120,15332965.8,2828,16020.0,31.34
TIINDIA,EQ,22-Oct-2018,289.85,289.35,303.0,285.0,300.95,300.35,292.52,48447,14171578.15,1431,39976.0,82.51
