"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
TATAMOTORS,EQ,30-Dec-2011,179.15,180.50,183.80,176.80,178.35,178.70,180.84,9288032,1679687960.5,89724.0,2265905.0,24.4
TATAMOTORS,EQ,29-Dec-2011,180.20,178.40,182.50,178.10,178.95,179.15,180.30,9982150,1799778375.95,59132.0,3590770.0,35.97
TATAMOTORS,EQ,28-Dec-2011,182.10,181.00,183.50,178.85,179.60,180.20,181.09,8777190,1589470493.85,66230.0,2917794.0,33.24
TATAMOTORS,EQ,27-Dec-2011,186.75,186.00,186.40,180.85,182.35,182.10,183.41,6199700,1137091689.4,54721.0,1422600.0,22.95
TATAMOTORS,EQ,26-Dec-2011,184.95,186.00,188.65,185.10,186.30,186.75,187.15,7097843,1328348940.95,58422.0,2314856.0,32.61
TATAMOTORS,EQ,23-Dec-2011,183.60,184.90,187.35,182.70,185.05,184.95,185.24,10593162,1962224541.8,102654.0,3069584.0,28.98
TATAMOTORS,EQ,22-Dec-2011,177.00,175.00,184.45,173.50,184.10,183.60,179.19,12323905,2208375117.2,100752.0,3242801.0,26.31
TATAMOTORS,EQ,21-Dec-2011,174.90,179.75,181.90,174.70,176.90,177.00,178.30,21077155,3757987284.0,126612.0,8666209.0,41.12
TATAMOTORS,EQ,20-Dec-2011,179.80,180.00,180.75,173.85,174.65,174.90,176.28,14568217,2568150836.5,97690.0,4345002.0,29.83
TATAMOTORS,EQ,19-Dec-2011,172.40,172.00,180.30,169.25,180.00,179.80,175.51,20513550,3600433474.6,134972.0,7912390.0,38.57
TATAMOTORS,EQ,16-Dec-2011,172.65,175.40,179.75,170.30,171.85,172.40,176.41,15919535,2808441169.35,130376.0,4428442.0,27.82
TATAMOTORS,EQ,15-Dec-2011,177.10,175.00,176.00,167.50,172.80,172.65,172.33,18077891,3115374326.75,137476.0,4588154.0,25.38
TATAMOTORS,EQ,14-Dec-2011,178.90,176.85,181.70,176.20,177.00,177.10,179.14,14496036,2596878624.8,108002.0,4053715.0,27.96
TATAMOTORS,EQ,13-Dec-2011,177.35,174.50,182.35,174.25,179.70,178.90,178.97,14281985,2555979500.45,125987.0,2996033.0,20.98
TATAMOTORS,EQ,12-Dec-2011,183.00,187.05,187.80,176.20,177.90,177.35,181.27,14403325,2610845382.05,116407.0,4272639.0,29.66
TATAMOTORS,EQ,09-Dec-2011,188.55,183.70,185.70,180.10,182.75,183.00,183.23,14871345,2724809239.95,132654.0,4188818.0,28.17
TATAMOTORS,EQ,08-Dec-2011,191.40,190.25,191.50,185.85,185.90,188.55,188.10,12145504,2284564590.1,142190.0,4081201.0,33.6
