"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
UNIONBANK,EQ,30-Dec-2011,164.15,166.85,172.5,164.15,171.30,169.85,168.15,939997,158058497.65,21437.0,407130.0,43.31
UNIONBANK,EQ,29-Dec-2011,159.65,158.2,166.5,155.45,164.80,164.15,162.44,1622912,263631174.2,17235.0,725265.0,44.69
UNIONBANK,EQ,28-Dec-2011,164.2,162.7,163.45,158.5,158.90,159.65,161.19,777557,125336743.3,9624.0,377840.0,48.59
UNIONBANK,EQ,27-Dec-2011,169.8,167.0,170.3,162.4,164.25,164.2,166.14,417257,69323342.75,7716.0,81746.0,19.59
UNIONBANK,EQ,26-Dec-2011,170.85,172.0,174.5,167.9,170.40,169.8,171.38,280672,48102204.25,5634.0,65090.0,23.19
UNIONBANK,EQ,23-Dec-2011,174.85,176.1,178.25,170.05,171.00,170.85,174.02,348599,60663185.15,9316.0,92880.0,26.64
UNIONBANK,EQ,22-Dec-2011,174.25,174.0,177.2,170.1,176.00,174.85,173.03,763893,132173447.05,10848.0,332721.0,43.56
UNIONBANK,EQ,21-Dec-2011,166.65,177.0,177.0,169.25,176.95,174.25,171.32,1011285,173252614.65,14290.0,474438.0,46.91
UNIONBANK,EQ,20-Dec-2011,176.05,176.0,177.35,163.05,166.50,166.65,166.48,1462833,243528651.75,25010.0,633830.0,43.33
UNIONBANK,EQ,19-Dec-2011,187.25,185.4,185.4,173.3,173.50,176.05,176.36,1255549,221427969.8,31737.0,693506.0,55.24
UNIONBANK,EQ,16-Dec-2011,197.4,198.0,200.95,185.15,186.55,187.25,193.87,1041257,201871683.55,20545.0,429607.0,41.26
UNIONBANK,EQ,15-Dec-2011,199.15,195.6,200.0,191.65,197.05,197.4,197.67,258878,51172585.0,8705.0,59144.0,22.85
UNIONBANK,EQ,14-Dec-2011,198.1,197.65,201.0,194.7,199.45,199.15,199.01,742383,147739264.0,19490.0,295424.0,39.79
UNIONBANK,EQ,13-Dec-2011,206.1,205.5,206.1,194.65,198.00,198.1,198.68,1225172,243414075.6,22806.0,527552.0,43.06
UNIONBANK,EQ,12-Dec-2011,213.95,214.1,215.3,205.0,205.00,206.1,208.38,1512603,315193141.9,10996.0,1211810.0,80.11
UNIONBANK,EQ,09-Dec-2011,211.65,220.0,220.0,206.5,213.05,213.95,213.67,1663467,355431461.05,16763.0,1320204.0,79.36
UNIONBANK,EQ,08-Dec-2011,221.45,224.95,224.95,210.65,212.40,211.65,215.41,513552,110623717.4,11966.0,227734.0,44.34
UNIONBANK,EQ,07-Dec-2011,225.4,225.95,227.5,220.0,220.05,221.45,222.85,395348,88101542.45,9143.0,152108.0,38.47
UNIONBANK,EQ,05-Dec-2011,223.75,221.45,226.9,221.45,225.35,225.4,225.1,304673,68583369.7,4956.0,134384.0,44.11
UNIONBANK,EQ,02-Dec-2011,217.45,217.95,226.0,215.5,226.00,223.75,220.38,428509,94435701.8,11028.0,207973.0,48.53
UNIONBANK,EQ,01-Dec-2011,211.7,219.55,222.0,214.45,217.40,217.45,218.97,478104,104692089.4,16811.0,192275.0,40.22
UNIONBANK,EQ,30-Nov-2011,214.8,212.2,216.6,210.35,210.75,211.7,213.65,466698,99709837.75,10253.0,187044.0,40.08
UNIONBANK,EQ,29-Nov-2011,220.85,220.9,223.9,213.3,214.20,214.8,220.15,513144,112969712.95,10922.0,167471.0,32.64
UNIONBANK,EQ,28-Nov-2011,217.35,222.5,222.5,217.45,220.00,220.85,219.64,758251,166540287.55,19146.0,477473.0,62.97
UNIONBANK,EQ,25-Nov-2011,213.95,211.0,219.9,210.1,218.00,217.35,216.33,543563,117587414.1,10888.0,277181.0,50.99
UNIONBANK,EQ,24-Nov-2011,205.3,207.95,215.95,201.0,214.00,213.95,209.25,542887,113596829.5,10234.0,272076.0,50.12
UNIONBANK,EQ,23-Nov-2011,204.6,200.65,207.5,200.65,203.95,205.3,204.52,449035,91838732.05,6970.0,211352.0,47.07
