"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
UNIPHOS,EQ,30-Dec-2011,125.4,124.1,128.0,124.1,127.25,126.9,126.67,376624,47707243.9,7574.0,153353.0,40.72
UNIPHOS,EQ,29-Dec-2011,129.1,128.1,130.05,123.75,126.8,125.4,126.41,1085696,137246266.1,9802.0,698843.0,64.37
UNIPHOS,EQ,28-Dec-2011,131.8,130.65,133.9,128.6,129.3,129.1,129.59,534000,69201616.55,7016.0,241942.0,45.31
UNIPHOS,EQ,27-Dec-2011,133.0,133.7,134.8,130.5,131.75,131.8,132.17,370032,48905746.15,4253.0,113285.0,30.61
UNIPHOS,EQ,26-Dec-2011,134.1,135.0,136.1,132.5,133.0,133.0,134.09,587589,78790043.95,6040.0,290774.0,49.49
UNIPHOS,EQ,23-Dec-2011,131.05,131.9,134.55,131.25,134.0,134.1,133.73,463022,61920384.6,7387.0,212142.0,45.82
UNIPHOS,EQ,22-Dec-2011,130.75,131.0,132.6,128.2,131.2,131.05,130.13,976475,127064742.55,11156.0,399593.0,40.92
UNIPHOS,EQ,21-Dec-2011,132.25,134.2,134.75,128.65,130.3,130.75,130.72,907897,118682987.2,9368.0,514802.0,56.7
UNIPHOS,EQ,20-Dec-2011,133.3,132.1,134.85,130.75,132.3,132.25,132.85,452910,60168434.7,5636.0,223892.0,49.43
UNIPHOS,EQ,19-Dec-2011,134.25,134.3,134.35,131.0,132.95,133.3,133.01,362775,48252223.75,5979.0,162096.0,44.68
UNIPHOS,EQ,16-Dec-2011,132.3,133.0,137.4,130.25,133.5,134.25,135.58,1293355,175357783.65,16344.0,802450.0,62.04
UNIPHOS,EQ,15-Dec-2011,131.5,130.0,134.8,128.25,132.5,132.3,132.38,1610724,213220788.8,23155.0,953703.0,59.21
UNIPHOS,EQ,14-Dec-2011,132.95,137.95,139.9,130.25,131.25,131.5,132.85,471749,62670931.3,11311.0,186509.0,39.54
UNIPHOS,EQ,13-Dec-2011,133.2,132.0,134.45,130.55,133.0,132.95,132.59,710619,94224492.6,7057.0,396897.0,55.85
UNIPHOS,EQ,12-Dec-2011,132.5,133.0,135.4,132.55,133.0,133.2,133.73,941106,125851625.75,14241.0,608452.0,64.65
UNIPHOS,EQ,09-Dec-2011,136.2,134.95,135.9,129.0,133.0,132.5,133.08,792152,105415871.8,13537.0,335958.0,42.41
UNIPHOS,EQ,08-Dec-2011,132.8,133.0,137.35,132.3,135.5,136.2,134.93,1196324,161414846.2,11937.0,695800.0,58.16
UNIPHOS,EQ,07-Dec-2011,131.65,131.65,135.8,131.65,132.0,132.8,134.64,2844398,382968598.0,23587.0,2027281.0,71.27
UNIPHOS,EQ,05-Dec-2011,137.2,135.75,137.0,130.65,133.1,131.65,133.03,2680058,356527874.15,49736.0,1959070.0,73.1
UNIPHOS,EQ,02-Dec-2011,140.7,140.1,143.5,136.3,136.9,137.2,140.15,2323484,325628165.75,37142.0,1475493.0,63.5
UNIPHOS,EQ,01-Dec-2011,137.45,139.9,143.15,137.05,140.0,140.7,140.45,1721426,241770536.45,19118.0,1280246.0,74.37
UNIPHOS,EQ,30-Nov-2011,132.45,130.25,138.15,130.25,137.1,137.45,135.75,1019896,138446220.35,23183.0,692031.0,67.85
UNIPHOS,EQ,29-Nov-2011,133.15,133.65,137.3,131.3,132.3,132.45,134.32,987205,132602298.2,14069.0,439741.0,44.54
UNIPHOS,EQ,28-Nov-2011,130.0,128.25,135.65,128.25,133.45,133.15,133.66,1370465,183177548.6,9394.0,1063214.0,77.58
UNIPHOS,EQ,25-Nov-2011,129.9,128.4,133.45,128.05,130.05,130.0,130.21,2249959,292978007.7,7928.0,1887867.0,83.91
UNIPHOS,EQ,24-Nov-2011,125.05,126.2,131.95,120.0,131.0,129.9,124.02,1811423,224660285.85,27035.0,968603.0,53.47
UNIPHOS,EQ,23-Nov-2011,133.55,133.6,134.0,124.0,124.0,125.05,126.86,1578297,200219828.5,23669.0,886224.0,56.15
UNIPHOS,EQ,22-Nov-2011,132.65,132.45,135.1,130.6,134.35,133.55,132.77,751357,99754592.05,6414.0,169882.0,22.61
UNIPHOS,EQ,21-Nov-2011,132.65,132.1,134.5,130.9,131.6,132.65,133.14,406806,54163942.7,6553.0,266876.0,65.6
UNIPHOS,EQ,18-Nov-2011,136.65,134.5,135.45,130.25,132.3,132.65,132.38,394187,52183926.45,5648.0,178561.0,45.3
