"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
VMM,EQ,27-Dec-2024,106.64,107.6,107.75,103.1,105.5,106.14,105.7,37553989,3969625307.04,129915,11847890.0,31.55
VMM,EQ,26-Dec-2024,104.39,105.38,114.15,104.12,106.5,106.64,109.46,101079107,11064149996.76,306352,27622747.0,27.33
VMM,EQ,24-Dec-2024,101.94,101.0,105.6,99.25,104.33,104.39,103.05,47994254,4945592692.1,186047,12910029.0,26.9
VMM,EQ,23-Dec-2024,101.19,102.0,103.38,96.7,101.7,101.94,100.57,60189677,6053049612.72,288488,18383924.0,30.54
VMM,EQ,20-Dec-2024,105.13,105.5,107.99,97.59,100.75,101.19,101.66,118556272,12052518130.54,488584,45498401.0,38.38
VMM,EQ,19-Dec-2024,111.93,110.0,114.75,104.2,105.65,105.13,109.2,169053505,18460124274.58,743311,64088337.0,37.91
VMM,EQ,18-Dec-2024,78.0,104.0,114.4,104.0,111.88,111.93,108.5,728732202,79066011920.84,2296616,431990470.0,59.28
VMM,EQ,26-Dec-2025,136.78,136.5,137.5,134.72,137.01,136.26,135.88,5008679,680569432.76,63611,2905227.0,58.00
VMM,EQ,24-Dec-2025,136.78,136.9,137.59,136.01,136.6,136.78,136.91,5226745,715600477.9,35825,3458459.0,66.17
VMM,EQ,23-Dec-2025,136.74,137.0,138.5,135.88,136.78,136.78,136.79,6029393,824762163.64,56664,3177600.0,52.70
VMM,EQ,22-Dec-2025,138.07,137.81,137.82,134.88,136.8,136.74,136.55,9844719,1344285605.36,80072,6148644.0,62.46
VMM,EQ,19-Dec-2025,133.14,133.21,139.5,133.21,137.8,138.07,136.94,16815519,2302709798.06,111300,8973633.0,53.37
VMM,EQ,18-Dec-2025,133.85,133.85,134.15,132.16,133.4,133.14,133.0,5520116,734157650.93,62513,3487028.0,63.17
VMM,EQ,17-Dec-2025,136.0,135.9,135.97,132.76,133.5,133.85,133.9,7584575,1015566552.25,70288,4512286.0,59.49
VMM,EQ,16-Dec-2025,133.73,133.85,136.5,132.88,135.97,136.0,135.5,8443472,1144071059.26,83775,4454657.0,52.76
VMM,EQ,15-Dec-2025,134.77,134.17,134.36,131.85,133.6,133.73,133.12,5502936,732528361.57,55915,2902100.0,52.74
VMM,EQ,12-Dec-2025,131.72,131.99,135.1,130.24,134.5,134.77,133.65,7044688,941540468.52,89590,3529181.0,50.10
VMM,EQ,11-Dec-2025,131.04,130.4,132.49,128.32,131.5,131.72,130.33,8247314,1074872320.26,60308,5535546.0,67.12
VMM,EQ,10-Dec-2025,131.07,131.0,131.49,128.65,131.0,131.04,130.13,8377289,1090168667.82,71854,4894320.0,58.42
VMM,EQ,09-Dec-2025,130.01,128.7,131.75,125.32,131.3,131.07,129.12,14803420,1911388609.76,98077,8785949.0,59.35
VMM,EQ,08-Dec-2025,133.03,132.55,132.93,129.01,130.02,130.01,130.42,5188710,676694663.57,59480,2803751.0,54.04
VMM,EQ,05-Dec-2025,133.81,133.31,134.11,132.67,132.99,133.03,133.2,3254186,433450288.31,39687,2101770.0,64.59
VMM,EQ,04-Dec-2025,134.49,134.0,134.31,132.7,132.99,133.81,133.75,3909061,522847766.13,35947,2244407.0,57.42
VMM,EQ,03-Dec-2025,135.51,135.0,135.0,132.3,134.34,134.49,133.96,14200554,1902344172.98,85481,9074640.0,63.90
VMM,EQ,02-Dec-2025,133.98,134.19,135.9,133.12,135.5,135.51,134.99,7710322,1040814385.23,48059,4528766.0,58.74
