"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
VTL,EQ,30-Dec-2011,164.0,166.1,179.6,160.55,176.0,174.75,173.82,58189,10114196.9,7080.0,38059.0,65.41
VTL,EQ,29-Dec-2011,160.05,155.3,167.95,155.3,167.95,164.0,159.2,6968,1109324.15,486.0,4653.0,66.78
VTL,EQ,28-Dec-2011,162.7,162.0,164.0,158.7,159.15,160.05,160.99,2862,460760.4,173.0,1672.0,58.42
VTL,EQ,27-Dec-2011,163.3,166.0,166.0,161.2,162.3,162.7,163.58,2284,373614.2,69.0,1247.0,54.60
VTL,EQ,26-Dec-2011,164.95,161.3,167.0,161.3,163.7,163.3,164.04,876,143699.0,65.0,559.0,63.81
VTL,EQ,23-Dec-2011,164.3,165.85,167.85,164.05,164.05,164.95,165.86,791,131191.75,51.0,523.0,66.12
VTL,EQ,22-Dec-2011,164.7,162.0,165.95,161.1,165.85,164.3,163.74,2021,330911.7,78.0,1467.0,72.59
VTL,EQ,21-Dec-2011,165.55,162.25,171.9,162.25,164.35,164.7,167.14,11436,1911393.0,408.0,3644.0,31.86
VTL,EQ,20-Dec-2011,172.9,169.0,172.05,163.55,164.2,165.55,168.07,2590,435308.75,144.0,2176.0,84.02
VTL,EQ,19-Dec-2011,174.35,171.0,175.0,168.25,174.95,172.9,170.99,3332,569749.9,151.0,2250.0,67.53
VTL,EQ,16-Dec-2011,174.5,175.5,177.95,171.0,175.4,174.35,175.24,9273,1624994.0,297.0,6937.0,74.81
VTL,EQ,15-Dec-2011,173.4,173.5,175.0,172.0,175.0,174.5,173.64,6836,1187032.1,377.0,4561.0,66.72
VTL,EQ,14-Dec-2011,167.0,179.7,184.4,172.0,174.7,173.4,174.53,21574,3765351.3,407.0,8628.0,39.99
VTL,EQ,13-Dec-2011,167.55,164.0,172.65,161.8,171.0,167.0,163.37,44029,7193113.25,442.0,42328.0,96.14
