"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
WAAREEENER,EQ,27-Dec-2024,"2,823.15","2,827.00","2,850.00","2,781.30","2,800.00","2,790.40","2,811.76",784366,2205450264.0,51535,202494.0,25.82
WAAREEENER,EQ,26-Dec-2024,"2,868.70","2,887.10","2,900.00","2,811.00","2,818.00","2,823.15","2,842.64",1091798,3103593602.5,73507,290577.0,26.61
WAAREEENER,EQ,24-Dec-2024,"2,932.45","2,958.70","3,030.00","2,858.75","2,868.00","2,868.70","2,934.35",1921221,5637526617.05,132501,470231.0,24.48
WAAREEENER,EQ,23-Dec-2024,"2,879.35","2,922.00","2,968.00","2,830.45","2,948.30","2,932.45","2,908.18",2082511,6056316304.25,122053,367510.0,17.65
WAAREEENER,EQ,20-Dec-2024,"3,039.10","3,073.55","3,085.95","2,865.00","2,871.00","2,879.35","2,958.79",2106023,6231282137.65,137139,663855.0,31.52
WAAREEENER,EQ,19-Dec-2024,"3,042.15","2,950.00","3,108.00","2,941.05","3,041.30","3,039.10","3,048.82",2375391,7242147803.65,124727,408515.0,17.2
WAAREEENER,EQ,18-Dec-2024,"3,101.00","3,111.00","3,145.00","3,017.60","3,042.00","3,042.15","3,065.05",2029095,6219280589.3,111757,397228.0,19.58
WAAREEENER,EQ,17-Dec-2024,"3,133.15","3,133.10","3,245.50","3,081.00","3,095.00","3,101.00","3,175.72",3220058,10226003614.55,168388,590592.0,18.34
WAAREEENER,EQ,16-Dec-2024,"3,217.05","3,225.00","3,257.55","3,111.15","3,121.00","3,133.15","3,174.89",2066749,6561704805.7,119768,641094.0,31.02
WAAREEENER,EQ,13-Dec-2024,"3,292.25","3,270.00","3,279.90","3,162.00","3,211.50","3,217.05","3,219.07",3292067,10597389165.85,166447,634908.0,19.29
WAAREEENER,EQ,12-Dec-2024,"3,174.70","3,235.00","3,445.45","3,210.05","3,295.05","3,292.25","3,323.87",8948458,29743512369.95,431607,1283034.0,14.34
WAAREEENER,EQ,11-Dec-2024,"3,134.65","3,143.00","3,231.00","3,134.65","3,169.00","3,174.70","3,184.16",2544371,8101684284.35,126662,482042.0,18.95
WAAREEENER,EQ,10-Dec-2024,"2,971.30","3,020.00","3,185.00","3,020.00","3,140.00","3,134.65","3,124.14",5205256,16261968816.55,263850,907553.0,17.44
WAAREEENER,EQ,09-Dec-2024,"2,903.10","2,918.40","2,992.00","2,902.00","2,972.00","2,971.30","2,947.68",2843345,8381271059.1,135997,646938.0,22.75
WAAREEENER,EQ,06-Dec-2024,"2,839.35","2,888.80","2,975.00","2,852.00","2,891.00","2,903.10","2,918.41",3709349,10825400000.1,187642,650036.0,17.52
WAAREEENER,EQ,05-Dec-2024,"2,722.15","2,732.35","2,949.00","2,715.00","2,848.40","2,839.35","2,846.95",4528208,12891575732.55,191545,930108.0,20.54
WAAREEENER,EQ,04-Dec-2024,"2,696.95","2,702.00","2,764.30","2,695.00","2,716.00","2,722.15","2,723.51",1211550,3299674335.8,56823,346203.0,28.58
WAAREEENER,EQ,03-Dec-2024,"2,740.30","2,755.00","2,765.10","2,690.00","2,692.00","2,696.95","2,715.75",1257966,3416315955.4,65874,456233.0,36.27
WAAREEENER,EQ,02-Dec-2024,"2,667.75","2,695.00","2,797.00","2,675.05","2,735.75","2,740.30","2,734.90",2898505,7927129401.8,126161,581501.0,20.06
WAAREEENER,EQ,29-Nov-2024,"2,633.85","2,641.60","2,692.00","2,585.00","2,692.00","2,667.75","2,633.74",1299617,3422856757.25,69914,464750.0,35.76
WAAREEENER,EQ,28-Nov-2024,"2,607.75","2,643.85","2,686.35","2,605.35","2,630.30","2,633.85","2,640.00",1988167,5248767066.1,117631,783967.0,39.43
WAAREEENER,EQ,27-Nov-2024,"2,525.85","2,544.20","2,678.00","2,534.50","2,602.00","2,607.75","2,613.45",2887896,7547359110.15,155455,584468.0,20.24
WAAREEENER,EQ,26-Nov-2024,"2,596.60","2,612.05","2,622.30","2,512.00","2,523.90","2,525.85","2,552.05",2558847,6530299129.2,126599,765013.0,29.9
WAAREEENER,EQ,25-Nov-2024,"2,705.20","2,789.95","2,789.95","2,565.00","2,590.00","2,596.60","2,615.27",3059199,8000635959.55,173271,1033259.0,33.78
WAAREEENER,EQ,22-Nov-2024,"2,721.45","2,738.00","2,805.00","2,672.00","2,702.00","2,705.20","2,725.91",1588761,4330824829.35,103424,326064.0,20.52
WAAREEENER,EQ,21-Nov-2024,"2,901.80","2,883.00","2,915.00","2,690.00","2,730.00","2,721.45","2,799.13",2282806,6389870946.1,157348,689255.0,30.19
WAAREEENER,EQ,19-Nov-2024,"3,114.45","2,950.00","3,044.00","2,880.00","2,883.00","2,901.80","2,970.14",3339933,9920060979.95,195909,759398.0,22.74
WAAREEENER,EQ,18-Nov-2024,"2,917.45","2,950.00","3,186.00","2,893.30","3,106.00","3,114.45","3,072.85",3696718,11359470633.3,223007,747508.0,20.22
WAAREEENER,EQ,14-Nov-2024,"2,875.75","2,900.00","2,968.00","2,872.00","2,915.95","2,917.45","2,923.62",1428158,4175384497.2,96107,364367.0,25.51
WAAREEENER,EQ,13-Nov-2024,"2,870.00","2,905.10","2,970.00","2,784.00","2,899.00","2,875.75","2,873.37",2124099,6103330949.6,132366,499295.0,23.51
WAAREEENER,EQ,12-Nov-2024,"2,822.80","2,821.00","3,014.00","2,762.25","2,859.70","2,870.00","2,908.68",3934523,11444274720.1,229523,708975.0,18.02
WAAREEENER,EQ,11-Nov-2024,"3,133.70","3,071.00","3,122.00","2,820.35","2,820.35","2,822.80","2,933.06",4711657,13819571828.35,265431,1263542.0,26.82
WAAREEENER,EQ,08-Nov-2024,"3,348.65","3,304.95","3,414.00","3,056.75","3,110.00","3,133.70","3,215.48",4885739,15709977597.35,293774,1130149.0,23.13
WAAREEENER,EQ,07-Nov-2024,"3,636.60","3,574.00","3,619.80","3,300.00","3,346.00","3,348.65","3,421.25",5831790,19952003560.4,346385,1635008.0,28.04
WAAREEENER,EQ,06-Nov-2024,"3,472.70","3,435.00","3,743.00","3,425.00","3,632.10","3,636.60","3,617.15",9495315,34345970024.6,497511,1422806.0,14.98
WAAREEENER,EQ,05-Nov-2024,"2,990.60","2,980.00","3,568.80","2,931.30","3,437.00","3,472.70","3,238.65",14195138,45973102932.75,706071,2278445.0,16.05
WAAREEENER,EQ,04-Nov-2024,"2,890.10","2,909.65","3,016.00","2,712.00","2,991.10","2,990.60","2,890.19",12683686,36658248540.7,486100,1915266.0,15.1
WAAREEENER,EQ,01-Nov-2024,"2,722.10","2,780.00","2,910.00","2,776.55","2,895.00","2,890.10","2,867.96",5382498,15436789348.9,180637,942189.0,17.5
WAAREEENER,EQ,31-Oct-2024,"2,441.65","2,453.00","2,758.70","2,441.70","2,749.95","2,722.10","2,637.51",12359372,32597946097.0,479211,2195897.0,17.77
WAAREEENER,EQ,30-Oct-2024,"2,380.20","2,391.10","2,450.00","2,370.15","2,442.35","2,441.65","2,420.23",2849157,6895617927.55,160343,880847.0,30.92
WAAREEENER,EQ,29-Oct-2024,"2,338.90","2,375.10","2,497.00","2,352.05","2,378.65","2,380.20","2,433.59",7937427,19316460706.95,404140,2048804.0,25.81
WAAREEENER,EQ,28-Oct-2024,"1,503.00","2,500.00","2,624.40","2,300.00","2,345.00","2,338.90","2,413.49",21535158,51974879768.5,1122880,10331303.0,47.97
WAAREEENER,EQ,26-Dec-2025,"3,080.30","3,075.00","3,075.00","3,035.00","3,040.40","3,046.70","3,055.30",333164,1017916462.9,22120,104338.0,31.32
WAAREEENER,EQ,24-Dec-2025,"3,096.60","3,096.10","3,114.80","3,066.10","3,076.60","3,080.30","3,091.79",453329,1401597010.1,31354,154773.0,34.14
