"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ZEEL,EQ,30-Dec-2011,117.85,117.2,120.1,116.55,118.05,117.85,118.05,953717,112588535.45,10503.0,592970.0,62.17
ZEEL,EQ,29-Dec-2011,116.9,116.9,119.95,113.85,119.05,117.85,116.71,2211144,258068882.85,8116.0,1124189.0,50.84
ZEEL,EQ,28-Dec-2011,117.6,117.35,117.35,115.55,116.05,116.9,116.72,675655,78860969.5,4255.0,497880.0,73.69
ZEEL,EQ,27-Dec-2011,117.6,118.25,118.4,116.5,117.0,117.6,117.55,818478,96210547.65,2017.0,405358.0,49.53
ZEEL,EQ,26-Dec-2011,117.9,117.55,118.55,116.3,118.5,117.6,117.52,990434,116394544.3,2654.0,417749.0,42.18
ZEEL,EQ,23-Dec-2011,118.4,118.9,119.65,116.3,117.15,117.9,118.18,439727,51967959.7,4404.0,145733.0,33.14
ZEEL,EQ,22-Dec-2011,117.6,115.5,118.95,114.7,118.5,118.4,117.26,1032659,121091765.8,5839.0,349201.0,33.82
ZEEL,EQ,21-Dec-2011,118.1,118.1,119.95,116.25,117.4,117.6,117.5,1027867,120774441.55,9855.0,653033.0,63.53
ZEEL,EQ,20-Dec-2011,117.75,117.7,119.4,114.5,118.35,118.1,116.68,1691356,197354823.65,10934.0,892778.0,52.78
ZEEL,EQ,19-Dec-2011,119.45,118.85,119.0,114.8,118.85,117.75,116.84,2160058,252382015.2,7515.0,982508.0,45.49
ZEEL,EQ,16-Dec-2011,120.95,120.65,121.9,118.4,119.15,119.45,120.46,1096165,132041468.85,9119.0,772198.0,70.45
ZEEL,EQ,15-Dec-2011,121.35,121.0,121.9,118.1,120.85,120.95,120.91,1721159,208111239.9,4853.0,1539258.0,89.43
ZEEL,EQ,14-Dec-2011,122.0,122.6,122.6,119.55,121.45,121.35,121.3,1000064,121307894.8,6019.0,767270.0,76.72
ZEEL,EQ,13-Dec-2011,121.3,119.05,123.1,117.5,122.0,122.0,120.58,2656557,320316824.1,14465.0,1931120.0,72.69
ZEEL,EQ,12-Dec-2011,124.2,124.05,125.0,120.3,120.9,121.3,122.48,527350,64592442.15,6635.0,309727.0,58.73
ZEEL,EQ,09-Dec-2011,128.25,127.85,127.85,122.5,124.0,124.2,124.81,1011431,126239540.6,9837.0,549138.0,54.29
ZEEL,EQ,08-Dec-2011,128.9,128.0,129.25,126.25,128.25,128.25,127.72,805999,102944039.4,10084.0,497428.0,61.72
ZEEL,EQ,07-Dec-2011,126.95,127.15,129.95,127.0,129.0,128.9,128.56,1745412,224395422.2,19410.0,1158932.0,66.4
ZEEL,EQ,05-Dec-2011,126.9,126.0,128.4,125.45,127.15,126.95,127.1,363905,46251733.9,5467.0,139973.0,38.46
ZEEL,EQ,02-Dec-2011,126.2,126.7,127.5,124.35,126.3,126.9,126.2,573847,72420009.65,4232.0,179187.0,31.23
ZEEL,EQ,01-Dec-2011,124.7,126.4,129.95,122.5,126.0,126.2,126.52,1838084,232560796.35,20358.0,1172254.0,63.78
ZEEL,EQ,30-Nov-2011,124.6,123.8,127.0,120.2,125.0,124.7,123.31,3375813,416263052.05,27941.0,1920684.0,56.9
ZEEL,EQ,29-Nov-2011,121.35,122.4,128.3,121.25,123.3,124.6,125.73,3331224,418824509.05,18756.0,1931406.0,57.98
